G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2010-09-12,Sun,@,LAR,W,17.0,13.0,,22.0,41.0,0.537,266.0,1.0,6.5,6.98,82.0,2.0,31.0,21.0,112.0,5.333333333333333,1.0,64.0,378.0,5.91,1.0,1.0,2.0,2.0,6.0,262.0,13.0,6.0,2.0,21.0,5.0,13.0,0.0,0.0,10.0,72.0,4.0,0.0,4.0,27:09,32.0,55.0,0.5820000000000001,240.0,1.0,4.4,2.27,52.1,2.0,13.0,24.0,85.0,3.5416666666666665,0.0,81.0,325.0,4.01,3.0,2.0,1.0,1.0,6.0,325.0,12.0,6.0,2.0,20.0,8.0,20.0,2.0,3.0,5.0,40.0,1.0,3.0,4.0,32:51,0,ARI,NFC West,NFC West
2.0,2.0,2010-09-19,Sun,@,ATL,L,7.0,41.0,,18.0,33.0,0.545,149.0,0.0,4.5,0.42,28.5,2.0,15.0,13.0,118.0,9.076923076923077,1.0,48.0,267.0,5.56,1.0,0.0,1.0,1.0,5.0,220.0,8.0,2.0,1.0,11.0,0.0,8.0,0.0,1.0,10.0,109.0,0.0,3.0,3.0,20:47,21.0,32.0,0.6559999999999999,223.0,3.0,7.0,8.84,117.1,1.0,2.0,45.0,221.0,4.911111111111111,2.0,78.0,444.0,5.69,2.0,2.0,5.0,5.0,2.0,68.0,12.0,13.0,8.0,33.0,11.0,17.0,1.0,2.0,6.0,75.0,1.0,0.0,1.0,39:13,0,ARI,NFC West,NFC South
3.0,3.0,2010-09-26,Sun,,LVR,W,24.0,23.0,,12.0,26.0,0.462,108.0,2.0,4.2,3.96,67.5,2.0,14.0,26.0,119.0,4.576923076923077,0.0,54.0,227.0,4.2,1.0,1.0,3.0,3.0,6.0,295.0,7.0,7.0,4.0,18.0,5.0,13.0,1.0,1.0,7.0,104.0,2.0,1.0,3.0,27:02,17.0,34.0,0.5,231.0,1.0,6.8,6.06,69.6,3.0,24.0,33.0,133.0,4.03030303030303,1.0,70.0,364.0,5.2,6.0,3.0,2.0,2.0,5.0,259.0,12.0,4.0,4.0,20.0,4.0,15.0,1.0,1.0,11.0,123.0,0.0,1.0,1.0,32:58,0,ARI,NFC West,AFC West
4.0,4.0,2010-10-03,Sun,@,LAC,L,10.0,41.0,,15.0,28.0,0.536,87.0,0.0,3.1,-0.11,29.9,9.0,59.0,14.0,47.0,3.357142857142857,0.0,51.0,134.0,2.63,1.0,1.0,1.0,1.0,5.0,214.0,7.0,3.0,0.0,10.0,4.0,12.0,0.0,1.0,5.0,34.0,1.0,2.0,3.0,25:02,16.0,21.0,0.762,239.0,2.0,11.4,13.29,144.7,1.0,10.0,38.0,180.0,4.7368421052631575,2.0,60.0,419.0,6.98,3.0,2.0,5.0,5.0,1.0,67.0,12.0,9.0,2.0,23.0,5.0,10.0,0.0,0.0,5.0,44.0,1.0,0.0,1.0,34:58,0,ARI,NFC West,AFC West
5.0,5.0,2010-10-10,Sun,,NOR,W,30.0,20.0,,18.0,29.0,0.621,153.0,0.0,5.3,3.72,61.4,4.0,21.0,24.0,41.0,1.7083333333333333,0.0,57.0,194.0,3.4,3.0,3.0,3.0,3.0,5.0,189.0,8.0,3.0,1.0,12.0,4.0,15.0,1.0,1.0,3.0,20.0,0.0,1.0,1.0,29:59,24.0,39.0,0.615,273.0,2.0,7.0,4.56,67.6,1.0,6.0,22.0,85.0,3.863636363636364,0.0,62.0,358.0,5.77,3.0,2.0,2.0,2.0,3.0,138.0,12.0,6.0,1.0,19.0,5.0,11.0,0.0,0.0,6.0,45.0,1.0,3.0,4.0,30:01,0,ARI,NFC West,NFC South
6.0,7.0,2010-10-24,Sun,@,SEA,L,10.0,22.0,,12.0,33.0,0.364,114.0,0.0,3.5,2.09,34.2,2.0,18.0,20.0,113.0,5.65,1.0,55.0,227.0,4.13,1.0,1.0,1.0,1.0,5.0,178.0,6.0,6.0,1.0,13.0,2.0,12.0,0.0,1.0,5.0,32.0,4.0,1.0,5.0,22:43,20.0,38.0,0.526,158.0,1.0,4.2,4.68,72.0,5.0,34.0,36.0,144.0,4.0,0.0,79.0,302.0,3.82,5.0,5.0,1.0,1.0,5.0,237.0,10.0,4.0,2.0,16.0,7.0,21.0,0.0,1.0,10.0,95.0,1.0,0.0,1.0,37:17,0,ARI,NFC West,NFC West
7.0,8.0,2010-10-31,Sun,,TAM,L,35.0,38.0,,24.0,40.0,0.6,296.0,2.0,7.4,3.9,60.0,1.0,9.0,23.0,100.0,4.3478260869565215,2.0,64.0,396.0,6.19,0.0,0.0,5.0,5.0,4.0,172.0,14.0,6.0,2.0,22.0,7.0,13.0,1.0,2.0,3.0,12.0,0.0,4.0,4.0,29:31,18.0,25.0,0.72,253.0,1.0,10.1,10.92,117.6,2.0,25.0,30.0,154.0,5.133333333333334,2.0,57.0,407.0,7.14,2.0,1.0,5.0,5.0,6.0,252.0,9.0,9.0,1.0,19.0,4.0,12.0,1.0,1.0,9.0,80.0,2.0,0.0,2.0,30:29,0,ARI,NFC West,NFC South
8.0,9.0,2010-11-07,Sun,@,MIN,L,24.0,27.0,OT,16.0,27.0,0.593,172.0,1.0,6.4,7.11,90.4,6.0,24.0,21.0,53.0,2.523809523809524,0.0,54.0,225.0,4.17,1.0,1.0,3.0,3.0,8.0,376.0,9.0,3.0,1.0,13.0,3.0,13.0,0.0,0.0,7.0,39.0,1.0,0.0,1.0,27:13,36.0,47.0,0.7659999999999999,427.0,2.0,9.1,8.02,100.2,3.0,19.0,20.0,80.0,4.0,1.0,70.0,507.0,7.24,2.0,2.0,3.0,3.0,4.0,191.0,22.0,4.0,2.0,28.0,3.0,12.0,1.0,2.0,11.0,65.0,1.0,2.0,3.0,38:05,0,ARI,NFC West,NFC North
9.0,10.0,2010-11-14,Sun,,SEA,L,18.0,36.0,,23.0,45.0,0.511,286.0,1.0,6.4,5.8,69.3,5.0,36.0,14.0,41.0,2.9285714285714284,1.0,64.0,327.0,5.11,1.0,1.0,1.0,1.0,6.0,243.0,16.0,2.0,1.0,19.0,2.0,11.0,0.0,2.0,10.0,50.0,1.0,1.0,2.0,24:55,26.0,40.0,0.65,380.0,1.0,9.5,8.88,93.7,2.0,6.0,31.0,110.0,3.548387096774193,2.0,73.0,490.0,6.71,6.0,5.0,3.0,3.0,1.0,42.0,15.0,7.0,2.0,24.0,6.0,15.0,0.0,1.0,6.0,51.0,0.0,1.0,1.0,35:05,0,ARI,NFC West,NFC West
10.0,11.0,2010-11-21,Sun,@,KAN,L,13.0,31.0,,25.0,46.0,0.5429999999999999,281.0,1.0,6.1,6.54,80.1,2.0,14.0,20.0,101.0,5.05,0.0,68.0,382.0,5.62,2.0,2.0,1.0,1.0,7.0,333.0,14.0,4.0,1.0,19.0,4.0,15.0,1.0,2.0,11.0,96.0,0.0,0.0,0.0,32:22,15.0,24.0,0.625,193.0,2.0,8.0,9.71,115.5,0.0,0.0,29.0,159.0,5.482758620689655,2.0,53.0,352.0,6.64,1.0,1.0,4.0,4.0,5.0,264.0,8.0,8.0,1.0,17.0,4.0,11.0,0.0,1.0,5.0,23.0,0.0,0.0,0.0,27:38,0,ARI,NFC West,AFC West
