Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2022-12-04,@ SFO,0,0,MIA vs. SFO,SFO,1625.9502243405204,33,MIA,1623.944538407991,17,1,16
2023-01-01,@ NWE,1,0,MIA vs. NWE,NWE,1500.0,23,MIA,1500.0,21,1,2
2023-01-08,@ MIA,1,0,NYJ vs. MIA,MIA,1573.9367190928192,11,NYJ,1496.4134170088587,6,1,5
2022-09-19,@ PHI,0,0,MIN vs. PHI,PHI,1550.0,24,MIN,1550.0,7,1,17
2022-10-02,@ NOR,0,0,MIN vs. NOR,NOR,1437.8712080630235,25,MIN,1552.0146061080266,28,0,-3
2022-11-06,@ WAS,0,0,MIN vs. WAS,WAS,1545.7136225046127,17,MIN,1680.8832285113322,20,0,-3
2022-11-24,@ MIN,0,0,NWE vs. MIN,MIN,1673.8378844182828,33,NWE,1619.0892637328752,26,1,7
2022-12-04,@ MIN,0,0,NYJ vs. MIN,MIN,1716.023497939385,27,NYJ,1581.6578629759574,22,1,5
2022-12-24,@ MIN,0,0,NYG vs. MIN,MIN,1682.2163449797595,27,NYG,1529.7244901594934,24,1,3
2023-01-15,@ MIN,0,1,NYG vs. MIN,MIN,1644.7997698339889,24,NYG,1488.6455008096978,31,0,-7
2022-09-18,@ PIT,0,0,NWE vs. PIT,PIT,1550.0,14,NWE,1450.0,17,0,-3
2022-10-30,@ NYJ,1,0,NWE vs. NYJ,NYJ,1628.824362533829,17,NWE,1449.2513730844796,22,0,-5
2022-11-20,@ NWE,1,0,NYJ vs. NWE,NWE,1449.2513730844796,10,NYJ,1628.824362533829,3,1,7
2022-09-18,@ NOR,1,0,TAM vs. NOR,NOR,1550.0,10,TAM,1550.0,20,0,-10
2022-10-09,@ NOR,0,0,SEA vs. NOR,NOR,1403.7312228449257,39,SEA,1479.329731049671,32,1,7
2022-11-13,@ PIT,0,0,NOR vs. PIT,PIT,1381.3002356411007,20,NOR,1399.057568378103,10,1,10
2022-11-27,@ SFO,0,0,NOR vs. SFO,SFO,1602.7664597297746,13,NOR,1394.658835422015,0,1,13
2022-12-05,@ TAM,1,0,NOR vs. TAM,TAM,1550.0,17,NOR,1550.0,16,1,1
2023-01-01,@ PHI,0,0,NOR vs. PHI,PHI,1697.2561846407616,10,NOR,1454.915873390592,20,0,-10
2022-09-11,@ TEN,0,0,NYG vs. TEN,TEN,1500.0,20,NYG,1500.0,21,0,-1
2022-10-30,@ SEA,0,0,NYG vs. SEA,SEA,1539.8824180745319,27,NYG,1685.7091576618648,13,1,14
2022-12-04,@ NYG,1,0,WAS vs. NYG,NYG,1516.1197508784699,20,WAS,1638.1354444810681,20,0,0
2022-12-11,@ NYG,1,0,PHI vs. NYG,NYG,1482.9912478812262,22,PHI,1745.0448574402624,48,0,-26
2022-12-18,@ WAS,1,0,NYG vs. WAS,WAS,1638.1354444810681,12,NYG,1516.1197508784699,20,0,-8
2023-01-08,@ PHI,1,0,NYG vs. PHI,PHI,1745.0448574402624,22,NYG,1482.9912478812262,16,1,6
2023-01-21,@ PHI,1,1,NYG vs. PHI,PHI,1654.2695623730694,38,NYG,1559.717763287683,7,1,31
2022-10-02,@ PIT,0,0,NYJ vs. PIT,PIT,1435.9935000197115,20,NYJ,1448.1642063695244,24,0,-4
2023-01-01,@ SEA,0,0,NYJ vs. SEA,SEA,1406.2255888202628,23,NYJ,1439.1118812723107,6,1,17
2022-09-25,@ WAS,1,0,PHI vs. WAS,WAS,1485.9935000197115,8,PHI,1600.0,24,0,-16
2022-10-30,@ PHI,0,0,PIT vs. PHI,PHI,1740.0721227151514,35,PIT,1393.258148749596,13,1,22
2022-11-14,@ PHI,1,0,WAS vs. PHI,PHI,1600.0,21,WAS,1485.9935000197115,32,0,-11
2022-12-04,@ PHI,0,0,TEN vs. PHI,PHI,1715.381113585526,35,TEN,1565.3997993350076,10,1,25
