G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2018-09-09,Sun,,WAS,L,6.0,24.0,,20.0,34.0,0.588,145.0,0.0,4.3,2.94,56.6,2.0,8.0,15.0,68.0,4.533333333333333,4.5,51.0,213.0,4.18,0.0,0.0,0.0,0.0,5.0,263.0,6.0,7.0,1.0,14.0,1.0,8.0,0.0,1.0,9.0,67.0,1.0,1.0,2.0,21:52,21.0,30.0,0.7,247.0,2.0,8.2,9.57,116.9,3.0,8.0,42.0,182.0,4.333333333333333,4.3,75.0,429.0,5.72,1.0,1.0,3.0,3.0,4.0,186.0,13.0,10.0,7.0,30.0,6.0,13.0,1.0,1.0,9.0,63.0,1.0,0.0,1.0,38:08,0,ARI,NFC West,NFC East
2.0,2.0,2018-09-16,Sun,@,LAR,L,0.0,34.0,,17.0,27.0,0.63,83.0,0.0,3.1,1.41,51.9,1.0,7.0,15.0,54.0,3.6,3.6,43.0,137.0,3.19,0.0,0.0,0.0,0.0,8.0,403.0,4.0,1.0,0.0,5.0,3.0,12.0,1.0,1.0,9.0,47.0,0.0,1.0,1.0,25:52,24.0,32.0,0.75,342.0,1.0,10.7,9.91,106.5,2.0,12.0,33.0,90.0,2.727272727272727,2.7,67.0,432.0,6.45,1.0,1.0,1.0,1.0,2.0,102.0,14.0,8.0,2.0,24.0,8.0,15.0,1.0,3.0,5.0,49.0,0.0,1.0,1.0,34:08,0,ARI,NFC West,NFC West
3.0,3.0,2018-09-23,Sun,,CHI,L,14.0,16.0,,17.0,26.0,0.654,168.0,2.0,6.5,2.81,69.6,4.0,25.0,18.0,53.0,2.9444444444444446,2.9,48.0,221.0,4.6,0.0,0.0,2.0,2.0,4.0,203.0,8.0,3.0,2.0,13.0,3.0,10.0,0.0,1.0,6.0,43.0,1.0,3.0,4.0,23:39,24.0,35.0,0.6859999999999999,194.0,0.0,5.5,4.26,70.4,3.0,26.0,31.0,122.0,3.935483870967742,3.9,69.0,316.0,4.58,4.0,3.0,1.0,1.0,3.0,158.0,11.0,7.0,3.0,21.0,5.0,14.0,1.0,1.0,7.0,45.0,1.0,1.0,2.0,36:21,0,ARI,NFC West,NFC North
4.0,4.0,2018-09-30,Sun,,SEA,L,17.0,20.0,,15.0,27.0,0.556,171.0,1.0,6.3,7.07,87.1,1.0,9.0,28.0,92.0,3.2857142857142856,3.3,56.0,263.0,4.7,3.0,1.0,2.0,2.0,5.0,253.0,9.0,6.0,3.0,18.0,5.0,12.0,0.0,0.0,5.0,38.0,1.0,0.0,1.0,28:14,19.0,26.0,0.731,160.0,0.0,6.2,6.15,88.6,2.0,12.0,34.0,171.0,5.029411764705882,5.0,62.0,331.0,5.34,4.0,2.0,2.0,2.0,4.0,190.0,6.0,11.0,2.0,19.0,0.0,10.0,1.0,2.0,8.0,57.0,0.0,0.0,0.0,31:46,0,ARI,NFC West,NFC West
5.0,5.0,2018-10-07,Sun,@,SFO,W,28.0,18.0,,10.0,25.0,0.4,164.0,1.0,6.6,7.36,76.1,1.0,6.0,23.0,56.0,2.4347826086956523,2.4,49.0,220.0,4.49,0.0,0.0,4.0,4.0,8.0,317.0,5.0,4.0,1.0,10.0,2.0,12.0,0.0,0.0,5.0,46.0,0.0,0.0,0.0,19:48,34.0,54.0,0.63,300.0,2.0,5.6,4.63,74.6,4.0,49.0,34.0,147.0,4.323529411764706,4.3,92.0,447.0,4.86,1.0,0.0,0.0,0.0,4.0,177.0,22.0,9.0,2.0,33.0,10.0,17.0,1.0,2.0,9.0,65.0,3.0,2.0,5.0,40:12,0,ARI,NFC West,NFC West
6.0,6.0,2018-10-14,Sun,@,MIN,L,17.0,27.0,,21.0,31.0,0.677,208.0,0.0,6.7,5.26,73.1,4.0,32.0,20.0,60.0,3.0,3.0,55.0,268.0,4.87,1.0,1.0,2.0,2.0,6.0,288.0,9.0,5.0,2.0,16.0,0.0,10.0,0.0,2.0,5.0,30.0,1.0,1.0,2.0,25:38,24.0,34.0,0.706,216.0,1.0,6.4,5.62,84.9,4.0,17.0,32.0,195.0,6.09375,6.1,70.0,411.0,5.87,2.0,2.0,3.0,3.0,5.0,225.0,12.0,8.0,0.0,20.0,5.0,14.0,0.0,1.0,9.0,52.0,1.0,1.0,2.0,34:22,0,ARI,NFC West,NFC North
7.0,7.0,2018-10-18,Thu,,DEN,L,10.0,45.0,,21.0,39.0,0.5379999999999999,154.0,1.0,3.9,1.0,39.9,6.0,40.0,21.0,69.0,3.2857142857142856,3.3,66.0,223.0,3.38,1.0,1.0,1.0,1.0,6.0,304.0,8.0,4.0,2.0,14.0,4.0,14.0,0.0,1.0,7.0,45.0,2.0,3.0,5.0,29:11,15.0,22.0,0.682,178.0,2.0,8.1,7.86,104.0,2.0,11.0,31.0,131.0,4.225806451612903,4.2,55.0,309.0,5.62,1.0,1.0,6.0,6.0,6.0,261.0,8.0,6.0,1.0,15.0,5.0,13.0,0.0,0.0,5.0,50.0,0.0,1.0,1.0,30:49,0,ARI,NFC West,AFC West
8.0,8.0,2018-10-28,Sun,,SFO,W,18.0,15.0,,23.0,40.0,0.575,233.0,2.0,5.8,5.7,80.5,3.0,19.0,21.0,88.0,4.190476190476191,4.2,64.0,321.0,5.02,1.0,1.0,1.0,1.0,5.0,229.0,15.0,3.0,2.0,20.0,6.0,14.0,0.0,0.0,9.0,62.0,1.0,1.0,2.0,27:41,14.0,28.0,0.5,160.0,1.0,5.7,6.43,79.5,4.0,30.0,31.0,107.0,3.4516129032258065,3.5,63.0,267.0,4.24,2.0,2.0,1.0,1.0,7.0,285.0,9.0,5.0,2.0,16.0,5.0,14.0,0.0,0.0,5.0,59.0,0.0,0.0,0.0,32:19,0,ARI,NFC West,NFC West
9.0,10.0,2018-11-11,Sun,@,KAN,L,14.0,26.0,,22.0,39.0,0.564,166.0,1.0,4.3,2.46,54.0,5.0,42.0,25.0,94.0,3.76,3.8,69.0,260.0,3.77,0.0,0.0,2.0,2.0,5.0,247.0,13.0,7.0,1.0,21.0,7.0,14.0,1.0,2.0,3.0,30.0,0.0,2.0,2.0,31:47,21.0,28.0,0.75,212.0,2.0,7.6,9.0,119.9,5.0,37.0,23.0,118.0,5.130434782608695,5.1,56.0,330.0,5.89,2.0,2.0,2.0,2.0,5.0,233.0,12.0,8.0,0.0,20.0,4.0,11.0,0.0,0.0,8.0,63.0,0.0,0.0,0.0,28:13,0,ARI,NFC West,AFC West
10.0,11.0,2018-11-18,Sun,,LVR,L,21.0,23.0,,9.0,20.0,0.45,128.0,3.0,6.4,4.9,66.2,1.0,8.0,31.0,154.0,4.967741935483871,5.0,52.0,282.0,5.42,0.0,0.0,3.0,3.0,8.0,418.0,7.0,5.0,1.0,13.0,3.0,11.0,0.0,0.0,7.0,62.0,0.0,2.0,2.0,23:59,19.0,31.0,0.613,173.0,2.0,5.6,6.87,97.9,4.0,19.0,33.0,152.0,4.606060606060606,4.6,68.0,325.0,4.78,3.0,3.0,2.0,2.0,8.0,361.0,9.0,9.0,1.0,19.0,5.0,15.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,36:01,0,ARI,NFC West,AFC West
