Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff
2020-09-13,@ SFO,1,0,ARI vs. SFO,SFO,1500.0,1.0,20,ARI,1500.0,1.0,24,0,-4
2020-09-20,@ ARI,0,0,WAS vs. ARI,ARI,1550.0,1.0,30,WAS,1550.0,1.0,15,1,15
2020-09-27,@ ARI,0,0,DET vs. ARI,ARI,1600.0,1.0,23,DET,1414.0064999802885,22.0,26,0,-3
2020-10-04,@ CAR,0,0,ARI vs. CAR,CAR,1464.0064999802885,17.0,31,ARI,1525.527670641467,8.0,21,1,10
2020-10-11,@ NYJ,0,0,ARI vs. NYJ,NYJ,1315.7512647424771,27.0,10,ARI,1466.76545012671,11.0,30,0,-20
2020-10-19,@ DAL,0,0,ARI vs. DAL,DAL,1465.0278070983707,16.0,10,ARI,1496.3052912247954,10.0,38,0,-28
2020-10-25,@ ARI,1,0,SEA vs. ARI,ARI,1541.816219798112,7.0,37,SEA,1684.8453457389448,1.0,34,1,3
2020-11-08,@ ARI,0,0,MIA vs. ARI,ARI,1611.3107455687077,6.0,31,MIA,1581.869791162484,14.0,34,0,-3
2020-11-15,@ ARI,0,0,BUF vs. ARI,ARI,1557.083963621805,10.0,32,BUF,1664.1924627971578,3.0,30,1,2
2020-11-19,@ SEA,1,0,ARI vs. SEA,SEA,1684.8453457389448,1.0,28,ARI,1541.816219798112,7.0,21,1,7
2020-11-29,@ NWE,0,0,ARI vs. NWE,NWE,1427.4584859353358,15.0,20,ARI,1560.0675670596995,11.0,17,1,3
2020-12-06,@ ARI,1,0,LAR vs. ARI,ARI,1491.859305558815,13.0,28,LAR,1565.1913336039606,9.0,38,0,-10
2020-12-13,@ NYG,0,0,ARI vs. NYG,NYG,1540.776263145097,17.0,7,ARI,1452.258662148685,14.0,26,0,-19
2020-12-20,@ ARI,0,0,PHI vs. ARI,ARI,1514.7287194235212,14.0,33,PHI,1427.3839679400676,24.0,26,1,7
2020-12-26,@ ARI,1,0,SFO vs. ARI,ARI,1500.0,1.0,12,SFO,1500.0,1.0,20,0,-8
2021-01-03,@ LAR,1,0,ARI vs. LAR,LAR,1565.1913336039606,9.0,18,ARI,1491.859305558815,13.0,7,1,11
2020-09-13,@ ATL,0,0,SEA vs. ATL,ATL,1500.0,1.0,25,SEA,1500.0,1.0,38,0,-13
2020-09-20,@ DAL,0,0,ATL vs. DAL,DAL,1450.0,17.0,40,ATL,1450.0,17.0,39,1,1
2020-09-27,@ ATL,0,0,CHI vs. ATL,ATL,1400.0,22.0,26,CHI,1585.9935000197115,1.0,30,0,-4
2020-10-05,@ GNB,0,0,ATL vs. GNB,GNB,1623.864708082735,1.0,30,ATL,1374.472329358533,25.0,16,1,14
2020-10-11,@ ATL,1,0,CAR vs. ATL,ATL,1355.2498439607655,27.0,16,CAR,1522.7687204950455,11.0,23,0,-7
2020-10-18,@ MIN,0,0,ATL vs. MIN,MIN,1407.1882614107415,19.0,23,ATL,1327.6483581064754,26.0,40,0,-17
2020-10-25,@ ATL,0,0,DET vs. ATL,ATL,1388.8991981929867,20.0,22,DET,1468.7589222065644,16.0,23,0,-1
