Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff
2018-09-09,@ ARI,0,0,WAS vs. ARI,ARI,1500.0,1.0,6,WAS,1500.0,1.0,24,0,-18
2018-09-16,@ LAR,1,0,ARI vs. LAR,LAR,1550.0,1.0,34,ARI,1450.0,16.0,0,1,34
2018-09-23,@ ARI,0,0,CHI vs. ARI,ARI,1414.0064999802885,24.0,14,CHI,1500.0,8.0,16,0,-2
2018-09-30,@ ARI,1,0,SEA vs. ARI,ARI,1376.135291917265,30.0,17,SEA,1464.0064999802885,15.0,20,0,-3
2018-10-07,@ SFO,1,0,ARI vs. SFO,SFO,1412.1287919369765,18.0,18,ARI,1338.518071518325,30.0,28,0,-10
2018-10-14,@ MIN,0,0,ARI vs. MIN,MIN,1473.7530434094708,13.0,27,ARI,1398.9557937787752,25.0,17,1,10
2018-10-18,@ ARI,0,0,DEN vs. ARI,ARI,1359.5567130933075,26.0,10,DEN,1406.643981136228,22.0,45,0,-35
2018-10-28,@ ARI,1,0,SFO vs. ARI,ARI,1338.518071518325,30.0,18,SFO,1412.1287919369765,18.0,15,1,3
2018-11-11,@ KAN,0,0,ARI vs. KAN,KAN,1701.7854681544168,1.0,26,ARI,1364.5141500270008,23.0,14,1,12
2018-11-18,@ ARI,0,0,LVR vs. ARI,ARI,1351.9657219723006,25.0,21,LVR,1252.7035324659735,28.0,23,0,-2
2018-11-25,@ LAC,0,0,ARI vs. LAC,LAC,1594.5432156294476,4.0,45,ARI,1288.0571273504333,25.0,10,1,35
2018-12-02,@ GNB,0,0,ARI vs. GNB,GNB,1404.156326390067,19.0,17,ARI,1273.4315632250741,28.0,20,0,-3
2018-12-09,@ ARI,0,0,DET vs. ARI,ARI,1341.4041486610822,29.0,3,DET,1435.8912350988533,22.0,17,0,-14
2018-12-16,@ ATL,0,0,ARI vs. ATL,ATL,1320.5698988657173,26.0,40,ARI,1304.6763323733996,30.0,14,1,26
2018-12-23,@ ARI,1,0,LAR vs. ARI,ARI,1450.0,16.0,9,LAR,1550.0,1.0,31,0,-22
2018-12-30,@ SEA,1,0,ARI vs. SEA,SEA,1464.0064999802885,15.0,27,ARI,1376.135291917265,30.0,24,1,3
2018-09-06,@ PHI,0,0,ATL vs. PHI,PHI,1500.0,1.0,18,ATL,1500.0,1.0,12,1,6
2018-09-16,@ ATL,1,0,CAR vs. ATL,ATL,1450.0,16.0,31,CAR,1550.0,1.0,24,1,7
2018-09-23,@ ATL,1,0,NOR vs. ATL,ATL,1514.0064999802885,8.0,37,NOR,1500.0,8.0,43,0,-6
2018-09-30,@ ATL,0,0,CIN vs. ATL,ATL,1461.991893872262,15.0,36,CIN,1534.157706389236,4.0,37,0,-1
2018-10-07,@ PIT,0,0,ATL vs. PIT,PIT,1448.9219527705773,18.0,41,ATL,1422.230567162074,18.0,17,1,24
2018-10-14,@ ATL,1,0,TAM vs. ATL,ATL,1376.0642273004573,25.0,34,TAM,1477.3033014617986,10.0,29,1,5
2018-10-22,@ ATL,0,0,NYG vs. ATL,ATL,1440.2348866433613,22.0,23,NYG,1341.3052929889657,26.0,20,1,3
2018-11-04,@ WAS,0,0,ATL vs. WAS,WAS,1614.0792956339872,5.0,14,ATL,1476.3704644338757,16.0,38,0,-24
2018-11-11,@ CLE,0,0,ATL vs. CLE,CLE,1346.1886051738982,23.0,28,ATL,1545.2118802464856,13.0,16,1,12
2018-11-18,@ ATL,0,0,DAL vs. ATL,ATL,1469.3399654116952,13.0,19,DAL,1464.496539775944,13.0,22,0,-3
2018-11-22,@ NOR,1,0,ATL vs. NOR,NOR,1500.0,8.0,31,ATL,1514.0064999802885,8.0,17,1,14
2018-12-02,@ ATL,0,0,BAL vs. ATL,ATL,1408.3822179646174,19.0,16,BAL,1538.8331776247485,7.0,26,0,-10
2018-12-09,@ GNB,0,0,ATL vs. GNB,GNB,1336.183740954059,22.0,34,ATL,1376.3204813424995,22.0,20,1,14
2018-12-23,@ CAR,1,0,ATL vs. CAR,CAR,1550.0,1.0,10,ATL,1450.0,16.0,24,0,-14
2018-12-30,@ TAM,1,0,ATL vs. TAM,TAM,1477.3033014617986,10.0,32,ATL,1376.0642273004573,25.0,34,0,-2
2018-09-09,@ BAL,0,0,BUF vs. BAL,BAL,1500.0,1.0,47,BUF,1500.0,1.0,3,1,44
2018-09-13,@ CIN,1,0,BAL vs. CIN,CIN,1550.0,1.0,34,BAL,1550.0,1.0,23,1,11
2018-09-23,@ BAL,0,0,DEN vs. BAL,BAL,1500.0,8.0,27,DEN,1585.9935000197115,1.0,14,1,13
2018-09-30,@ PIT,1,0,BAL vs. PIT,PIT,1488.4788293388215,15.0,14,BAL,1562.1287919369765,4.0,26,0,-12
2018-10-07,@ CLE,1,0,BAL vs. CLE,CLE,1403.305234662184,18.0,12,BAL,1601.6856685052207,3.0,9,1,3
2018-10-14,@ TEN,0,0,BAL vs. TEN,TEN,1536.2459453493295,6.0,0,BAL,1525.8815613392408,6.0,21,0,-21
2018-10-21,@ BAL,0,0,NOR vs. BAL,BAL,1577.372673812161,3.0,23,NOR,1630.6326633543144,3.0,24,0,-1
2018-10-28,@ CAR,0,0,BAL vs. CAR,CAR,1565.1541660602536,6.0,36,BAL,1534.977923064056,8.0,21,1,15
2018-11-04,@ BAL,1,0,PIT vs. BAL,BAL,1562.1287919369765,4.0,16,PIT,1488.4788293388215,15.0,23,0,-7
2018-11-18,@ BAL,1,0,CIN vs. BAL,BAL,1550.0,1.0,24,CIN,1550.0,1.0,21,1,3
2018-11-25,@ BAL,0,0,LVR vs. BAL,BAL,1514.5953183615934,10.0,34,LVR,1316.6121270878407,25.0,17,1,17
2018-12-09,@ KAN,0,0,BAL vs. KAN,KAN,1673.6011571298204,2.0,27,BAL,1570.8949142468664,8.0,24,1,3
2018-12-16,@ BAL,0,0,TAM vs. BAL,BAL,1535.2595232569236,10.0,20,TAM,1407.3377117002713,20.0,12,1,8
2018-12-22,@ LAC,0,0,BAL vs. LAC,LAC,1731.379985365248,2.0,10,BAL,1567.6392103321825,8.0,22,0,-12
2018-12-30,@ BAL,1,0,CLE vs. BAL,BAL,1601.6856685052207,3.0,26,CLE,1403.305234662184,18.0,24,1,2
2019-01-06,@ BAL,0,1,LAC vs. BAL,BAL,1681.3393278190697,8.0,17,LAC,1676.2912143057667,3.0,23,0,-6
2018-09-16,@ BUF,0,0,LAC vs. BUF,BUF,1450.0,16.0,20,LAC,1450.0,16.0,31,0,-11
2018-09-23,@ MIN,0,0,BUF vs. MIN,MIN,1500.0,8.0,6,BUF,1400.0,24.0,27,0,-21
2018-09-30,@ GNB,0,0,BUF vs. GNB,GNB,1447.9853938919734,15.0,22,BUF,1464.0064999802885,15.0,0,1,22
2018-10-07,@ BUF,0,0,TEN vs. BUF,BUF,1411.7025102812584,18.0,13,TEN,1612.2814127130232,3.0,12,1,1
2018-10-14,@ HOU,0,0,BUF vs. HOU,HOU,1476.1321424883909,13.0,20,BUF,1487.737977644952,13.0,13,1,7
2018-10-21,@ IND,0,0,BUF vs. IND,IND,1326.3255893063456,26.0,37,BUF,1436.068384662603,22.0,5,1,32
2018-10-29,@ BUF,1,0,NWE vs. BUF,BUF,1370.7802145117107,23.0,6,NWE,1652.7761000808182,4.0,25,0,-19
2018-11-04,@ BUF,0,0,CHI vs. BUF,BUF,1354.3051718277445,23.0,9,CHI,1532.0356274297703,9.0,41,0,-32
2018-11-11,@ NYJ,1,0,BUF vs. NYJ,NYJ,1363.8037891786996,21.0,10,BUF,1327.8627475876137,23.0,41,0,-31
2018-11-25,@ BUF,0,0,JAX vs. BUF,BUF,1383.0167078222407,22.0,24,JAX,1325.3402772571303,22.0,21,1,3
2018-12-02,@ MIA,1,0,BUF vs. MIA,MIA,1407.752987319214,14.0,21,BUF,1424.7918177206454,19.0,17,1,4
2018-12-09,@ BUF,1,0,NYJ vs. BUF,BUF,1327.8627475876137,23.0,23,NYJ,1363.8037891786996,21.0,27,0,-4
2018-12-16,@ BUF,0,0,DET vs. BUF,BUF,1307.898371632064,26.0,14,DET,1472.6190513865358,20.0,13,1,1
2018-12-23,@ NWE,1,0,BUF vs. NWE,NWE,1652.7761000808182,4.0,24,BUF,1370.7802145117107,23.0,12,1,12
2018-12-30,@ BUF,1,0,MIA vs. BUF,BUF,1424.7918177206454,19.0,42,MIA,1407.752987319214,14.0,17,1,25
2018-09-09,@ CAR,0,0,DAL vs. CAR,CAR,1500.0,1.0,16,DAL,1500.0,1.0,8,1,8
2018-09-23,@ CAR,0,0,CIN vs. CAR,CAR,1485.9935000197115,8.0,31,CIN,1600.0,1.0,21,1,10
2018-10-07,@ CAR,0,0,NYG vs. CAR,CAR,1551.8357936304756,4.0,33,NYG,1414.2732376030872,18.0,31,1,2
2018-10-14,@ WAS,0,0,CAR vs. WAS,WAS,1495.116811278363,12.0,23,CAR,1583.0124421831522,5.0,17,1,6
2018-10-21,@ PHI,0,0,CAR vs. PHI,PHI,1482.4487209080196,11.0,17,CAR,1520.6263634799993,8.0,21,0,-4
