Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff
2013-09-08,@ LAR,1,0,ARI vs. LAR,LAR,1500.0,1.0,27,ARI,1500.0,1.0,24,1,3
2013-09-15,@ ARI,0,0,DET vs. ARI,ARI,1450.0,17.0,25,DET,1550.0,1.0,21,1,4
2013-09-22,@ NOR,0,0,ARI vs. NOR,NOR,1585.9935000197115,1.0,31,ARI,1514.0064999802885,9.0,7,1,24
2013-09-29,@ TAM,0,0,ARI vs. TAM,TAM,1388.4788293388215,27.0,10,ARI,1474.2205165379482,16.0,13,0,-3
2013-10-06,@ ARI,0,0,CAR vs. ARI,ARI,1512.1258369705592,11.0,22,CAR,1452.0146061080266,16.0,6,1,16
2013-10-13,@ SFO,1,0,ARI vs. SFO,SFO,1548.2926223389093,7.0,32,ARI,1553.560430604831,7.0,20,1,12
2013-10-17,@ ARI,1,0,SEA vs. ARI,ARI,1502.8023901422937,12.0,22,SEA,1643.8100281330967,3.0,34,0,-12
2013-10-27,@ ARI,0,0,ATL vs. ARI,ARI,1472.0496657213052,16.0,27,ATL,1441.717588612477,23.0,13,1,14
2013-11-10,@ ARI,0,0,HOU vs. ARI,ARI,1517.6955852476474,11.0,27,HOU,1363.339446646234,22.0,24,1,3
2013-11-17,@ JAX,0,0,ARI vs. JAX,JAX,1344.3100096328033,27.0,14,ARI,1546.8365957857952,9.0,27,0,-13
2013-11-24,@ ARI,0,0,IND vs. ARI,ARI,1570.5974294186192,9.0,40,IND,1599.7724928184562,5.0,11,1,29
2013-12-01,@ PHI,0,0,ARI vs. PHI,PHI,1550.6477879672138,13.0,24,ARI,1624.7862175739062,6.0,21,1,3
2013-12-08,@ ARI,1,0,LAR vs. ARI,ARI,1500.0,1.0,30,LAR,1500.0,1.0,10,1,20
