Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_TmDiv,Aw_WStreak,Aw_AvgMoV,Aw_TotPtDiff,Aw_OppSOS,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_TO,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_TmDiv,Hm_WStreak,Hm_AvgMoV,Hm_TotPtDiff,Hm_OppSOS,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_TO,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Matchup,Home Team,Home Elo,Home Lg Rank,Away Team,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline,Divisional Game,Playoff Game
ARI,9.0,0.8181818181818182,11.0,11.0,14.200000000000003,-1.0,-15.200000000000003,0.0,2.3846153846153846,1.3076923076923077,1.5324675324675325,7.766113756788394,31.0,17.0,NFC West,1,12.0,108,0.43301587301587297,0.7140000000000001,8.57,3.0,2.0,3.9,1.0,58.0,1.0,8,0.4666666666666667,0.645,6.05,4.0,1.0,4.5,1.0,57.0,2.0,0.4666666666666667,1.2338862432116056,2021-12-05,2021,CHI,4.0,0.36363636363636365,11.0,12.0,-23.200000000000003,0.0,0.9000000000000057,-1.0,1.6875,2.0714285714285716,-0.3839285714285716,4.297736105346047,16.0,24.0,NFC North,1,-3.0,-75,0.5454761904761904,0.619,4.56,4.0,1.0,4.8,1.0,54.0,1.0,-4,0.36363636363636365,0.633,7.85,3.0,2.0,3.6,1.0,51.0,1.0,0.36363636363636365,-0.297736105346047,2021,ARI vs. CHI,CHI,1396.623157821536,24.0,ARI,1638.088867145787,1.0,0,-11,7.5,0,314.0,-373.0,0,0
LAR,8.0,0.6666666666666666,13.0,12.0,4.100000000000001,-0.5,-20.0,-1.0,2.482142857142857,1.875,0.47115384615384615,7.136940330588606,28.0,23.0,NFC West,1,9.0,66,0.44335891381345927,0.6615,8.915,3.5,3.0,4.0,1.0,35.5,1.5,3,0.3484848484848485,0.67,6.02,3.0,1.0,3.4,1.0,36.5,1.5,0.3484848484848485,0.8630596694113937,2021-12-13,2021,ARI,10.0,0.8333333333333334,11.0,11.5,15.050000000000004,-1.0,-18.950000000000003,0.0,2.5494505494505493,1.353846153846154,1.5386696636696637,8.489426188963897,31.0,18.0,NFC West,2,11.5,119,0.4267086448904631,0.7235,8.8,3.0,2.0,3.9,1.0,58.5,1.0,12,0.4606060606060606,0.6395,5.455,4.0,1.5,4.45,1.0,51.0,2.0,0.4606060606060606,1.510573811036103,2021,LAR vs. ARI,ARI,1613.0839817871451,1.0,LAR,1635.9935000197115,1.0,0,-7,-3.0,0,-172.0,154.0,1,0
ARI,10.0,0.7692307692307693,11.0,12.0,14.200000000000003,-1.0,-15.200000000000003,0.0,2.3846153846153846,1.4,1.5324675324675325,8.837001011682057,31.0,19.0,NFC West,-1,11.0,112,0.44670514670514666,0.7140000000000001,8.57,3.0,2.0,3.9,1.0,58.0,1.0,10,0.4666666666666667,0.645,6.05,4.0,2.0,4.4,1.0,45.0,2.0,0.4666666666666667,1.162998988317943,2021-12-19,2021,DET,1.0,0.07692307692307693,12.0,12.0,-15.700000000000003,0.0,-6.700000000000003,0.0,1.3076923076923077,2.6153846153846154,-0.6153846153846154,3.826239898596485,16.0,27.0,NFC North,-1,-8.0,-141,0.4318272005772006,0.652,5.62,4.0,1.0,4.5,1.0,53.0,2.0,-4,0.35714285714285715,0.6829999999999999,8.24,4.0,1.0,4.7,1.0,59.0,1.0,0.35714285714285715,-2.826239898596485,2021,ARI vs. DET,DET,1245.8430806112474,28.0,ARI,1589.8778060075924,1.0,1,18,13.0,1,495.0,-634.0,0,0
IND,8.0,0.5714285714285714,13.0,13.0,-7.199999999999996,0.0,-9.850000000000001,0.0,2.033333333333333,1.6416666666666666,0.6793345543345544,8.676588996377,28.5,21.5,AFC South,2,8.0,98,0.5133942980096826,0.6305000000000001,6.609999999999999,4.0,2.0,4.75,1.0,37.5,1.0,14,0.4330357142857143,0.6605000000000001,5.75,4.0,2.0,4.35,1.0,47.0,2.0,0.4330357142857143,-0.6765889963769993,2021-12-25,2021,ARI,10.0,0.7142857142857143,11.0,12.5,13.050000000000004,-0.5,-12.850000000000001,0.0,2.358974358974359,1.4692307692307693,1.2207792207792207,8.939330148015113,31.0,19.5,NFC West,-2,10.5,94,0.4182603721065259,0.712,8.355,3.5,1.5,4.0,1.0,58.5,1.0,10,0.4666666666666667,0.646,6.38,4.0,2.0,4.300000000000001,1.0,47.0,1.5,0.4666666666666667,1.060669851984887,2021,IND vs. ARI,ARI,1502.0051805108096,2.0,IND,1633.634578400184,9.0,0,-6,-3.0,0,-161.0,143.0,0,0
ARI,10.0,0.6666666666666666,11.0,12.0,11.900000000000006,0.0,-10.5,0.0,2.3333333333333335,1.5384615384615385,0.909090909090909,9.259120518003487,31.0,20.0,NFC West,-3,10.0,88,0.42920095777238637,0.71,8.14,4.0,1.0,4.1,1.0,59.0,1.0,10,0.4666666666666667,0.645,6.71,4.0,2.0,4.2,1.0,45.0,1.0,0.4666666666666667,0.7408794819965134,2022-01-02,2021,DAL,11.0,0.7333333333333333,14.0,13.0,0.5999999999999943,-1.0,-18.200000000000003,0.0,2.0,1.4166666666666667,0.4615384615384617,9.747016345493703,29.0,20.0,NFC East,4,7.0,150,0.531486370772085,0.6970000000000001,8.2,3.0,2.0,3.9,1.0,55.0,1.0,14,0.42857142857142855,0.622,5.54,4.0,1.0,4.4,0.75,57.0,2.0,0.42857142857142855,1.2529836545062967,2021,ARI vs. DAL,DAL,1662.9710006108437,2.0,ARI,1470.091026157733,6.0,0,-3,-6.5,0,-262.0,225.0,0,0
SEA,6.0,0.375,13.0,11.5,4.850000000000001,0.0,-6.349999999999994,-1.0,1.65,1.7777777777777777,-0.24589932126696834,7.726300493539419,22.0,22.0,NFC West,1,-2.5,21,0.42563917563917564,0.6675,7.395,4.0,2.0,4.6,1.0,42.5,0.0,6,0.3333333333333333,0.6739999999999999,6.975,3.0,1.0,3.9,1.0,44.0,1.0,0.3333333333333333,-1.7263004935394193,2022-01-09,2021,ARI,11.0,0.6875,11.0,11.5,8.900000000000006,-0.5,-10.049999999999997,0.0,2.3166666666666664,1.685897435897436,0.6717171717171716,9.834287715338718,28.0,21.0,NFC West,1,8.5,91,0.4494764494764495,0.7010000000000001,8.07,3.5,1.5,4.05,1.0,58.5,1.0,11,0.4641025641025641,0.644,6.775,4.0,2.0,4.15,1.0,47.0,1.0,0.4641025641025641,1.1657122846612822,2021,SEA vs. ARI,ARI,1614.9814942966357,1.0,SEA,1406.127843292101,23.0,0,-8,-5.5,0,-235.0,190.0,1,0
ARI,11.0,0.6470588235294118,11.0,12.0,5.900000000000006,0.0,-9.599999999999994,0.0,2.3333333333333335,1.8333333333333333,0.43434343434343425,10.19777932066692,30.0,22.0,NFC West,-1,7.0,83,0.4448216713841714,0.71,8.0,4.0,1.0,4.1,1.0,58.0,1.0,12,0.4666666666666667,0.643,6.84,4.0,2.0,4.2,1.0,45.0,1.0,0.4666666666666667,0.8022206793330806,2022-01-17,2021,LAR,12.0,0.7058823529411765,13.0,12.0,0.7000000000000028,0.0,-23.099999999999994,-1.0,2.25,1.7692307692307692,0.4610389610389609,10.240717779358208,28.0,23.0,NFC West,-1,7.0,88,0.48067063145188144,0.6759999999999999,7.69,4.0,3.0,4.1,1.0,35.0,2.0,2,0.4166666666666667,0.653,5.62,3.0,1.0,3.7,1.0,38.0,2.0,0.4166666666666667,1.7592822206417917,2021,ARI vs. LAR,LAR,1635.9935000197115,1.0,ARI,1613.0839817871451,1.0,0,-17,-3.5,0,-200.0,178.0,1,0
ATL,0.0,0.0,12.0,13.0,-31.700000000000003,0.0,26.0,1.0,0.5,2.4615384615384617,-1.9615384615384617,0.018572536543540522,6.0,32.0,NFC South,-1,-26.0,-26,0.5,0.6,3.89,4.0,0.0,4.8,1.0,99.0,0.0,0,0.21428571428571427,0.7709999999999999,9.17,5.0,3.0,5.6,1.0,89.0,0.0,0.21428571428571427,-0.018572536543540522,2021-09-19,2021,TAM,1.0,1.0,16.0,15.0,-3.0,-1.0,0.5999999999999943,-1.0,1.9375,1.9333333333333333,0.004166666666666652,0.5394325798247723,31.0,29.0,NFC South,1,2.0,2,0.5,0.64,7.38,3.0,4.0,3.7,1.0,106.0,4.0,-3,0.45454545454545453,0.7240000000000001,7.0,3.0,3.0,3.3,0.6,55.0,1.0,0.45454545454545453,0.46056742017522767,2021,ATL vs. TAM,TAM,1550.0,1.0,ATL,1450.0,17.0,1,23,-13.5,1,-772.0,582.0,1,0
ATL,0.0,0.0,12.0,13.0,-27.800000000000004,-1.0,26.6,0.0,1.2916666666666667,3.076923076923077,-1.7852564102564104,0.19423573191203952,15.5,40.0,NFC South,-2,-24.5,-49,1.0,0.6645000000000001,4.01,3.0,1.0,3.8,1.0,74.0,1.5,-2,0.30714285714285716,0.719,9.57,4.0,4.0,4.75,1.0,86.0,0.5,0.30714285714285716,-0.19423573191203952,2021-09-26,2021,NYG,0.0,0.0,11.0,13.0,-5.649999999999999,0.0,6.399999999999999,0.0,1.8482142857142858,2.196428571428571,-0.3482142857142856,0.630230087876171,21.0,28.5,NFC East,-2,-7.5,-15,0.0,0.6415,7.58,4.0,1.0,4.4,1.0,64.5,0.5,1,0.41666666666666663,0.7585000000000001,7.52,4.0,2.0,4.95,1.0,65.5,1.0,0.41666666666666663,-0.630230087876171,2021,ATL vs. NYG,NYG,1400.0,26.0,ATL,1414.0064999802885,26.0,0,-3,-3.0,0,-143.0,129.0,0,0
WAS,1.0,0.3333333333333333,13.0,12.0,-1.9000000000000057,-1.0,-0.5,-1.0,1.6153846153846154,2.0714285714285716,-0.7692307692307692,1.045518830419176,21.0,29.0,NFC East,-1,-4.0,-25,0.25,0.667,6.85,3.0,2.0,4.0,0.875,57.0,1.0,-3,0.3,0.688,7.75,3.0,1.0,3.7,1.0,81.0,0.0,0.3,-0.04551883041917604,2021-10-03,2021,ATL,1.0,0.3333333333333333,12.0,13.0,-23.900000000000006,-1.0,26.0,-1.0,1.3076923076923077,2.4615384615384617,-1.608974358974359,0.8072854333148201,17.0,32.0,NFC South,1,-23.0,-46,0.5,0.7290000000000001,4.13,3.0,2.0,3.5,1.0,49.0,1.0,-2,0.38461538461538464,0.6859999999999999,9.17,3.0,3.0,3.9,1.0,83.0,1.0,0.38461538461538464,0.19271456668517994,2021,WAS vs. ATL,ATL,1461.991893872262,17.0,WAS,1452.0146061080266,17.0,0,-4,1.0,0,106.0,-117.0,0,0
