Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2017-09-10,@ DET,0,0,ARI vs. DET,DET,1500.0,1.0,35,ARI,1500.0,1.0,23,1,12,2.5,1,106.0,-117.0
2017-09-17,@ IND,0,0,ARI vs. IND,IND,1450.0,16.0,13,ARI,1450.0,16.0,16,0,-3,7.0,1,252.0,-285.0
2017-09-25,@ ARI,0,0,DAL vs. ARI,ARI,1500.0,11.0,17,DAL,1500.0,11.0,28,0,-11,3.0,0,137.0,-151.0
2017-10-01,@ ARI,1,0,SFO vs. ARI,ARI,1450.0,21.0,18,SFO,1362.1287919369765,28.0,15,1,3,-6.5,0,-265.0,235.0
2017-10-08,@ PHI,0,0,ARI vs. PHI,PHI,1566.8753620869445,2.0,34,ARI,1487.61722039894,12.0,7,1,27,-6.0,1,-254.0,226.0
2017-10-15,@ ARI,0,0,TAM vs. ARI,ARI,1448.8295577990875,17.0,38,TAM,1467.721105840599,15.0,33,1,5,2.5,1,121.0,-134.0
2017-10-22,@ LAR,1,0,ARI vs. LAR,LAR,1571.9645408712163,3.0,33,ARI,1501.5455939263313,14.0,0,1,33,-3.0,1,-164.0,148.0
2017-11-05,@ SFO,1,0,ARI vs. SFO,SFO,1362.1287919369765,28.0,10,ARI,1450.0,21.0,20,0,-10,2.5,0,118.0,-130.0
2017-11-09,@ ARI,1,0,SEA vs. ARI,ARI,1482.8136676537133,11.0,16,SEA,1555.11561665473,6.0,22,0,-6,6.0,0,218.0,-245.0
2017-11-19,@ HOU,0,0,ARI vs. HOU,HOU,1379.9657659352877,19.0,31,ARI,1443.071109532583,15.0,21,1,10,-2.5,1,-130.0,118.0
2017-11-26,@ ARI,0,0,JAX vs. ARI,ARI,1384.0880875953198,17.0,27,JAX,1622.0201553496345,6.0,24,1,3,6.5,1,231.0,-260.0
2017-12-03,@ ARI,1,0,LAR vs. ARI,ARI,1501.5455939263313,14.0,16,LAR,1571.9645408712163,3.0,32,0,-16,7.5,0,273.0,-310.0
2017-12-10,@ ARI,0,0,TEN vs. ARI,ARI,1440.696497723357,20.0,12,TEN,1605.5376064442141,7.0,7,1,5,2.5,1,129.0,-143.0
2017-12-17,@ WAS,0,0,ARI vs. WAS,WAS,1415.9231876463377,22.0,20,ARI,1512.7859224448923,19.0,15,1,5,-4.0,1,-202.0,181.0
2017-12-24,@ ARI,0,0,NYG vs. ARI,ARI,1449.1965253555761,19.0,23,NYG,1260.979578358807,31.0,0,1,23,-3.0,1,-173.0,156.0
2017-12-31,@ SEA,1,0,ARI vs. SEA,SEA,1555.11561665473,6.0,24,ARI,1482.8136676537133,11.0,26,0,-2,-8.0,0,-374.0,325.0
2017-09-10,@ CHI,0,0,ATL vs. CHI,CHI,1500.0,1.0,17,ATL,1500.0,1.0,23,0,-6,6.5,1,245.0,-277.0
2017-09-17,@ ATL,0,0,GNB vs. ATL,ATL,1550.0,1.0,34,GNB,1550.0,1.0,23,1,11,-3.5,1,-177.0,159.0
2017-09-24,@ DET,0,0,ATL vs. DET,DET,1585.9935000197115,1.0,26,ATL,1600.0,1.0,30,0,-4,3.0,0,151.0,-167.0
2017-10-01,@ ATL,0,0,BUF vs. ATL,ATL,1647.9853938919734,1.0,17,BUF,1564.0064999802885,3.0,23,0,-6,-8.0,0,-380.0,330.0
2017-10-15,@ ATL,0,0,MIA vs. ATL,ATL,1586.1298482840277,2.0,17,MIA,1485.3416794210116,15.0,20,0,-3,-14.0,0,-800.0,638.0
2017-10-22,@ NWE,0,0,ATL vs. NWE,NWE,1601.6903489987242,3.0,23,ATL,1522.0188891540088,9.0,7,1,16,-3.0,1,-150.0,136.0
2017-10-29,@ NYJ,0,0,ATL vs. NYJ,NYJ,1466.2669957252435,19.0,20,ATL,1483.2877016150549,15.0,25,0,-5,6.5,1,248.0,-280.0
2017-11-05,@ CAR,1,0,ATL vs. CAR,CAR,1543.2788900291182,9.0,20,ATL,1530.840182817301,10.0,17,1,3,3.0,1,134.0,-148.0
2017-11-12,@ ATL,0,0,DAL vs. ATL,ATL,1482.6294922653049,11.0,27,DAL,1593.3311198977374,6.0,7,1,20,-3.5,1,-185.0,166.0
2017-11-20,@ SEA,0,0,ATL vs. SEA,SEA,1594.8581747758603,7.0,31,ATL,1548.042643109733,10.0,34,0,-3,-1.0,0,-114.0,103.0
2017-11-26,@ ATL,1,0,TAM vs. ATL,ATL,1604.7394585002587,8.0,34,TAM,1460.400122685204,17.0,20,1,14,-10.5,1,-470.0,400.0
2017-12-03,@ ATL,0,0,MIN vs. ATL,ATL,1635.0852768903503,8.0,9,MIN,1753.5523376731849,2.0,14,0,-5,-2.0,0,-121.0,110.0
2017-12-07,@ ATL,1,0,NOR vs. ATL,ATL,1601.5026819260552,11.0,20,NOR,1710.6454397189816,5.0,17,1,3,-2.5,1,-134.0,121.0
2017-12-18,@ TAM,1,0,ATL vs. TAM,TAM,1460.400122685204,17.0,21,ATL,1604.7394585002587,8.0,24,0,-3,7.0,1,281.0,-320.0
2017-12-24,@ NOR,1,0,ATL vs. NOR,NOR,1710.6454397189816,5.0,23,ATL,1601.5026819260552,11.0,13,1,10,-5.5,1,-242.0,216.0
2017-12-31,@ ATL,1,0,CAR vs. ATL,ATL,1530.840182817301,10.0,22,CAR,1543.2788900291182,9.0,10,1,12,-5.0,1,-236.0,211.0
2018-01-06,@ LAR,0,1,ATL vs. LAR,LAR,1631.8724119615024,5.0,13,ATL,1689.553741486465,8.0,26,0,-13,-6.5,0,-250.0,222.0
2018-01-13,@ PHI,0,1,ATL vs. PHI,PHI,1670.9456931867103,1.0,15,ATL,1731.3281654468917,2.0,10,1,5,2.5,1,120.0,-133.0
2017-09-10,@ CIN,1,0,BAL vs. CIN,CIN,1500.0,1.0,0,BAL,1500.0,1.0,20,0,-20,-2.5,0,-140.0,127.0
2017-09-17,@ BAL,1,0,CLE vs. BAL,BAL,1550.0,1.0,24,CLE,1450.0,16.0,10,1,14,-7.5,1,-320.0,281.0
2017-09-24,@ JAX,0,0,BAL vs. JAX,JAX,1485.9935000197115,11.0,44,BAL,1585.9935000197115,1.0,7,1,37,3.0,1,146.0,-162.0
2017-10-01,@ BAL,1,0,PIT vs. BAL,BAL,1521.987000039423,3.0,9,PIT,1524.7841979982427,3.0,26,0,-17,3.5,0,166.0,-185.0
2017-10-08,@ LVR,0,0,BAL vs. LVR,LVR,1477.2489752869162,12.0,17,BAL,1472.3895404872612,12.0,30,0,-13,-3.0,0,-155.0,140.0
2017-10-15,@ BAL,0,0,CHI vs. BAL,BAL,1523.0888237720376,5.0,24,CHI,1399.0589359637015,24.0,27,0,-3,-5.5,0,-225.0,201.0
2017-10-22,@ MIN,0,0,BAL vs. MIN,MIN,1604.7401144244516,3.0,24,BAL,1455.9609691032472,14.0,16,1,8,-5.0,1,-220.0,197.0
2017-10-26,@ BAL,0,0,MIA vs. BAL,BAL,1426.1526359029035,19.0,40,MIA,1593.9008617679144,7.0,0,1,40,-3.0,1,-156.0,141.0
