Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2015-09-13,@ ARI,0,0,NOR vs. ARI,ARI,1500.0,1.0,31,NOR,1500.0,1.0,19,1,12,-2.0,1,-130.0,118.0
2015-09-20,@ CHI,0,0,ARI vs. CHI,CHI,1450.0,17.0,23,ARI,1550.0,1.0,48,0,-25,2.0,0,108.0,-119.0
2015-09-27,@ ARI,1,0,SFO vs. ARI,ARI,1585.9935000197115,1.0,47,SFO,1485.9935000197115,10.0,7,1,40,-7.0,1,-301.0,265.0
2015-10-04,@ ARI,1,0,LAR vs. ARI,ARI,1621.987000039423,1.0,22,LAR,1440.0161815928163,14.0,24,0,-2,-7.0,0,-285.0,252.0
2015-10-11,@ DET,0,0,ARI vs. DET,DET,1338.3791643307773,30.0,17,ARI,1547.9573875521708,6.0,42,0,-25,4.5,0,181.0,-202.0
2015-10-18,@ PIT,0,0,ARI vs. PIT,PIT,1538.0296179871152,7.0,25,ARI,1570.9907342536944,6.0,13,1,12,5.5,1,205.0,-230.0
2015-10-26,@ ARI,0,0,BAL vs. ARI,ARI,1516.2614281462497,8.0,26,BAL,1343.7216753562357,25.0,18,1,8,-10.0,0,-455.0,389.0
2015-11-01,@ CLE,0,0,ARI vs. CLE,CLE,1399.8164924436423,20.0,20,ARI,1543.2891083100674,4.0,34,0,-14,7.0,0,271.0,-308.0
2015-11-15,@ SEA,1,0,ARI vs. SEA,SEA,1530.1741725017093,12.0,32,ARI,1573.7404882388853,6.0,39,0,-7,-3.0,0,-150.0,136.0
2015-11-22,@ ARI,0,0,CIN vs. ARI,ARI,1617.503446863072,4.0,34,CIN,1660.9320247470328,3.0,31,1,3,-4.0,0,-199.0,179.0
2015-11-29,@ SFO,1,0,ARI vs. SFO,SFO,1485.9935000197115,10.0,13,ARI,1585.9935000197115,1.0,19,0,-6,7.5,1,318.0,-365.0
2015-12-06,@ LAR,1,0,ARI vs. LAR,LAR,1440.0161815928163,14.0,3,ARI,1621.987000039423,1.0,27,0,-24,3.5,0,162.0,-180.0
2015-12-10,@ ARI,0,0,MIN vs. ARI,ARI,1703.3556980899918,2.0,23,MIN,1575.3101360544745,6.0,20,1,3,-10.0,0,-450.0,385.0
2015-12-20,@ PHI,0,0,ARI vs. PHI,PHI,1530.14949344159,12.0,17,ARI,1735.7197897163137,2.0,40,0,-23,3.5,0,156.0,-173.0
2015-12-27,@ ARI,0,0,GNB vs. ARI,ARI,1759.1646898305464,2.0,38,GNB,1642.6092284972597,5.0,8,1,30,-6.0,1,-248.0,221.0
2016-01-03,@ ARI,1,0,SEA vs. ARI,ARI,1573.7404882388853,6.0,6,SEA,1530.1741725017093,12.0,36,0,-30,-6.0,0,-234.0,209.0
2016-01-16,@ ARI,0,1,GNB vs. ARI,ARI,1717.5214346338007,2.0,26,GNB,1619.0218456824955,3.0,20,1,6,-6.0,0,-248.0,221.0
2016-01-24,@ CAR,0,1,ARI vs. CAR,CAR,1792.4036361374701,1.0,49,ARI,1753.7141565696402,2.0,15,1,34,-3.5,1,-174.0,154.0
2015-09-14,@ ATL,0,0,PHI vs. ATL,ATL,1500.0,1.0,26,PHI,1500.0,1.0,24,1,2,3.5,1,159.0,-177.0
2015-09-20,@ NYG,0,0,ATL vs. NYG,NYG,1450.0,17.0,20,ATL,1550.0,1.0,24,0,-4,-2.0,0,-123.0,111.0
2015-09-27,@ DAL,0,0,ATL vs. DAL,DAL,1585.9935000197115,1.0,28,ATL,1585.9935000197115,1.0,39,0,-11,-1.0,0,-115.0,104.0
2015-10-04,@ ATL,0,0,HOU vs. ATL,ATL,1635.9935000197115,1.0,48,HOU,1476.135291917265,14.0,21,1,27,-4.0,1,-202.0,181.0
2015-10-11,@ ATL,0,0,WAS vs. ATL,ATL,1664.484851477362,1.0,25,WAS,1505.2927392981792,8.0,19,1,6,-7.5,0,-325.0,285.0
2015-10-15,@ NOR,1,0,ATL vs. NOR,NOR,1394.0825845473935,22.0,31,ATL,1693.0543876539275,1.0,21,1,10,3.0,1,134.0,-148.0
