Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_TmDiv,Aw_WStreak,Aw_AvgMoV,Aw_TotPtDiff,Aw_OppSOS,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_TO,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_TmDiv,Hm_WStreak,Hm_AvgMoV,Hm_TotPtDiff,Hm_OppSOS,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_TO,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Matchup,Home Team,Home Elo,Home Lg Rank,Away Team,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline,Divisional Game,Playoff Game
ARI,0.0,0.0,13.0,14.0,-47.3,-1.4096467391304346,12.299999999999997,-0.8726097020933974,1.7692307692307692,2.5,-0.7307692307692308,0.26991505066896637,23.0,35.0,NFC West,-1.0,-12.0,-12.0,0.5,0.563,3.08,2.5,1.0,2.5,0.5,55.0,4.0,-3.0,0.4,0.7070000000000001,7.8,3.037037037037037,4.0,3.0,1.0,100.0,1.0,0.4,-0.26991505066896637,2017-09-17,2017.0,IND,0.0,0.0,14.0,11.0,-64.1,-0.7846467391304346,17.400000000000006,-2.000555830039526,0.6428571428571429,4.181818181818182,-3.538961038961039,0.020503202761199324,9.0,46.0,AFC South,-1.0,-37.0,-37.0,0.5,0.524,2.86,3.125,0.0,3.1,0.5,20.0,3.0,-2.0,0.0,0.733,11.0,1.9090909090909087,1.0,1.9,1.0,50.0,1.0,0.0,-0.020503202761199324,2017.0,ARI vs. IND,IND,1450.0,16.0,ARI,1450.0,16.0,0,-3,7.0,1,252.0,-285.0,0,0
DAL,1.0,0.5,12.5,12.0,-21.15,-0.4004301492686835,-5.699999999999996,-0.1692621237458194,1.439102564102564,1.65,-0.21089743589743593,1.092497974397184,18.0,22.5,NFC East,-1.0,-4.5,-9.0,1.0,0.6074999999999999,5.41,3.509216589861751,1.5,3.55,1.0,59.5,1.0,1.0,0.3738095238095238,0.7255,5.720000000000001,3.740384615384615,2.0,3.75,0.5,58.0,1.5,0.3738095238095238,-0.0924979743971841,2017-09-25,2017.0,ARI,1.0,0.5,13.5,13.0,-34.05,-0.9996467391304347,-15.200000000000003,-1.0807833930257091,1.456043956043956,1.7916666666666665,-0.33562271062271065,0.8905173110431008,19.5,24.0,NFC West,1.0,-4.5,-9.0,0.0,0.5455,5.445,2.91,1.0,2.9,0.625,48.0,2.5,-3.0,0.4,0.6240000000000001,5.859999999999999,2.8288633461047255,2.0,2.8,1.0,85.0,1.0,0.4,0.10948268895689917,2017.0,DAL vs. ARI,ARI,1500.0,11.0,DAL,1500.0,11.0,0,-11,3.0,0,137.0,-151.0,0,0
SFO,0.0,0.0,11.0,13.0,-32.900000000000006,-0.4854043148880103,-12.799999999999997,-0.36910619858989424,0.47368421052631576,1.7692307692307692,-0.44939271255060736,0.8142053182431988,9.0,23.0,NFC West,-3.0,-3.0,-25.0,0.25,0.622,3.46,3.4242424242424243,0.0,3.4,1.0,66.0,2.0,-1.0,0.18181818181818182,0.59,6.64,3.5405405405405403,2.0,3.5,1.0,52.0,2.0,0.18181818181818182,-0.8142053182431988,2017-10-01,2017.0,ARI,1.0,0.3333333333333333,13.0,12.0,-20.799999999999997,-1.4096467391304346,12.299999999999997,-0.8726097020933974,1.4166666666666667,2.3333333333333335,-0.7307692307692308,1.1251007150082124,17.0,28.0,NFC West,-1.0,-11.0,-20.0,0.25,0.563,6.73,2.5,1.0,2.5,0.5,50.0,1.0,-3.0,0.4,0.7070000000000001,7.8,3.037037037037037,2.0,3.0,1.0,76.0,1.0,0.4,-0.1251007150082124,2017.0,SFO vs. ARI,ARI,1450.0,21.0,SFO,1362.1287919369763,28.0,1,3,-6.5,0,-265.0,235.0,1,0
ARI,2.0,0.5,13.5,13.0,-20.25,-1.492980072463768,-15.200000000000003,-0.6318689613526567,1.3511904761904763,1.7083333333333335,-0.33562271062271065,1.731476231152872,17.5,21.5,NFC West,1.0,-4.0,-17.0,0.16666666666666666,0.5834999999999999,6.23,2.4166666666666665,1.0,2.4,0.625,52.5,1.0,-3.0,0.4,0.6240000000000001,5.859999999999999,3.2777777777777777,1.0,3.25,1.0,88.0,1.0,0.4,0.26852376884712803,2017-10-08,2017.0,PHI,3.0,0.75,13.0,12.5,-9.149999999999999,1.1123312828475873,2.75,0.2034754328152668,2.121794871794872,2.0,0.1217948717948718,2.239438472389158,26.5,24.0,NFC East,2.0,2.5,11.0,0.3333333333333333,0.6074999999999999,6.949999999999999,5.021978021978022,1.5,5.0,0.8333333333333333,67.0,1.5,2.0,0.5479166666666666,0.6619999999999999,8.075,4.113122171945701,1.5,4.15,1.0,39.5,1.5,0.5479166666666666,0.7605615276108422,2017.0,ARI vs. PHI,PHI,1566.8753620869445,2.0,ARI,1487.61722039894,12.0,1,27,-6.0,1,-254.0,226.0,0,0
TAM,2.0,0.5,13.0,11.5,-13.700000000000003,0.06094149616368316,-8.100000000000001,-0.5954575499412453,1.5416666666666667,1.5916666666666668,-0.2583333333333333,2.004611594808529,21.0,21.0,NFC South,-1.0,-1.5,2.0,0.25,0.58,7.135,3.9705882352941178,1.5,3.95,0.75,35.5,0.5,2.0,0.2902097902097902,0.7195,6.645,3.3141891891891895,1.5,3.3499999999999996,1.0,56.0,1.0,0.2902097902097902,-0.004611594808528796,2017-10-15,2017.0,ARI,2.0,0.4,13.0,13.0,-19.700000000000003,-1.5763134057971016,12.299999999999997,-0.391128220611916,1.2857142857142858,2.3333333333333335,-0.7307692307692308,1.7545510668863507,17.0,28.0,NFC West,-1.0,-11.0,-44.0,0.3125,0.604,6.73,2.333333333333333,1.0,2.3,0.5,55.0,1.0,-3.0,0.4,0.7,7.8,3.5185185185185186,2.0,3.5,1.0,76.0,1.0,0.4,0.24544893311364935,2017.0,TAM vs. ARI,ARI,1448.8295577990875,17.0,TAM,1467.721105840599,15.0,1,5,2.5,1,121.0,-134.0,0,0
ARI,3.0,0.5,12.5,12.5,-15.450000000000003,-1.492980072463768,3.0,-0.5313398608235562,1.3511904761904763,2.416666666666667,-0.33562271062271065,2.3373700141816127,17.5,30.5,NFC West,1.0,-4.0,-39.0,0.35,0.62,6.73,2.4166666666666665,1.0,2.4,0.625,58.0,1.0,-3.0,0.4,0.6715,7.640000000000001,3.378306878306878,2.5,3.35,1.0,73.0,1.0,0.4,0.6626299858183873,2017-10-22,2017.0,LAR,4.0,0.6666666666666666,13.5,14.0,-7.299999999999997,0.51364871541502,-12.850000000000001,0.7383719088882132,1.99375,1.5089285714285714,0.09185606060606055,3.4254794956270564,31.0,22.0,NFC West,1.0,3.5,41.0,0.35333333333333333,0.5914999999999999,8.145,4.423295454545455,1.0,4.4,1.0,51.0,1.5,-1.0,0.40064102564102566,0.627,6.045,4.648018648018648,1.0,4.65,0.8333333333333333,40.0,2.0,0.40064102564102566,0.5745205043729436,2017.0,ARI vs. LAR,LAR,1571.9645408712165,3.0,ARI,1501.545593926331,14.0,1,33,-3.0,1,-164.0,148.0,1,0
ARI,3.0,0.42857142857142855,12.0,12.0,-19.700000000000003,-1.5763134057971016,-6.299999999999997,-0.391128220611916,1.2857142857142858,2.5,-0.7307692307692308,2.3373700141816127,17.0,33.0,NFC West,-1.0,-11.0,-72.0,0.40277777777777773,0.604,6.73,2.333333333333333,1.0,2.3,0.5,61.0,1.0,-4.0,0.4,0.643,7.48,3.5185185185185186,2.0,3.5,1.0,70.0,1.0,0.4,0.6626299858183873,2017-11-05,2017.0,SFO,0.0,0.0,14.0,13.0,-34.800000000000004,-0.19205414653784203,-15.5,-0.33292485595693844,0.8854166666666667,2.083333333333333,-0.4508868324657799,2.180228170902033,12.5,26.0,NFC West,-8.0,-3.0,-86.0,0.40578231292517003,0.5675,4.125,3.7175925925925926,0.5,3.7,1.0,67.5,1.5,-3.0,0.2744360902255639,0.6385000000000001,6.895,3.576721883173496,2.0,3.55,1.0,47.5,1.0,0.2744360902255639,-2.180228170902033,2017.0,ARI vs. SFO,SFO,1362.1287919369763,28.0,ARI,1450.0,21.0,0,-10,2.5,0,118.0,-130.0,1,0
SEA,5.0,0.625,13.5,13.5,-7.650000000000006,-0.4619571140214547,-25.4,0.13858855498721256,1.4714285714285715,1.4006410256410255,0.4389820705610179,4.764676567476416,20.0,17.0,NFC West,-1.0,3.0,40.0,0.3826530612244898,0.6120000000000001,7.135,3.44768962510898,2.0,3.45,1.0,84.5,1.0,5.0,0.41885964912280704,0.5905,5.075,4.048235294117648,1.0,4.05,1.0,53.5,1.0,0.41885964912280704,0.23532343252358423,2017-11-09,2017.0,ARI,4.0,0.5,12.5,12.5,-19.85,-1.492980072463768,-15.600000000000001,-0.3019026313863269,1.2678571428571428,2.416666666666667,-0.33562271062271065,3.175279994937009,17.5,30.5,NFC West,1.0,-4.0,-62.0,0.34523809523809523,0.5834999999999999,6.630000000000001,2.4166666666666665,1.0,2.4,0.5833333333333333,58.0,1.5,-4.0,0.4,0.619,6.485,3.6077441077441077,1.5,3.6,1.0,65.0,1.0,0.4,0.824720005062991,2017.0,SEA vs. ARI,ARI,1482.8136676537133,11.0,SEA,1555.11561665473,6.0,0,-6,6.0,0,218.0,-245.0,1,0
ARI,4.0,0.4444444444444444,12.0,13.0,-20.0,-1.5763134057971016,-6.299999999999997,-0.391128220611916,1.2857142857142858,2.3333333333333335,0.059523809523809534,3.4950703649253825,17.0,28.0,NFC West,-1.0,-6.0,-68.0,0.3802083333333333,0.563,6.53,2.333333333333333,1.0,2.3,0.6666666666666666,58.0,1.0,-5.0,0.4,0.643,7.48,3.5185185185185186,2.0,3.5,1.0,70.0,1.0,0.4,0.5049296350746175,2017-11-19,2017.0,HOU,3.0,0.3333333333333333,15.0,14.0,-10.5,0.20940087991718404,18.599999999999994,-0.2810753105590056,2.0,2.2,-0.49523809523809526,4.13799637585567,33.0,29.0,AFC South,-3.0,-3.0,-5.0,0.47916666666666663,0.586,7.33,4.119047619047619,2.0,4.1,1.0,60.0,1.0,-5.0,0.3333333333333333,0.634,10.35,3.628571428571429,2.0,3.6,1.0,72.0,1.0,0.3333333333333333,-1.1379963758556704,2017.0,ARI vs. HOU,HOU,1379.9657659352877,19.0,ARI,1443.071109532583,15.0,1,10,-2.5,1,-130.0,118.0,0,0
JAX,7.0,0.7,14.0,14.5,-19.35,0.7053715758878805,-28.599999999999994,0.3308423913043481,1.7036199095022626,0.7589285714285714,1.0525735294117646,7.1411543966027935,21.5,8.0,AFC South,4.0,14.0,104.0,0.42447089947089944,0.5795,5.535,4.615018315018315,1.0,4.6,1.0,48.5,1.0,11.0,0.28888888888888886,0.556,4.495,4.240489130434783,1.0,4.2,1.0,70.0,2.0,0.28888888888888886,-0.1411543966027935,2017-11-26,2017.0,ARI,4.0,0.4,12.5,13.5,-19.85,-1.492980072463768,-5.049999999999997,-0.3019026313863269,1.3511904761904763,2.2738095238095237,-0.26968864468864473,3.7794109736502333,17.5,29.5,NFC West,-2.0,-8.0,-78.0,0.375,0.5834999999999999,6.41,2.4166666666666665,1.0,2.4,0.6666666666666666,59.5,1.5,-5.0,0.4,0.6655,7.145,3.6077441077441077,2.0,3.6,1.0,65.0,1.0,0.4,0.22058902634976674,2017.0,JAX vs. ARI,ARI,1384.0880875953198,17.0,JAX,1622.0201553496345,6.0,1,3,6.5,1,231.0,-260.0,0,0
