G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2019-09-08,Sun,,DET,T,27.0,27.0,OT,29.0,54.0,0.537,275.0,2.0,5.1,5.0,72.7,5.0,33.0,23.0,112.0,4.869565217391305,4.9,82.0,387.0,4.72,4.0,4.0,1.0,1.0,8.0,380.0,16.0,3.0,2.0,21.0,9.0,22.0,0.0,0.0,7.0,35.0,0.0,1.0,1.0,30:37,27.0,45.0,0.6,361.0,3.0,8.0,9.36,107.7,3.0,24.0,32.0,116.0,3.625,3.6,80.0,477.0,5.96,2.0,2.0,3.0,3.0,8.0,314.0,17.0,5.0,1.0,23.0,6.0,18.0,0.0,1.0,9.0,59.0,2.0,0.0,2.0,39:23,0,ARI,NFC West,NFC North
2.0,2.0,2019-09-15,Sun,@,BAL,L,17.0,23.0,,25.0,40.0,0.625,329.0,0.0,8.2,8.23,88.4,3.0,20.0,11.0,20.0,1.818181818181818,1.8,54.0,349.0,6.46,3.0,3.0,0.0,0.0,5.0,267.0,12.0,2.0,1.0,15.0,2.0,11.0,1.0,1.0,8.0,70.0,0.0,0.0,0.0,22:22,24.0,37.0,0.649,258.0,2.0,7.0,8.05,103.2,2.0,14.0,33.0,182.0,5.515151515151516,5.5,72.0,440.0,6.11,3.0,3.0,2.0,2.0,3.0,129.0,16.0,9.0,1.0,26.0,7.0,14.0,0.0,1.0,10.0,62.0,0.0,0.0,0.0,37:38,0,ARI,NFC West,AFC North
3.0,3.0,2019-09-22,Sun,,CAR,L,20.0,38.0,,30.0,43.0,0.698,127.0,2.0,3.0,1.79,68.8,8.0,46.0,22.0,121.0,5.5,5.5,73.0,248.0,3.4,2.0,2.0,2.0,2.0,5.0,212.0,9.0,10.0,2.0,21.0,9.0,17.0,1.0,1.0,7.0,52.0,0.0,2.0,2.0,31:44,19.0,26.0,0.731,240.0,4.0,9.2,12.31,141.0,2.0,21.0,31.0,173.0,5.580645161290323,5.6,59.0,413.0,7.0,1.0,1.0,5.0,5.0,3.0,145.0,14.0,4.0,3.0,21.0,4.0,10.0,0.0,0.0,3.0,35.0,1.0,0.0,1.0,28:16,0,ARI,NFC West,NFC South
4.0,4.0,2019-09-29,Sun,,SEA,L,10.0,27.0,,22.0,32.0,0.688,206.0,0.0,6.4,5.03,73.2,4.0,35.0,23.0,115.0,5.0,5.0,59.0,321.0,5.44,3.0,1.0,1.0,1.0,3.0,141.0,12.0,6.0,2.0,20.0,3.0,9.0,0.0,0.0,7.0,44.0,0.0,1.0,1.0,26:36,22.0,28.0,0.7859999999999999,225.0,1.0,8.0,8.75,112.1,4.0,15.0,27.0,115.0,4.25925925925926,4.3,59.0,340.0,5.76,2.0,2.0,3.0,3.0,4.0,171.0,10.0,9.0,2.0,21.0,4.0,10.0,0.0,0.0,7.0,65.0,0.0,0.0,0.0,33:24,0,ARI,NFC West,NFC West
5.0,5.0,2019-10-06,Sun,@,CIN,W,26.0,23.0,,20.0,32.0,0.625,248.0,0.0,7.8,7.75,86.5,1.0,5.0,38.0,266.0,7.0,7.0,71.0,514.0,7.24,5.0,4.0,2.0,2.0,3.0,150.0,13.0,11.0,2.0,26.0,6.0,13.0,1.0,1.0,12.0,96.0,0.0,0.0,0.0,31:03,27.0,38.0,0.711,262.0,2.0,6.9,7.95,107.6,1.0,0.0,23.0,108.0,4.695652173913044,4.7,62.0,370.0,5.97,3.0,3.0,2.0,2.0,3.0,147.0,12.0,6.0,3.0,21.0,5.0,12.0,0.0,1.0,7.0,60.0,0.0,0.0,0.0,28:57,0,ARI,NFC West,AFC North
6.0,6.0,2019-10-13,Sun,,ATL,W,34.0,33.0,,27.0,37.0,0.73,340.0,3.0,9.2,10.81,128.2,0.0,0.0,29.0,102.0,3.5172413793103448,3.5,66.0,442.0,6.7,2.0,2.0,4.0,4.0,3.0,156.0,16.0,6.0,2.0,24.0,7.0,13.0,1.0,1.0,8.0,57.0,0.0,0.0,0.0,27:13,30.0,36.0,0.833,341.0,4.0,9.5,11.69,143.2,2.0,15.0,25.0,103.0,4.12,4.1,63.0,444.0,7.05,2.0,2.0,4.0,3.0,3.0,130.0,20.0,7.0,4.0,31.0,6.0,11.0,0.0,0.0,8.0,72.0,0.0,0.0,0.0,32:47,0,ARI,NFC West,NFC South
7.0,7.0,2019-10-20,Sun,@,NYG,W,27.0,21.0,,14.0,21.0,0.667,89.0,0.0,4.2,4.24,75.3,2.0,15.0,38.0,156.0,4.105263157894737,4.1,61.0,245.0,4.02,2.0,2.0,3.0,3.0,5.0,169.0,8.0,8.0,2.0,18.0,7.0,15.0,1.0,1.0,10.0,85.0,0.0,0.0,0.0,29:59,22.0,35.0,0.629,156.0,1.0,4.5,3.74,70.7,8.0,67.0,22.0,107.0,4.863636363636363,4.9,65.0,263.0,4.05,1.0,0.0,3.0,3.0,3.0,112.0,14.0,5.0,2.0,21.0,4.0,12.0,1.0,3.0,6.0,75.0,2.0,1.0,3.0,30:01,0,ARI,NFC West,NFC East
8.0,8.0,2019-10-27,Sun,@,NOR,L,9.0,31.0,,19.0,34.0,0.5589999999999999,197.0,0.0,5.8,5.79,72.8,4.0,23.0,11.0,40.0,3.636363636363636,3.6,49.0,237.0,4.84,3.0,3.0,0.0,0.0,5.0,238.0,8.0,2.0,0.0,10.0,2.0,12.0,0.0,2.0,5.0,35.0,0.0,0.0,0.0,22:01,34.0,43.0,0.7909999999999999,373.0,3.0,8.7,9.02,116.4,0.0,0.0,29.0,137.0,4.724137931034483,4.7,72.0,510.0,7.08,2.0,1.0,4.0,4.0,2.0,88.0,20.0,8.0,0.0,28.0,7.0,12.0,0.0,0.0,2.0,15.0,0.0,1.0,1.0,37:59,0,ARI,NFC West,NFC South
9.0,9.0,2019-10-31,Thu,,SFO,L,25.0,28.0,,17.0,24.0,0.708,204.0,2.0,8.5,10.17,124.3,3.0,37.0,23.0,153.0,6.652173913043479,6.7,50.0,357.0,7.14,1.0,1.0,2.0,2.0,5.0,253.0,7.0,10.0,2.0,19.0,2.0,8.0,0.0,0.0,9.0,65.0,0.0,0.0,0.0,25:29,28.0,37.0,0.757,310.0,4.0,8.4,10.54,136.1,1.0,7.0,31.0,101.0,3.2580645161290325,3.3,69.0,411.0,5.96,0.0,0.0,4.0,4.0,5.0,231.0,15.0,5.0,1.0,21.0,11.0,17.0,1.0,1.0,8.0,75.0,0.0,0.0,0.0,34:31,0,ARI,NFC West,NFC West
10.0,10.0,2019-11-10,Sun,@,TAM,L,27.0,30.0,,28.0,45.0,0.622,342.0,3.0,7.6,7.93,98.6,2.0,8.0,18.0,75.0,4.166666666666667,4.2,65.0,417.0,6.42,2.0,2.0,3.0,3.0,3.0,158.0,14.0,4.0,2.0,20.0,1.0,10.0,2.0,3.0,11.0,87.0,1.0,1.0,2.0,23:57,30.0,48.0,0.625,339.0,1.0,7.1,5.6,73.2,4.0,19.0,26.0,118.0,4.538461538461538,4.5,78.0,457.0,5.86,3.0,3.0,3.0,3.0,3.0,142.0,15.0,7.0,4.0,26.0,7.0,15.0,0.0,0.0,9.0,94.0,1.0,2.0,3.0,36:03,0,ARI,NFC West,NFC South
