G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2015-09-13,Sun,,NOR,W,31,19,,19,32,0.594,307,3,9.6,11.47,122.8,0,0,25,120,4.8,4.8,57,427,7.49,1,1,4,4,4,158,13,7,5,25,5,10,0,0,5,30,1,0,1,26:36,30,48,0.625,354,1,7.4,6.85,83.2,2,1,20,54,2.7,2.7,70,408,5.83,4,4,1,1,4,171,12,4,2,18,7,18,0,1,7,73,0,1,1,33:24,0,ARI,NFC West,NFC South
2.0,2.0,2015-09-20,Sun,@,CHI,W,48,23,,17,24,0.708,185,4,7.7,9.17,115.5,0,0,28,115,4.107142857142857,4.1,52,300,5.77,0,0,7,6,3,121,12,6,3,21,5,9,1,1,8,58,1,1,2,30:04,22,32,0.688,226,1,7.1,4.88,73.2,2,15,28,109,3.892857142857143,3.9,62,335,5.4,3,3,2,2,5,229,7,8,3,18,2,12,0,1,14,170,0,2,2,29:56,0,ARI,NFC West,NFC North
3.0,3.0,2015-09-27,Sun,,SFO,W,47,7,,20,32,0.625,307,2,9.6,9.44,102.0,1,4,37,139,3.756756756756757,3.8,70,446,6.37,1,1,6,6,4,144,15,9,4,28,6,13,1,1,4,24,0,1,1,36:32,9,19,0.474,53,0,2.8,-6.68,14.5,2,14,29,103,3.5517241379310347,3.6,50,156,3.12,0,0,1,1,6,283,3,7,0,10,4,12,0,0,6,45,0,4,4,23:28,0,ARI,NFC West,NFC West
4.0,4.0,2015-10-04,Sun,,LAR,L,22,24,,29,46,0.63,334,1,7.3,6.72,83.1,4,18,21,113,5.380952380952381,5.4,71,447,6.3,5,5,1,1,1,44,17,7,2,26,2,11,1,2,3,20,2,1,3,33:13,16,24,0.667,164,3,6.8,9.33,125.7,1,7,26,164,6.307692307692308,6.3,51,328,6.43,1,1,3,3,7,348,7,6,0,13,5,13,0,0,7,66,0,0,0,26:47,0,ARI,NFC West,NFC West
5.0,5.0,2015-10-11,Sun,@,DET,W,42,17,,12,18,0.667,158,3,8.8,12.11,133.8,2,13,25,187,7.48,7.5,45,345,7.67,0,0,6,6,6,227,7,7,1,15,1,8,0,0,9,70,0,0,0,23:28,41,70,0.586,379,2,5.4,3.41,59.2,1,0,18,56,3.111111111111111,3.1,89,435,4.89,1,1,2,2,4,172,22,3,4,29,8,17,0,1,9,85,2,4,6,36:32,0,ARI,NFC West,NFC North
6.0,6.0,2015-10-18,Sun,@,PIT,L,13,25,,29,45,0.644,414,1,9.2,7.64,83.0,1,7,20,55,2.75,2.8,66,469,7.11,3,2,1,1,3,129,18,2,1,21,5,12,0,1,9,111,1,2,3,31:09,11,20,0.55,169,2,8.5,10.45,116.5,1,5,32,141,4.40625,4.4,53,310,5.85,4,4,1,1,5,238,6,6,2,14,3,12,0,0,6,48,0,0,0,28:51,0,ARI,NFC West,AFC North
7.0,7.0,2015-10-26,Mon,,BAL,W,26,18,,20,29,0.69,264,2,9.1,10.48,120.5,2,11,28,150,5.357142857142857,5.4,59,414,7.02,3,2,3,2,4,144,14,5,2,21,5,12,0,0,4,40,0,0,0,29:36,26,40,0.65,221,1,5.5,4.9,77.2,3,31,16,55,3.4375,3.4,59,276,4.68,1,1,1,1,6,272,14,3,1,18,5,13,1,1,9,64,1,1,2,30:24,0,ARI,NFC West,AFC North
8.0,8.0,2015-11-01,Sun,@,CLE,W,34,20,,23,38,0.605,372,4,9.8,10.71,117.4,1,2,38,119,3.131578947368421,3.1,77,491,6.38,2,2,4,4,2,100,17,6,2,25,13,16,0,0,5,25,3,1,4,34:23,21,40,0.525,215,3,5.4,5.75,82.8,1,8,20,39,1.95,2.0,61,254,4.16,0,0,3,2,6,299,12,1,3,16,9,16,0,1,7,35,1,1,2,25:37,0,ARI,NFC West,AFC North
9.0,10.0,2015-11-15,Sun,@,SEA,W,39,32,,29,47,0.617,334,3,7.1,7.43,95.5,3,29,33,117,3.5454545454545454,3.5,83,451,5.43,3,3,4,4,3,134,20,5,5,30,8,17,0,0,9,66,2,1,3,38:52,14,32,0.4379999999999999,228,1,7.1,6.34,65.6,2,12,18,115,6.388888888888889,6.4,52,343,6.6,2,2,2,2,5,204,7,9,2,18,1,8,1,1,14,131,0,1,1,21:08,0,ARI,NFC West,NFC West
10.0,11.0,2015-11-22,Sun,,CIN,W,34,31,,20,31,0.645,301,4,9.7,9.39,109.0,2,16,25,82,3.28,3.3,58,383,6.6,2,2,4,4,4,185,15,2,4,21,5,11,0,0,7,40,0,2,2,28:45,22,39,0.564,278,2,7.1,8.15,95.9,4,37,28,99,3.5357142857142856,3.5,71,377,5.31,1,1,4,4,5,243,14,6,4,24,5,13,1,1,10,108,1,0,1,31:15,0,ARI,NFC West,AFC North
11.0,12.0,2015-11-29,Sun,@,SFO,W,19,13,,24,40,0.6,267,0,6.7,6.68,79.9,1,4,29,70,2.413793103448276,2.4,70,337,4.81,2,2,2,1,4,183,14,5,7,26,7,14,0,1,7,47,0,0,0,37:27,25,36,0.6940000000000001,301,1,8.4,7.67,92.5,2,17,17,67,3.941176470588236,3.9,55,368,6.69,2,2,1,1,4,166,14,3,0,17,0,9,1,2,13,81,1,1,2,22:33,0,ARI,NFC West,NFC West
