Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2023-09-10,@ WAS,0,0,ARI vs. WAS,WAS,1500.0,1.0,20,ARI,1500.0,1.0,16,1,4,-7.0,0,-340.0,270.0
2023-09-17,@ ARI,0,0,NYG vs. ARI,ARI,1450.0,17.0,28,NYG,1450.0,17.0,31,0,-3,5.0,1,185.0,-225.0
2023-09-24,@ ARI,0,0,DAL vs. ARI,ARI,1400.0,24.0,28,DAL,1600.0,1.0,16,1,12,11.5,1,470.0,-650.0
2023-10-01,@ SFO,1,0,ARI vs. SFO,SFO,1635.9935000197115,1.0,35,ARI,1475.9746926647958,18.0,16,1,19,-15.0,1,-1100.0,700.0
2023-10-08,@ ARI,0,0,CIN vs. ARI,ARI,1447.5021726873472,23.0,20,CIN,1422.093037272227,23.0,34,0,-14,3.0,0,142.0,-170.0
2023-10-15,@ LAR,1,0,ARI vs. LAR,LAR,1477.2070545461204,14.0,26,ARI,1393.8520094614535,22.0,9,1,17,-7.0,1,-340.0,270.0
2023-10-22,@ SEA,1,0,ARI vs. SEA,SEA,1522.2725267371109,10.0,20,ARI,1355.6227875286672,25.0,10,1,10,-9.5,1,-455.0,350.0
2023-10-29,@ ARI,0,0,BAL vs. ARI,ARI,1327.9212113113642,26.0,24,BAL,1620.8253055885475,3.0,31,0,-7,9.5,1,380.0,-500.0
2023-11-05,@ CLE,0,0,ARI vs. CLE,CLE,1546.3988680750103,11.0,27,ARI,1312.2921575782239,32.0,0,1,27,-13.0,1,-750.0,525.0
2023-11-12,@ ARI,0,0,ATL vs. ARI,ARI,1291.6662903781917,28.0,25,ATL,1419.6216618121332,16.0,23,1,2,2.0,1,110.0,-130.0
2023-11-19,@ HOU,0,0,ARI vs. HOU,HOU,1563.4615917654944,10.0,21,ARI,1359.2908330178857,25.0,16,1,5,-5.5,0,-250.0,205.0
2023-11-26,@ ARI,1,0,LAR vs. ARI,ARI,1393.8520094614535,22.0,14,LAR,1477.2070545461204,14.0,37,0,-23,3.0,0,124.0,-148.0
2023-12-03,@ PIT,0,0,ARI vs. PIT,PIT,1615.858570733196,9.0,10,ARI,1301.870034591949,31.0,24,0,-14,-6.0,0,-285.0,230.0
2023-12-17,@ ARI,1,0,SFO vs. ARI,ARI,1475.9746926647958,18.0,29,SFO,1635.9935000197115,1.0,45,0,-16,12.5,0,525.0,-750.0
2023-12-24,@ CHI,0,0,ARI vs. CHI,CHI,1480.9145976632144,24.0,27,ARI,1375.491803233573,30.0,16,1,11,-4.5,1,-218.0,180.0
2023-12-31,@ PHI,0,0,ARI vs. PHI,PHI,1606.9173241393485,2.0,31,ARI,1340.2142770743626,31.0,35,0,-4,-12.0,0,-750.0,525.0
2024-01-07,@ ARI,1,0,SEA vs. ARI,ARI,1355.6227875286672,25.0,20,SEA,1522.2725267371109,10.0,21,0,-1,2.5,1,130.0,-155.0
2023-09-10,@ ATL,1,0,CAR vs. ATL,ATL,1500.0,1.0,24,CAR,1500.0,1.0,10,1,14,-3.5,1,-192.0,160.0
2023-09-17,@ ATL,0,0,GNB vs. ATL,ATL,1550.0,1.0,25,GNB,1550.0,1.0,24,1,1,-3.0,0,-148.0,124.0
2023-09-24,@ DET,0,0,ATL vs. DET,DET,1485.9935000197115,10.0,20,ATL,1600.0,1.0,6,1,14,-3.0,1,-166.0,140.0
2023-10-01,@ JAX,0,0,ATL vs. JAX,JAX,1423.864708082735,18.0,23,ATL,1534.157706389236,4.0,7,1,16,-3.5,1,-185.0,154.0
2023-10-08,@ ATL,0,0,HOU vs. ATL,ATL,1468.7977931587006,11.0,21,HOU,1525.8503397226787,11.0,19,1,2,-2.5,0,-142.0,120.0
2023-10-15,@ ATL,0,0,WAS vs. ATL,ATL,1526.9353029342017,6.0,16,WAS,1419.389166499621,14.0,24,0,-8,-1.5,0,-125.0,105.0
2023-10-22,@ TAM,1,0,ATL vs. TAM,TAM,1539.3959274320557,10.0,13,ATL,1461.9342537569098,13.0,16,0,-3,-3.0,0,-148.0,124.0
2023-10-29,@ TEN,0,0,ATL vs. TEN,TEN,1410.0674289734125,23.0,28,ATL,1522.900776519021,11.0,23,1,5,2.5,1,110.0,-130.0
2023-11-05,@ ATL,0,0,MIN vs. ATL,ATL,1457.210526117508,15.0,28,MIN,1545.2916785928116,15.0,31,0,-3,-3.5,0,-192.0,160.0
2023-11-26,@ ATL,1,0,NOR vs. ATL,ATL,1351.9971191724392,20.0,24,NOR,1478.4965921514768,12.0,15,1,9,2.0,1,110.0,-130.0
2023-12-03,@ NYJ,0,0,ATL vs. NYJ,NYJ,1376.4119280909576,23.0,8,ATL,1419.4379037286158,17.0,13,0,-5,2.0,0,105.0,-125.0
2023-12-10,@ ATL,1,0,TAM vs. ATL,ATL,1461.9342537569098,13.0,25,TAM,1539.3959274320557,10.0,29,0,-4,-1.5,0,-125.0,105.0
2023-12-17,@ CAR,1,0,ATL vs. CAR,CAR,1500.0,1.0,9,ATL,1500.0,1.0,7,1,2,3.0,1,130.0,-155.0
2023-12-24,@ ATL,0,0,IND vs. ATL,ATL,1325.1451234670917,21.0,29,IND,1547.7176699901352,9.0,10,1,19,-3.0,1,-155.0,130.0
2023-12-31,@ CHI,0,0,ATL vs. CHI,CHI,1516.1921238224247,24.0,37,ATL,1403.4110408412084,18.0,17,1,20,-3.0,1,-155.0,130.0
2024-01-07,@ NOR,1,0,ATL vs. NOR,NOR,1478.4965921514768,12.0,48,ATL,1351.9971191724392,20.0,17,1,31,-3.5,1,-175.0,145.0
2023-09-10,@ BAL,0,0,HOU vs. BAL,BAL,1500.0,1.0,25,HOU,1500.0,1.0,9,1,16,-9.5,1,-500.0,380.0
2023-09-17,@ CIN,1,0,BAL vs. CIN,CIN,1450.0,17.0,24,BAL,1550.0,1.0,27,0,-3,-3.5,0,-175.0,145.0
2023-09-24,@ BAL,0,0,IND vs. BAL,BAL,1585.9935000197115,1.0,19,IND,1500.0,10.0,22,0,-3,-7.5,0,-380.0,300.0
2023-10-01,@ CLE,1,0,BAL vs. CLE,CLE,1538.008106127738,4.0,3,BAL,1523.864708082735,4.0,28,0,-25,2.0,0,114.0,-135.0
2023-10-08,@ PIT,1,0,BAL vs. PIT,PIT,1496.2622706214815,11.0,17,BAL,1575.898983108632,3.0,10,1,7,4.5,1,190.0,-230.0
2023-10-15,@ TEN,0,0,BAL vs. TEN,TEN,1451.0124016512837,14.0,16,BAL,1514.634917301243,6.0,24,0,-8,5.5,0,205.0,-250.0
2023-10-22,@ BAL,0,0,DET vs. BAL,BAL,1555.5798899791141,6.0,38,DET,1664.9950509777327,1.0,6,1,32,-3.0,1,-162.0,136.0
2023-11-05,@ BAL,0,0,SEA vs. BAL,BAL,1636.454359321688,2.0,37,SEA,1607.7052536952442,7.0,3,1,34,-6.0,1,-270.0,220.0
2023-11-12,@ BAL,1,0,CLE vs. BAL,BAL,1523.864708082735,4.0,31,CLE,1538.008106127738,4.0,33,0,-2,-6.0,0,-258.0,210.0
2023-11-16,@ BAL,1,0,CIN vs. BAL,BAL,1550.0,1.0,34,CIN,1450.0,17.0,20,1,14,-4.0,1,-205.0,170.0
2023-11-26,@ LAC,0,0,BAL vs. LAC,LAC,1436.5548892658505,18.0,10,BAL,1659.3329081325533,3.0,20,0,-10,3.0,0,142.0,-170.0
2023-12-10,@ BAL,0,0,LAR vs. BAL,BAL,1681.0468777126212,2.0,37,LAR,1554.6377972475225,12.0,31,1,6,-7.5,0,-360.0,285.0
2023-12-17,@ JAX,0,0,BAL vs. JAX,JAX,1541.3735216375833,7.0,7,BAL,1713.617519942931,1.0,23,0,-16,4.0,0,185.0,-225.0
2023-12-25,@ SFO,0,0,BAL vs. SFO,SFO,1741.5591840666013,1.0,19,BAL,1740.6787911693696,1.0,33,0,-14,-6.5,0,-345.0,275.0
2023-12-31,@ BAL,0,0,MIA vs. BAL,BAL,1790.8054896207632,1.0,56,MIA,1636.5314163328762,2.0,19,1,37,-3.0,1,-180.0,150.0
2024-01-06,@ BAL,1,0,PIT vs. BAL,BAL,1575.898983108632,3.0,10,PIT,1496.2622706214815,11.0,17,0,-7,3.0,0,130.0,-155.0
2024-01-20,@ BAL,0,1,HOU vs. BAL,BAL,1500.0,1.0,34,HOU,1500.0,1.0,10,1,24,-9.5,1,-500.0,380.0
2024-01-28,@ BAL,0,1,KAN vs. BAL,BAL,1775.3353507047618,1.0,10,KAN,1673.2945161533669,4.0,17,0,-7,-4.5,0,-218.0,180.0
2023-09-11,@ NYJ,1,0,BUF vs. NYJ,NYJ,1500.0,1.0,22,BUF,1500.0,1.0,16,1,6,2.5,1,114.0,-135.0
2023-09-17,@ BUF,0,0,LVR vs. BUF,BUF,1450.0,17.0,38,LVR,1550.0,1.0,10,1,28,-7.5,1,-355.0,280.0
2023-09-24,@ WAS,0,0,BUF vs. WAS,WAS,1585.9935000197115,1.0,3,BUF,1514.0064999802885,10.0,37,0,-34,5.5,0,200.0,-245.0
2023-10-01,@ BUF,1,0,MIA vs. BUF,BUF,1574.2205165379482,4.0,48,MIA,1613.0839817871451,1.0,20,1,28,-2.5,1,-142.0,120.0
2023-10-08,@ BUF,0,0,JAX vs. BUF,BUF,1629.7902083854017,3.0,20,JAX,1489.2246213132703,11.0,25,0,-5,-5.5,0,-250.0,205.0
2023-10-15,@ BUF,0,0,NYG vs. BUF,BUF,1560.5971487233353,6.0,14,NYG,1394.1898088100054,22.0,9,1,5,-15.5,0,-1200.0,750.0
2023-10-22,@ NWE,1,0,BUF vs. NWE,NWE,1348.9067487993825,25.0,29,BUF,1588.3266796794408,6.0,25,1,4,7.5,1,310.0,-395.0
2023-10-26,@ BUF,0,0,TAM vs. BUF,BUF,1508.4563125246152,11.0,24,TAM,1478.4294046699445,13.0,18,1,6,-10.0,0,-485.0,370.0
2023-11-05,@ CIN,0,0,BUF vs. CIN,CIN,1592.4484544338327,11.0,24,BUF,1554.1458197250297,9.0,18,1,6,-1.5,1,-125.0,105.0
2023-11-13,@ BUF,0,0,DEN vs. BUF,BUF,1509.6357888010768,10.0,22,DEN,1501.5993798751808,22.0,24,0,-2,-7.5,0,-395.0,310.0
