Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2014-09-08,@ ARI,0,0,LAC vs. ARI,ARI,1500.0,18,LAC,1500.0,17,1,1
2014-09-14,@ NYG,0,0,ARI vs. NYG,NYG,1450.0,14,ARI,1550.0,25,0,-11
2014-09-21,@ ARI,1,0,SFO vs. ARI,ARI,1585.9935000197115,23,SFO,1485.9935000197115,14,1,9
2014-10-05,@ DEN,0,0,ARI vs. DEN,DEN,1521.987000039423,41,ARI,1621.987000039423,20,1,21
2014-10-12,@ ARI,0,0,WAS vs. ARI,ARI,1557.9805000591346,30,WAS,1384.1101323409678,20,1,10
2014-10-19,@ LVR,0,0,ARI vs. LVR,LVR,1320.3857200356024,13,ARI,1584.8573774310507,24,0,-11
2014-10-26,@ ARI,0,0,PHI vs. ARI,ARI,1602.7679030551603,24,PHI,1635.104716371387,20,1,4
2014-11-02,@ DAL,0,0,ARI vs. DAL,DAL,1628.4539725989441,17,ARI,1657.4081535019773,28,0,-11
2014-11-09,@ ARI,1,0,LAR vs. ARI,ARI,1703.2509314731608,31,LAR,1489.901887999779,14,1,17
2014-11-16,@ ARI,0,0,DET vs. ARI,ARI,1725.9017182490393,14,DET,1663.4267988327208,6,1,8
2014-11-23,@ SEA,1,0,ARI vs. SEA,SEA,1537.3858112785558,19,ARI,1767.0065217578517,3,1,16
2014-11-30,@ ATL,0,0,ARI vs. ATL,ATL,1386.8922040262762,29,ARI,1688.058368486057,18,1,11
2014-12-07,@ ARI,0,0,KAN vs. ARI,ARI,1603.0704754882836,17,KAN,1551.6691132415929,14,1,3
2014-12-11,@ LAR,1,0,ARI vs. LAR,LAR,1489.901887999779,6,ARI,1703.2509314731608,12,0,-6
2014-12-21,@ ARI,1,0,SEA vs. ARI,ARI,1767.0065217578517,6,SEA,1537.3858112785558,35,0,-29
2014-12-28,@ SFO,1,0,ARI vs. SFO,SFO,1485.9935000197115,20,ARI,1585.9935000197115,17,1,3
2015-01-03,@ CAR,0,1,ARI vs. CAR,CAR,1494.079984987762,27,ARI,1559.5020578551098,16,1,11
2014-09-07,@ ATL,1,0,NOR vs. ATL,ATL,1500.0,37,NOR,1500.0,34,1,3
2014-09-14,@ CIN,0,0,ATL vs. CIN,CIN,1550.0,24,ATL,1550.0,10,1,14
2014-09-18,@ ATL,1,0,TAM vs. ATL,ATL,1500.0,56,TAM,1400.0,14,1,42
2014-09-28,@ MIN,0,0,ATL vs. MIN,MIN,1423.864708082735,41,ATL,1535.9935000197115,28,1,13
2014-10-05,@ NYG,0,0,ATL vs. NYG,NYG,1533.3548894583598,30,ATL,1470.3947168000095,20,1,10
2014-10-12,@ ATL,0,0,CHI vs. ATL,ATL,1429.3575197852917,13,CHI,1445.0801309573944,27,0,-14
2014-10-19,@ BAL,0,0,ATL vs. BAL,BAL,1573.0995387147045,29,ATL,1381.6186421386356,7,1,22
2014-10-26,@ ATL,0,0,DET vs. ATL,ATL,1356.6868366837407,21,DET,1599.4192876014301,22,0,-1
2014-11-09,@ TAM,1,0,ATL vs. TAM,TAM,1400.0,17,ATL,1500.0,27,0,-10
2014-11-16,@ CAR,1,0,ATL vs. CAR,CAR,1355.0001038581688,17,ATL,1379.2622440592895,19,0,-2
2014-11-23,@ ATL,0,0,CLE vs. ATL,ATL,1425.7763059815295,24,CLE,1504.3291557933635,26,0,-2
2014-12-08,@ GNB,0,0,ATL vs. GNB,GNB,1735.9067883378461,43,ATL,1471.8800970240495,37,1,6
2014-12-14,@ ATL,0,0,PIT vs. ATL,ATL,1453.9318806057809,20,PIT,1551.025041229998,27,0,-7
2014-12-21,@ NOR,1,0,ATL vs. NOR,NOR,1500.0,14,ATL,1500.0,30,0,-16
2014-12-28,@ ATL,1,0,CAR vs. ATL,ATL,1379.2622440592895,3,CAR,1355.0001038581688,34,0,-31
2014-09-07,@ BAL,1,0,CIN vs. BAL,BAL,1500.0,16,CIN,1500.0,23,0,-7
2014-09-11,@ BAL,1,0,PIT vs. BAL,BAL,1450.0,26,PIT,1550.0,6,1,20
2014-09-21,@ CLE,1,0,BAL vs. CLE,CLE,1500.0,21,BAL,1514.0064999802885,23,0,-2
2014-09-28,@ BAL,0,0,CAR vs. BAL,BAL,1561.991893872262,38,CAR,1534.157706389236,10,1,28
2014-10-05,@ IND,0,0,BAL vs. IND,IND,1510.5307297166555,20,BAL,1607.9947799742329,13,1,7
2014-10-12,@ TAM,0,0,BAL vs. TAM,TAM,1386.8721710573523,17,BAL,1544.325276714373,48,0,-31
2014-10-26,@ CIN,1,0,BAL vs. CIN,CIN,1500.0,27,BAL,1500.0,24,1,3
2014-11-02,@ PIT,1,0,BAL vs. PIT,PIT,1550.0,43,BAL,1450.0,23,1,20
2014-11-09,@ BAL,0,0,TEN vs. BAL,BAL,1487.860437858612,21,TEN,1306.676347842932,7,1,14
2014-11-24,@ NOR,0,0,BAL vs. NOR,NOR,1444.091785429935,27,BAL,1513.9179892569862,34,0,-7
