Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2024-09-08,@ BUF,0,0,ARI vs. BUF,BUF,1500.0,1.0,34,ARI,1500.0,1.0,28,1,6,-6.5,0,-310.0,250.0
2024-09-15,@ ARI,1,0,LAR vs. ARI,ARI,1450.0,17.0,41,LAR,1450.0,17.0,10,1,31,1.0,1,-108.0,-112.0
2024-09-22,@ ARI,0,0,DET vs. ARI,ARI,1500.0,10.0,13,DET,1500.0,10.0,20,0,-7,3.0,0,124.0,-148.0
2024-09-29,@ ARI,0,0,WAS vs. ARI,ARI,1450.0,15.0,14,WAS,1537.8712080630235,6.0,42,0,-28,-3.5,0,-180.0,150.0
2024-10-06,@ SFO,1,0,ARI vs. SFO,SFO,1488.008106127738,10.0,23,ARI,1412.38277960106,23.0,24,0,-1,-7.0,0,-325.0,260.0
2024-10-13,@ GNB,0,0,ARI vs. GNB,GNB,1538.916817044012,5.0,34,ARI,1473.097454163158,15.0,13,1,21,-5.5,1,-238.0,195.0
2024-10-21,@ ARI,0,0,LAC vs. ARI,ARI,1432.457910439715,18.0,17,LAC,1561.3188843703497,11.0,15,1,2,1.0,1,102.0,-122.0
2024-10-27,@ MIA,0,0,ARI vs. MIA,MIA,1407.9278564695571,20.0,27,ARI,1500.1964816660986,17.0,28,0,-1,-4.0,0,-198.0,164.0
2024-11-03,@ ARI,0,0,CHI vs. ARI,ARI,1537.2215646673353,15.0,29,CHI,1515.2676613080193,13.0,9,1,20,-1.5,1,-120.0,100.0
2024-11-10,@ ARI,0,0,NYJ vs. ARI,ARI,1584.066342251933,12.0,31,NYJ,1410.1460057785866,21.0,6,1,25,2.0,1,110.0,-130.0
2024-11-24,@ SEA,1,0,ARI vs. SEA,SEA,1496.108933187237,14.0,16,ARI,1610.9375668855612,10.0,6,1,10,1.0,1,-105.0,-115.0
2024-12-01,@ MIN,0,0,ARI vs. MIN,MIN,1668.458585846166,3.0,23,ARI,1544.9889164141446,12.0,22,1,1,-3.5,0,-185.0,154.0
2024-12-08,@ ARI,1,0,SEA vs. ARI,ARI,1610.9375668855612,10.0,18,SEA,1496.108933187237,14.0,30,0,-12,-3.0,0,-175.0,145.0
2024-12-15,@ ARI,0,0,NWE vs. ARI,ARI,1472.2457201669883,12.0,30,NWE,1276.7893011837918,29.0,17,1,13,-6.0,1,-258.0,210.0
2024-12-22,@ CAR,0,0,ARI vs. CAR,CAR,1301.0229814995198,26.0,36,ARI,1496.7516758705585,16.0,30,1,6,5.5,1,200.0,-245.0
2024-12-28,@ LAR,1,0,ARI vs. LAR,LAR,1450.0,17.0,13,ARI,1450.0,17.0,9,1,4,-6.5,0,-340.0,270.0
2025-01-05,@ ARI,1,0,SFO vs. ARI,ARI,1412.38277960106,23.0,47,SFO,1488.008106127738,10.0,24,1,23,-4.5,1,-192.0,160.0
2024-09-08,@ ATL,0,0,PIT vs. ATL,ATL,1500.0,1.0,10,PIT,1500.0,1.0,18,0,-8,-4.0,0,-192.0,160.0
2024-09-16,@ PHI,0,0,ATL vs. PHI,PHI,1550.0,1.0,21,ATL,1450.0,17.0,22,0,-1,-5.5,0,-265.0,215.0
2024-09-22,@ ATL,0,0,KAN vs. ATL,ATL,1514.0064999802885,10.0,17,KAN,1585.9935000197115,1.0,22,0,-5,3.0,0,142.0,-170.0
2024-09-29,@ ATL,1,0,NOR vs. ATL,ATL,1474.2205165379482,15.0,26,NOR,1534.157706389236,6.0,24,1,2,-2.5,0,-142.0,120.0
2024-10-03,@ ATL,1,0,TAM vs. ATL,ATL,1532.7616093313102,10.0,36,TAM,1579.3064944889613,3.0,30,1,6,-2.5,1,-142.0,120.0
2024-10-13,@ CAR,1,0,ATL vs. CAR,CAR,1373.1536172290066,23.0,20,ATL,1589.4201702813311,5.0,38,0,-18,6.0,0,210.0,-258.0
2024-10-20,@ ATL,0,0,SEA vs. ATL,ATL,1611.778065538008,3.0,14,SEA,1441.3137636210784,13.0,34,0,-20,-3.0,0,-162.0,136.0
2024-10-27,@ TAM,1,0,ATL vs. TAM,TAM,1579.3064944889613,3.0,26,ATL,1532.7616093313102,10.0,31,0,-5,1.5,0,102.0,-122.0
2024-11-03,@ ATL,0,0,DAL vs. ATL,ATL,1586.5147742623008,10.0,27,DAL,1452.6955749836745,20.0,21,1,6,-3.0,1,-166.0,140.0
2024-11-10,@ NOR,1,0,ATL vs. NOR,NOR,1534.157706389236,6.0,20,ATL,1474.2205165379482,15.0,17,1,3,3.5,1,160.0,-192.0
2024-11-17,@ DEN,0,0,ATL vs. DEN,DEN,1507.528464859613,14.0,38,ATL,1531.1261451555665,10.0,6,1,32,-2.0,1,-135.0,114.0
2024-12-01,@ ATL,0,0,LAC vs. ATL,ATL,1477.7353783209335,12.0,13,LAC,1567.3762492475123,8.0,17,0,-4,1.0,0,-102.0,-118.0
2024-12-08,@ MIN,0,0,ATL vs. MIN,MIN,1701.4019317419234,3.0,42,ATL,1440.3569095923697,14.0,21,1,21,-6.0,1,-250.0,205.0
2024-12-16,@ LVR,0,0,ATL vs. LVR,LVR,1229.3243173201906,25.0,9,ATL,1422.1545318024757,12.0,15,0,-6,6.5,1,275.0,-345.0
2024-12-22,@ ATL,0,0,NYG vs. ATL,ATL,1446.9412488544287,16.0,34,NYG,1196.573572178967,31.0,7,1,27,-9.5,1,-550.0,410.0
2024-12-29,@ WAS,0,0,ATL vs. WAS,WAS,1630.1552392991282,7.0,30,ATL,1466.0767096367022,14.0,24,1,6,-3.5,1,-192.0,160.0
2025-01-05,@ ATL,1,0,CAR vs. ATL,ATL,1589.4201702813311,5.0,38,CAR,1373.1536172290066,23.0,44,0,-6,-7.5,0,-380.0,300.0
2024-09-05,@ KAN,0,0,BAL vs. KAN,KAN,1500.0,1.0,27,BAL,1500.0,1.0,20,1,7,-3.0,1,-148.0,124.0
2024-09-15,@ BAL,0,0,LVR vs. BAL,BAL,1450.0,17.0,23,LVR,1450.0,17.0,26,0,-3,-9.0,0,-455.0,350.0
2024-09-22,@ DAL,0,0,BAL vs. DAL,DAL,1500.0,10.0,25,BAL,1400.0,24.0,28,0,-3,1.5,0,100.0,-120.0
2024-09-29,@ BAL,0,0,BUF vs. BAL,BAL,1464.0064999802885,15.0,35,BUF,1624.0253073352042,1.0,10,1,25,-2.5,1,-135.0,114.0
2024-10-06,@ CIN,1,0,BAL vs. CIN,CIN,1440.1417918975535,23.0,38,BAL,1535.5339800028396,10.0,41,0,-3,2.5,0,124.0,-148.0
2024-10-13,@ BAL,0,0,WAS vs. BAL,BAL,1572.1408034149576,5.0,30,WAS,1600.6640998307678,3.0,23,1,7,-6.5,1,-285.0,230.0
2024-10-21,@ TAM,0,0,BAL vs. TAM,TAM,1562.378064478944,3.0,31,BAL,1626.2364385324336,3.0,41,0,-10,4.5,0,185.0,-225.0
2024-10-27,@ CLE,1,0,BAL vs. CLE,CLE,1298.3186014304301,28.0,29,BAL,1667.1485857325015,4.0,24,1,5,7.5,1,300.0,-380.0
2024-11-03,@ BAL,0,0,DEN vs. BAL,BAL,1577.8352320539675,10.0,41,DEN,1580.6824878275352,10.0,10,1,31,-9.0,1,-440.0,330.0
2024-11-07,@ BAL,1,0,CIN vs. BAL,BAL,1535.5339800028396,10.0,35,CIN,1440.1417918975535,23.0,34,1,1,-6.0,0,-270.0,220.0
2024-11-17,@ PIT,1,0,BAL vs. PIT,PIT,1657.752774876476,4.0,18,BAL,1659.284634909688,7.0,16,1,2,3.0,1,145.0,-175.0
2024-11-25,@ LAC,0,0,BAL vs. LAC,LAC,1618.7731128469918,7.0,23,BAL,1609.0641839583723,9.0,30,0,-7,3.0,0,140.0,-166.0
2024-12-01,@ BAL,0,0,PHI vs. BAL,BAL,1660.4610475578518,7.0,19,PHI,1718.3254711722911,3.0,24,0,-5,-3.0,0,-162.0,136.0
2024-12-15,@ NYG,0,0,BAL vs. NYG,NYG,1205.0343902829582,25.0,14,BAL,1618.7122576101854,9.0,35,0,-21,16.5,0,1000.0,-1800.0
2024-12-21,@ BAL,1,0,PIT vs. BAL,BAL,1659.284634909688,7.0,34,PIT,1657.752774876476,4.0,17,1,17,-7.0,1,-345.0,275.0
2024-12-25,@ HOU,0,0,BAL vs. HOU,HOU,1534.8708005438127,10.0,2,BAL,1676.8426745358533,7.0,31,0,-29,5.5,0,200.0,-245.0
2025-01-04,@ BAL,1,0,CLE vs. BAL,BAL,1667.1485857325015,4.0,35,CLE,1298.3186014304301,28.0,10,1,25,-19.5,1,-2400.0,1200.0
2025-01-11,@ BAL,1,1,PIT vs. BAL,BAL,1715.8011372327862,6.0,28,PIT,1506.3952301666045,10.0,14,1,14,-7.0,1,-345.0,275.0
2025-01-19,@ BUF,0,1,BAL vs. BUF,BUF,1702.4186493856275,2.0,27,BAL,1738.8520735961567,4.0,25,1,2,1.5,1,-102.0,-118.0
2024-09-12,@ MIA,1,0,BUF vs. MIA,MIA,1550.0,1.0,10,BUF,1550.0,1.0,31,0,-21,-2.5,0,-135.0,114.0
2024-09-23,@ BUF,0,0,JAX vs. BUF,BUF,1600.0,1.0,47,JAX,1400.0,24.0,10,1,37,-4.0,1,-218.0,180.0
2024-10-06,@ HOU,0,0,BUF vs. HOU,HOU,1576.8593522064248,3.0,23,BUF,1552.4978273126528,3.0,20,1,3,-1.0,1,-118.0,-102.0
2024-10-14,@ NYJ,1,0,BUF vs. NYJ,NYJ,1466.4606888637436,15.0,20,BUF,1505.997998192399,5.0,23,0,-3,1.0,0,102.0,-122.0
2024-10-20,@ BUF,0,0,TEN vs. BUF,BUF,1550.332556502892,3.0,34,TEN,1382.9237038113542,24.0,10,1,24,-9.5,1,-535.0,400.0
2024-10-27,@ SEA,0,0,BUF vs. SEA,SEA,1514.0498053485246,11.0,10,BUF,1577.9467003900984,4.0,31,0,-21,3.0,0,142.0,-170.0
2024-11-03,@ BUF,1,0,MIA vs. BUF,BUF,1550.0,1.0,30,MIA,1550.0,1.0,27,1,3,-6.5,0,-285.0,230.0
2024-11-10,@ IND,0,0,BUF vs. IND,IND,1463.5752919288575,16.0,20,BUF,1638.205162427806,3.0,30,0,-10,4.5,0,190.0,-230.0
2024-11-17,@ BUF,0,0,KAN vs. BUF,BUF,1664.9962018998854,3.0,30,KAN,1765.4404124437356,1.0,21,1,9,-2.5,1,-142.0,120.0
2024-12-01,@ BUF,0,0,SFO vs. BUF,BUF,1729.0615912578542,3.0,35,SFO,1462.984078584563,14.0,10,1,25,-6.5,1,-340.0,270.0
2024-12-08,@ LAR,0,0,BUF vs. LAR,LAR,1526.0067912458817,14.0,44,BUF,1746.8366077840328,3.0,42,1,2,3.5,1,160.0,-192.0
2024-12-15,@ DET,0,0,BUF vs. DET,DET,1848.5804597402773,1.0,42,BUF,1668.7418216857218,5.0,48,0,-6,-2.5,0,-130.0,110.0
2024-12-22,@ BUF,1,0,NWE vs. BUF,BUF,1742.534765454204,5.0,24,NWE,1252.2833454802217,26.0,21,1,3,-14.0,0,-1100.0,700.0
2024-12-29,@ BUF,1,0,NYJ vs. BUF,BUF,1505.997998192399,5.0,40,NYJ,1466.4606888637436,15.0,14,1,26,-10.0,1,-520.0,390.0
2025-01-05,@ NWE,1,0,BUF vs. NWE,NWE,1252.2833454802217,26.0,23,BUF,1742.534765454204,5.0,16,1,7,3.0,1,140.0,-166.0
