Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_TmDiv,Aw_WStreak,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_TmDiv,Hm_WStreak,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Matchup,Home Team,Home Elo,Home Lg Rank,Away Team,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Divisional Game,Playoff Game
DET,1.0,1.0,13.0,15.0,-3.200000000000003,-0.7172459893048129,-38.5,0.7613636363636358,2.6153846153846154,1.6,1.0153846153846153,0.6953998064617208,34.0,24.0,NFC North,1,0.6509999999999999,8.19,3.294117647058824,2.0,3.3,1.0,88.0,2.0,0.38461538461538464,0.643,3.93,4.7727272727272725,1.0,4.8,1.0,52.0,4.0,0.38461538461538464,0.30460019353827916,2013-09-15,2013,ARI,0.0,0.0,13.0,13.0,-5.799999999999997,-0.7036713286713292,0.7000000000000028,-1.2196969696969702,1.8461538461538463,2.076923076923077,-0.23076923076923084,0.4306632083470305,24.0,27.0,NFC West,-1,0.65,7.48,3.3076923076923075,2.0,3.3,0.5,68.0,2.0,0.5,0.711,7.74,2.7916666666666665,2.0,2.8,1.0,59.0,2.0,0.5,-0.4306632083470305,2013,DET vs. ARI,ARI,1450.0,17.0,DET,1550.0,1.0,1,4,0,0
ARI,1.0,0.5,13.5,12.5,-15.350000000000001,-0.617517482517483,4.25,-1.3905303030303033,1.8159340659340661,1.9134615384615385,-0.09752747252747251,1.032522338422275,24.5,24.0,NFC West,1,0.6125,6.69,3.3938461538461535,1.5,3.4,0.75,54.0,1.5,0.29545454545454547,0.6890000000000001,8.215,2.6208333333333336,2.0,2.65,0.5,80.0,1.5,0.29545454545454547,-0.03252233842227503,2013-09-22,2013,NOR,2.0,1.0,12.5,15.5,-11.600000000000001,-0.7915360501567401,-26.050000000000004,1.5557359307359304,1.6168831168831168,1.0,0.6168831168831168,1.2502786076408445,19.5,15.5,NFC South,2,0.6539999999999999,7.255,3.219827586206897,1.5,3.25,0.875,46.0,1.5,0.40934065934065933,0.5335,5.605,5.567099567099567,1.5,5.55,0.5,68.5,2.0,0.40934065934065933,0.7497213923591555,2013,ARI vs. NOR,NOR,1585.9935000197115,1.0,ARI,1514.0064999802885,9.0,1,24,0,0
ARI,1.0,0.3333333333333333,14.0,13.0,-24.900000000000006,-0.5313636363636367,0.7000000000000028,-1.2196969696969702,1.7857142857142858,2.076923076923077,-0.23076923076923084,1.0610831637694491,24.0,27.0,NFC West,-1,0.575,5.9,3.48,1.0,3.5,0.75,40.0,2.0,0.38461538461538464,0.667,7.74,2.7916666666666665,2.0,2.8,1.0,59.0,1.0,0.38461538461538464,-0.06108316376944911,2013-09-29,2013,TAM,0.0,0.0,13.0,14.0,-46.2,0.3977272727272725,-25.900000000000006,-0.2613636363636367,1.0,1.1428571428571428,-0.1428571428571428,0.8956653822679341,14.0,18.0,NFC South,-3,0.4629999999999999,4.41,4.409090909090909,1.0,4.4,0.5,102.0,2.0,0.375,0.615,4.91,3.75,1.0,3.8,1.0,45.0,2.0,0.375,-0.8956653822679341,2013,ARI vs. TAM,TAM,1388.4788293388217,27.0,ARI,1474.2205165379482,16.0,0,-3,0,0
CAR,1.0,0.3333333333333333,13.0,13.0,-3.9000000000000057,0.20602766798418948,-11.700000000000003,-0.2613636363636367,1.6428571428571428,1.2,-0.0714285714285714,1.6926139788088672,23.0,12.0,NFC South,1,0.556,6.04,4.217391304347826,2.0,4.2,1.0,32.0,2.0,0.45454545454545453,0.6920000000000001,6.72,3.75,1.0,3.8,0.75,55.0,2.0,0.45454545454545453,-0.6926139788088672,2013-10-06,2013,ARI,2.0,0.5,14.5,13.0,-31.800000000000004,-0.617517482517483,-1.5499999999999972,-1.3252077223851422,1.3261904761904764,1.9134615384615385,-0.09752747252747251,1.7117117351361253,18.5,24.0,NFC West,1,0.564,5.1850000000000005,3.3938461538461535,1.0,3.4,1.0,54.0,2.0,0.24230769230769234,0.6485000000000001,7.5,2.6861559139784945,2.0,2.7,1.0,66.0,1.5,0.24230769230769234,0.2882882648638747,2013,CAR vs. ARI,ARI,1512.1258369705592,11.0,CAR,1452.0146061080266,16.0,1,16,0,0
ARI,3.0,0.6,14.0,13.0,-38.7,-0.7036713286713292,-3.799999999999997,-1.2196969696969702,1.6923076923076923,1.75,0.03571428571428581,2.667742532239302,22.0,21.0,NFC West,2,0.575,4.47,3.3076923076923075,1.0,3.3,1.0,40.0,2.0,0.3333333333333333,0.63,7.26,2.7916666666666665,2.0,2.8,1.0,73.0,2.0,0.3333333333333333,0.332257467760698,2013-10-13,2013,SFO,3.0,0.6,14.0,13.0,-12.599999999999994,0.9886363636363633,-41.3,-0.35178916827853124,1.9444444444444444,2.0,0.6153846153846154,2.5932074575370554,34.0,27.0,NFC West,2,0.481,8.3,5.0,1.0,5.0,0.8333333333333333,85.0,2.0,0.36363636363636365,0.55,4.89,3.6595744680851054,1.0,3.7,0.8333333333333333,52.0,2.0,0.36363636363636365,0.4067925424629446,2013,ARI vs. SFO,SFO,1548.2926223389093,7.0,ARI,1553.560430604831,7.0,1,12,1,0
SEA,5.0,0.8333333333333334,14.0,13.0,-12.049999999999997,0.4431818181818179,-38.1,0.02508956560680664,1.7326203208556148,1.1464646464646466,0.6489510489510488,4.3910394284140795,25.5,15.0,NFC West,1,0.623,7.305,4.454545454545455,1.0,4.449999999999999,1.0,74.5,2.0,0.3485576923076923,0.569,4.4350000000000005,4.036453201970444,0.5,4.05,1.0,45.5,2.5,0.3485576923076923,0.6089605715859205,2013-10-17,2013,ARI,3.0,0.5,14.5,13.5,-31.800000000000004,-0.617517482517483,-6.449999999999996,-0.6550039872408298,1.4711538461538463,1.875,-0.09752747252747251,2.914885455012482,21.0,24.0,NFC West,-1,0.5925,5.1850000000000005,3.3938461538461535,1.0,3.4,1.0,39.0,2.5,0.358974358974359,0.594,7.5,3.356359649122807,2.0,3.3499999999999996,1.0,66.0,2.0,0.358974358974359,0.08511454498751814,2013,SEA vs. ARI,ARI,1502.8023901422937,12.0,SEA,1643.8100281330967,3.0,0,-12,1,0
ATL,2.0,0.3333333333333333,11.5,14.0,1.1499999999999986,-0.6234848484848492,0.6499999999999986,0.09981147884373609,2.3674242424242427,1.9454545454545453,0.47337662337662345,2.8580851848970767,25.5,25.5,NFC South,1,0.7124999999999999,7.335,3.3878787878787877,2.0,3.4,1.0,54.0,1.0,0.44155844155844154,0.6655,8.135,4.111175115207373,2.0,4.15,1.0,55.0,1.0,0.44155844155844154,-0.8580851848970767,2013-10-27,2013,ARI,3.0,0.42857142857142855,14.0,14.0,-34.599999999999994,-0.7036713286713292,-3.799999999999997,-0.09031100478468934,1.6923076923076923,2.0,-0.23076923076923084,3.1776393697769874,22.0,27.0,NFC West,-2,0.61,4.47,3.3076923076923075,1.0,3.3,1.0,38.0,2.0,0.3333333333333333,0.621,7.74,3.9210526315789473,2.0,3.9,1.0,70.0,2.0,0.3333333333333333,-0.17763936977698735,2013,ATL vs. ARI,ARI,1472.0496657213052,16.0,ATL,1441.717588612477,23.0,1,14,0,0
HOU,2.0,0.25,13.0,13.0,-23.0,0.31244588744588686,-11.599999999999994,-0.031363636363636704,1.170940170940171,1.8333333333333335,-0.35553041729512314,2.63259667581439,18.0,27.5,AFC South,-6,0.6165,5.41,4.3238095238095235,1.5,4.3,0.75,79.5,1.5,0.36397058823529416,0.5445,7.115,3.98,1.5,4.0,1.0,58.5,0.0,0.36397058823529416,-0.6325966758143902,2013-11-10,2013,ARI,4.0,0.5,14.5,13.5,-29.75,-0.617517482517483,-6.449999999999996,-0.6550039872408298,1.6899038461538463,1.875,-0.09752747252747251,4.027333411501109,22.0,24.0,NFC West,1,0.63,5.1850000000000005,3.3938461538461535,1.0,3.4,1.0,39.0,2.0,0.3333333333333333,0.5894999999999999,7.5,3.356359649122807,2.0,3.3499999999999996,1.0,64.5,2.0,0.3333333333333333,-0.02733341150110924,2013,HOU vs. ARI,ARI,1517.6955852476474,11.0,HOU,1363.339446646234,22.0,1,3,0,0
ARI,5.0,0.5555555555555556,15.0,14.0,-24.900000000000006,-0.6665360501567403,-9.099999999999994,-0.3923160173160176,1.6923076923076923,1.75,0.03571428571428581,4.596670203154078,22.0,24.0,NFC West,2,0.625,5.9,3.3448275862068964,1.0,3.3,1.0,38.0,2.0,0.3333333333333333,0.5579999999999999,7.26,3.619047619047619,2.0,3.6,1.0,59.0,2.0,0.3333333333333333,0.40332979684592196,2013-11-17,2013,JAX,1.0,0.1111111111111111,12.0,16.0,-35.3,-1.381734006734007,-5.900000000000006,0.32196969696969635,1.0,2.642857142857143,-1.5048076923076923,1.2627663218936984,10.0,34.0,AFC South,1,0.609,4.79,2.6296296296296298,0.0,2.6,1.0,45.0,2.0,0.2727272727272727,0.625,7.24,4.333333333333333,2.0,4.3,1.0,35.0,1.0,0.2727272727272727,-0.2627663218936984,2013,ARI vs. JAX,JAX,1344.3100096328033,27.0,ARI,1546.8365957857952,9.0,0,-13,0,0
IND,7.0,0.7,13.0,12.0,-14.200000000000003,0.46510695187165707,-4.649999999999999,0.14178951678951623,2.192982456140351,1.6235294117647059,0.48464912280701766,5.4864175627572696,27.0,24.0,AFC South,1,0.598,6.96,4.476470588235294,1.5,4.5,1.0,29.5,1.0,0.4391025641025641,0.5900000000000001,7.62,4.153153153153153,1.0,4.15,1.0,49.5,1.5,0.4391025641025641,1.5135824372427304,2013-11-24,2013,ARI,6.0,0.6,14.5,14.0,-23.1,-0.6851036894140348,-12.849999999999994,-0.8060064935064939,1.739010989010989,1.625,0.11785714285714294,5.422530463029873,23.0,22.5,NFC West,3,0.6375,5.925000000000001,3.3262599469496017,1.5,3.3,1.0,39.0,2.0,0.32291666666666663,0.5894999999999999,6.175,3.205357142857143,2.0,3.2,1.0,57.0,2.0,0.32291666666666663,0.5774695369701268,2013,IND vs. ARI,ARI,1570.5974294186192,9.0,IND,1599.7724928184562,5.0,1,29,0,0
