Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_TmDiv,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_TmDiv,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Matchup,Home Team,Home Elo,Away Team,Away Elo,Home W,Home Pt Diff,Divisional Game,Playoff Game
WAS,1.0,1.0,13.0,15.0,-20.099999999999994,-1.9377777777777778,-33.599999999999994,-0.8070588235294118,0.7495882977312083,27.0,17.0,NFC East,0.5479999999999999,5.77,2.2222222222222223,1.0,2.2,0.6666666666666666,55.0,0.0,0.2777777777777778,0.5710000000000001,3.76,3.3529411764705883,2.0,3.4,0.5,20.0,3.0,0.2777777777777778,0.2504117022687917,2020-09-20,2020,ARI,1.0,1.0,14.0,13.0,-22.5,0.8399999999999999,0.9000000000000057,0.7599999999999998,0.6063755161446597,24.0,20.0,NFC West,0.65,4.98,5.0,1.0,5.0,0.3333333333333333,102.0,1.0,0.5,0.5760000000000001,8.58,4.92,2.0,4.9,1.0,53.0,0.0,0.5,0.3936244838553403,2020,WAS vs. ARI,ARI,1550.0,WAS,1550.0,1,15,0,0
DET,0.0,0.0,13.5,14.5,-18.0,0.3383579638752052,3.5,2.2007142857142856,0.5682140026010839,22.0,34.5,NFC North,0.5885,6.355,4.498357963875206,1.5,4.5,0.375,73.5,1.0,0.4375,0.5780000000000001,8.290000000000001,6.360714285714286,2.5,6.35,1.0,54.0,0.0,0.4375,-0.5682140026010839,2020-09-27,2020,ARI,2.0,1.0,14.0,14.0,-17.549999999999997,0.8399999999999999,-6.899999999999999,0.8434782608695652,1.444285496900056,27.0,17.5,NFC West,0.667,5.82,5.0,1.0,5.0,0.6666666666666666,99.5,1.0,0.45588235294117646,0.5760000000000001,7.609999999999999,5.003478260869565,1.5,5.0,1.0,47.5,1.0,0.45588235294117646,0.555714503099944,2020,DET vs. ARI,ARI,1600.0,DET,1414.0064999802885,0,-3,0,0
ARI,2.0,0.6666666666666666,14.0,13.0,-22.5,0.8399999999999999,0.9000000000000057,0.7599999999999998,1.8721504354303098,24.0,20.0,NFC West,0.657,4.98,5.0,1.0,5.0,1.0,97.0,1.0,0.4117647058823529,0.5760000000000001,8.58,4.92,2.0,4.9,1.0,46.0,0.0,0.4117647058823529,0.1278495645696902,2020-10-04,2020,CAR,1.0,0.3333333333333333,10.0,13.0,-2.5,-0.30285714285714294,-13.0,0.9269565217391307,1.2762072400110038,21.0,31.0,NFC South,0.7859999999999999,8.21,3.857142857142857,1.0,3.9,1.0,65.0,0.0,0.5384615384615384,0.7140000000000001,6.0,5.086956521739131,1.0,5.1,1.0,40.0,2.0,0.5384615384615384,-0.27620724001100383,2020,ARI vs. CAR,CAR,1464.0064999802885,ARI,1525.527670641467,1,10,0,0
ARI,2.0,0.5,14.0,13.0,-17.549999999999997,0.8399999999999999,-0.29999999999999716,0.6999999999999997,2.1564910441551604,23.5,23.0,NFC West,0.6705000000000001,5.605,5.0,1.5,5.0,1.0,67.5,1.0,0.40588235294117647,0.6395,7.95,4.859999999999999,2.0,4.85,1.0,49.5,0.5,0.40588235294117647,-0.15649104415516035,2020-10-11,2020,NYJ,0.0,0.0,12.5,12.0,-29.35,-0.48758620689655174,3.6499999999999986,-0.41252016129032265,0.7243221229755259,15.0,33.5,AFC East,0.593,4.71,3.6724137931034484,1.0,3.7,1.0,80.0,1.0,0.36038961038961037,0.7385,6.945,3.7474798387096775,2.0,3.75,0.8333333333333333,69.0,1.5,0.36038961038961037,-0.7243221229755259,2020,ARI vs. NYJ,NYJ,1315.7512647424771,ARI,1466.76545012671,0,-20,0,0
ARI,3.0,0.6,14.0,13.0,-12.599999999999994,0.8399999999999999,-1.5,0.6399999999999997,3.087591083882955,24.0,20.0,NFC West,0.684,6.23,5.0,1.0,5.0,1.0,59.0,1.0,0.4117647058823529,0.5760000000000001,7.32,4.8,2.0,4.8,1.0,46.0,0.0,0.4117647058823529,-0.087591083882955,2020-10-19,2020,DAL,2.0,0.4,12.0,15.0,-5.0,0.18482758620689665,15.099999999999994,-0.33499999999999996,2.20522910490479,37.0,38.0,NFC East,0.6940000000000001,7.61,4.344827586206897,1.0,4.3,1.0,59.0,3.0,0.5384615384615384,0.645,8.42,3.825,3.0,3.8,1.0,40.0,1.0,0.5384615384615384,-0.20522910490478985,2020,ARI vs. DAL,DAL,1465.0278070983709,ARI,1496.3052912247954,0,-28,0,0
SEA,5.0,1.0,15.0,12.0,28.599999999999994,0.33999999999999986,-7.200000000000003,-0.7314285714285718,3.130406271738234,35.0,26.0,NFC West,0.706,9.94,4.5,4.0,4.5,1.0,30.0,1.0,0.38461538461538464,0.682,7.56,3.4285714285714284,2.0,3.4,1.0,55.0,2.0,0.38461538461538464,1.869593728261766,2020-10-25,2020,ARI,4.0,0.6666666666666666,14.0,13.0,-10.399999999999999,0.8399999999999999,-8.100000000000001,0.4364285714285714,4.047046067607937,27.0,17.5,NFC West,0.6705000000000001,6.445,5.0,1.5,5.0,1.0,51.0,1.0,0.4142156862745098,0.603,6.98,4.5964285714285715,1.5,4.6,1.0,44.0,0.5,0.4142156862745098,-0.04704606760793695,2020,SEA vs. ARI,ARI,1541.816219798112,SEA,1684.8453457389448,1,3,1,0
MIA,4.0,0.5714285714285714,12.0,14.0,-7.099999999999994,-0.32666666666666666,-23.900000000000006,0.7095652173913045,4.49976553522546,28.0,17.0,AFC East,0.667,5.59,3.8333333333333335,2.0,3.8,1.0,30.0,2.0,0.36363636363636365,0.6859999999999999,4.79,4.869565217391305,1.0,4.9,0.75,55.0,1.0,0.36363636363636365,-0.4997655352254604,2020-11-08,2020,ARI,5.0,0.7142857142857143,14.0,13.0,-8.200000000000003,0.8399999999999999,-14.700000000000003,0.6399999999999997,4.596979319463968,30.0,20.0,NFC West,0.684,6.66,5.0,2.0,5.0,1.0,43.0,1.0,0.4166666666666667,0.63,6.64,4.8,2.0,4.8,1.0,46.0,1.0,0.4166666666666667,0.4030206805360317,2020,MIA vs. ARI,ARI,1611.3107455687075,MIA,1581.869791162484,0,-3,0,0
BUF,7.0,0.7777777777777778,12.0,12.0,4.099999999999994,0.1581818181818182,-1.2000000000000028,0.33999999999999986,4.90240766474035,27.0,26.0,AFC East,0.698,7.52,4.318181818181818,2.0,4.3,0.875,56.0,1.0,0.5,0.6829999999999999,7.61,4.5,2.0,4.5,1.0,46.0,2.0,0.5,2.09759233525965,2020-11-15,2020,ARI,5.0,0.625,14.0,13.0,-3.0,0.749090909090909,-8.100000000000001,0.4364285714285714,5.042465681281301,30.0,23.0,NFC West,0.696,7.234999999999999,4.909090909090909,2.0,4.9,1.0,51.0,1.0,0.4166666666666667,0.645,6.98,4.5964285714285715,2.0,4.6,1.0,49.5,0.5,0.4166666666666667,-0.04246568128130068,2020,BUF vs. ARI,ARI,1557.083963621805,BUF,1664.1924627971578,1,2,0,0
ARI,6.0,0.6666666666666666,14.0,13.0,-8.200000000000003,0.8399999999999999,-14.700000000000003,0.2328571428571431,5.5806303768003085,30.0,26.0,NFC West,0.688,6.66,5.0,2.0,5.0,1.0,43.0,1.0,0.4166666666666667,0.66,6.64,4.392857142857143,2.0,4.4,1.0,53.0,1.0,0.4166666666666667,0.4193696231996915,2020-11-19,2020,SEA,6.0,0.6666666666666666,14.0,11.0,10.299999999999997,0.33999999999999986,-5.200000000000003,-0.7314285714285718,4.9080813728570964,34.0,27.0,NFC West,0.6829999999999999,8.89,4.5,3.0,4.5,1.0,30.0,1.0,0.38461538461538464,0.6920000000000001,7.65,3.4285714285714284,2.0,3.4,1.0,49.0,2.0,0.38461538461538464,1.0919186271429036,2020,ARI vs. SEA,SEA,1684.8453457389448,ARI,1541.816219798112,1,7,1,0
ARI,6.0,0.6,14.0,13.0,-3.6000000000000014,0.749090909090909,-8.100000000000001,0.4364285714285714,5.916488604037088,30.0,27.0,NFC West,0.689,6.865,4.909090909090909,2.0,4.9,1.0,51.0,1.0,0.4166666666666667,0.66,6.98,4.5964285714285715,2.0,4.6,1.0,61.0,0.5,0.4166666666666667,0.0835113959629119,2020-11-29,2020,NWE,4.0,0.4,11.5,11.0,-13.25,0.3979487179487178,5.25,-0.22642857142857187,4.4059758964001245,21.0,25.0,AFC East,0.666,6.905,4.557948717948718,0.5,4.550000000000001,1.0,34.0,1.0,0.4772727272727273,0.713,8.115,3.9335714285714283,2.0,3.9499999999999997,1.0,36.5,1.0,0.4772727272727273,-0.40597589640012455,2020,ARI vs. NWE,NWE,1427.4584859353358,ARI,1560.0675670596995,1,3,0,0
LAR,7.0,0.6363636363636364,12.0,12.0,-0.20000000000000284,0.33999999999999986,-35.400000000000006,-0.7660606060606061,6.710786179583435,23.0,19.0,NFC West,0.7,7.23,4.5,2.0,4.5,1.0,34.0,1.0,0.4117647058823529,0.639,3.53,3.393939393939394,0.0,3.4,1.0,40.0,2.0,0.4117647058823529,0.28921382041656507,2020-12-06,2020,ARI,6.0,0.5454545454545454,14.0,13.0,-8.200000000000003,0.6581818181818182,-14.700000000000003,0.2328571428571431,6.321369200651113,30.0,26.0,NFC West,0.688,6.66,4.818181818181818,2.0,4.8,1.0,50.0,1.0,0.4166666666666667,0.66,6.64,4.392857142857143,2.0,4.4,1.0,53.0,1.0,0.4166666666666667,-0.3213692006511133,2020,LAR vs. ARI,ARI,1491.859305558815,LAR,1565.1913336039606,0,-10,1,0
ARI,6.0,0.5,14.0,13.0,-10.350000000000001,0.6544963144963143,-8.100000000000001,0.06420634920634916,6.647935951422699,29.0,27.0,NFC West,0.6859999999999999,6.625,4.814496314496314,2.0,4.8,0.875,46.5,1.0,0.4166666666666667,0.66,6.98,4.22420634920635,2.0,4.25,1.0,61.0,1.0,0.4166666666666667,-0.6479359514226992,2020-12-13,2020,NYG,5.0,0.4166666666666667,12.0,12.5,-23.900000000000006,0.14416666666666655,-7.849999999999994,-0.2582905982905983,5.300193519472295,19.5,19.5,NFC East,0.6285000000000001,5.035,4.304166666666667,0.5,4.300000000000001,1.0,37.5,1.0,0.38181818181818183,0.675,6.359999999999999,3.901709401709402,1.0,3.9,1.0,43.0,1.5,0.38181818181818183,-0.30019351947229467,2020,ARI vs. NYG,NYG,1540.776263145097,ARI,1452.258662148685,0,-19,0,0
SFO,5.0,0.35714285714285715,13.0,12.0,-14.049999999999997,-0.11238095238095269,-15.900000000000006,-0.45642857142857163,6.582213889263484,23.5,24.5,NFC West,0.6765,6.82,4.0476190476190474,1.0,4.05,1.0,44.0,2.0,0.41875,0.628,5.675000000000001,3.7035714285714283,1.0,3.7,1.0,39.5,1.0,0.41875,-1.5822138892634836,2020-12-26,2020,ARI,8.0,0.5714285714285714,13.5,13.0,-6.0,0.4358815958815958,-8.100000000000001,0.06420634920634916,8.242851011071368,29.0,26.0,NFC West,0.6869999999999999,6.865,4.595881595881596,2.0,4.6,1.0,46.5,1.0,0.4142156862745098,0.645,6.98,4.22420634920635,2.0,4.25,1.0,61.0,1.0,0.4142156862745098,-0.24285101107136775,2020,SFO vs. ARI,ARI,1500.0,SFO,1500.0,0,-8,1,0
ARI,8.0,0.5333333333333333,13.0,13.0,-8.200000000000003,0.2844444444444445,-1.5,0.2328571428571431,8.472435882141927,28.0,26.0,NFC West,0.6859999999999999,6.66,4.444444444444445,2.0,4.4,1.0,43.0,1.0,0.4117647058823529,0.63,7.32,4.392857142857143,2.0,4.4,1.0,53.0,1.0,0.4117647058823529,-0.47243588214192656,2021-01-03,2020,LAR,9.0,0.6,12.0,12.0,-5.200000000000003,0.33999999999999986,-24.900000000000006,-0.470344827586207,8.92593631661388,23.0,20.0,NFC West,0.6970000000000001,6.78,4.5,1.0,4.5,1.0,43.0,1.0,0.4117647058823529,0.625,3.97,3.689655172413793,1.0,3.7,1.0,31.0,2.0,0.4117647058823529,0.0740636833861199,2020,ARI vs. LAR,LAR,1565.1913336039606,ARI,1491.859305558815,1,11,1,0
ATL,0.0,0.0,11.0,13.0,-2.700000000000003,-0.7314285714285718,40.400000000000006,0.040000000000000036,0.2704494423676875,25.0,38.0,NFC South,0.685,7.94,3.4285714285714284,2.0,3.4,1.0,72.0,2.0,0.5,0.8859999999999999,10.83,4.2,4.0,4.2,1.0,46.0,0.0,0.5,-0.2704494423676875,2020-09-20,2020,DAL,0.0,0.0,12.0,10.0,-9.900000000000006,0.8770370370370371,-21.400000000000006,-0.33499999999999996,0.4048805966140252,17.0,20.0,NFC East,0.6409999999999999,6.77,5.037037037037037,1.0,5.0,0.5,50.0,0.0,0.25,0.645,7.23,3.825,0.0,3.8,0.6666666666666666,34.0,1.0,0.25,-0.4048805966140252,2020,ATL vs. DAL,DAL,1450.0,ATL,1450.0,1,1,0,0
CHI,2.0,1.0,14.0,13.0,-12.099999999999994,0.6100892857142854,-28.5,0.30264367816091964,1.2476761969687928,22.0,18.0,NFC North,0.5995,5.93,4.770089285714286,2.5,4.75,0.75,48.0,1.0,0.37215909090909094,0.5980000000000001,5.32,4.462643678160919,0.5,4.5,0.7083333333333333,43.5,1.5,0.37215909090909094,0.7523238030312072,2020-09-27,2020,ATL,0.0,0.0,13.0,12.0,9.75,-0.7839495798319329,22.450000000000003,-0.04387096774193555,0.7554531402382993,32.0,39.0,NFC South,0.667,8.66,3.3760504201680672,3.0,3.3499999999999996,1.0,61.5,1.0,0.4852941176470588,0.79,10.16,4.116129032258065,2.5,4.1,1.0,60.5,1.5,0.4852941176470588,-0.7554531402382993,2020,CHI vs. ATL,ATL,1400.0,CHI,1585.9935000197115,0,-4,0,0
