G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
11.0,11.0,2023-11-19,Sun,@,HOU,L,16.0,21.0,,20.0,30.0,0.667,196.0,1.0,6.5,5.7,82.1,3.0,18.0,25.0,123.0,4.92,4.9,58.0,319.0,5.5,1.0,1.0,1.0,1.0,2.0,107.0,11.0,7.0,2.0,20.0,3.0,10.0,1.0,4.0,5.0,50.0,1.0,1.0,2.0,28:45,28.0,38.0,0.737,308.0,2.0,8.1,5.61,81.9,4.0,30.0,25.0,111.0,4.44,4.4,67.0,419.0,6.25,1.0,0.0,3.0,3.0,2.0,94.0,18.0,4.0,0.0,22.0,9.0,13.0,0.0,1.0,3.0,19.0,0.0,3.0,3.0,31:15,0,ARI,NFC West,AFC South
12.0,12.0,2023-11-26,Sun,,LAR,L,14.0,37.0,,27.0,45.0,0.6,219.0,1.0,4.9,5.31,79.8,4.0,37.0,15.0,73.0,4.866666666666666,4.9,64.0,292.0,4.56,1.0,0.0,0.0,0.0,5.0,228.0,11.0,5.0,3.0,19.0,6.0,17.0,2.0,3.0,5.0,34.0,0.0,0.0,0.0,25:08,25.0,33.0,0.758,229.0,4.0,6.9,8.0,121.1,0.0,0.0,33.0,228.0,6.909090909090909,6.9,66.0,457.0,6.92,2.0,1.0,5.0,4.0,2.0,73.0,16.0,9.0,0.0,25.0,6.0,12.0,2.0,2.0,5.0,23.0,0.0,1.0,1.0,34:52,0,ARI,NFC West,NFC West
13.0,13.0,2023-12-03,Sun,@,PIT,W,24.0,10.0,,13.0,23.0,0.565,132.0,1.0,5.7,6.61,87.6,2.0,13.0,38.0,150.0,3.947368421052632,3.9,63.0,282.0,4.48,1.0,1.0,3.0,3.0,5.0,252.0,7.0,8.0,3.0,18.0,10.0,17.0,0.0,0.0,6.0,51.0,0.0,0.0,0.0,29:17,18.0,27.0,0.667,187.0,1.0,6.9,7.67,98.8,0.0,0.0,31.0,130.0,4.193548387096774,4.2,58.0,317.0,5.47,2.0,1.0,1.0,1.0,4.0,179.0,13.0,4.0,1.0,18.0,4.0,11.0,0.0,1.0,9.0,77.0,1.0,0.0,1.0,30:43,0,ARI,NFC West,AFC North
14.0,15.0,2023-12-17,Sun,,SFO,L,29.0,45.0,,26.0,39.0,0.667,202.0,1.0,5.2,3.38,66.4,3.0,9.0,30.0,234.0,7.8,7.8,72.0,436.0,6.06,3.0,3.0,2.0,2.0,2.0,112.0,11.0,11.0,0.0,22.0,7.0,16.0,3.0,4.0,4.0,28.0,0.0,2.0,2.0,34:11,18.0,28.0,0.643,262.0,4.0,9.4,12.21,134.2,0.0,0.0,26.0,144.0,5.538461538461538,5.5,54.0,406.0,7.52,1.0,1.0,6.0,6.0,2.0,96.0,12.0,9.0,3.0,24.0,4.0,7.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,25:49,0,ARI,NFC West,NFC West
15.0,16.0,2023-12-24,Sun,@,CHI,L,16.0,27.0,,24.0,38.0,0.632,213.0,2.0,5.6,6.66,95.6,2.0,17.0,20.0,93.0,4.65,4.7,60.0,306.0,5.1,1.0,1.0,1.0,1.0,6.0,313.0,10.0,5.0,1.0,16.0,7.0,16.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,25:28,15.0,27.0,0.556,170.0,1.0,6.3,5.37,71.5,1.0,0.0,39.0,250.0,6.410256410256411,6.4,67.0,420.0,6.27,2.0,2.0,3.0,3.0,5.0,260.0,8.0,13.0,1.0,22.0,8.0,15.0,0.0,0.0,5.0,35.0,0.0,1.0,1.0,34:32,0,ARI,NFC West,NFC North
16.0,17.0,2023-12-31,Sun,@,PHI,W,35.0,31.0,,25.0,31.0,0.8059999999999999,228.0,3.0,7.4,7.84,116.1,1.0,4.0,40.0,221.0,5.525,5.5,72.0,449.0,6.24,2.0,2.0,3.0,3.0,0.0,0.0,16.0,14.0,2.0,32.0,5.0,10.0,2.0,2.0,5.0,25.0,0.0,1.0,1.0,39:39,19.0,24.0,0.792,184.0,3.0,7.7,8.29,120.8,0.0,0.0,23.0,91.0,3.9565217391304346,4.0,47.0,275.0,5.85,1.0,1.0,4.0,4.0,2.0,117.0,11.0,5.0,1.0,17.0,4.0,9.0,1.0,1.0,4.0,49.0,0.0,1.0,1.0,20:21,0,ARI,NFC West,NFC East
17.0,18.0,2024-01-07,Sun,,SEA,L,20.0,21.0,,22.0,30.0,0.733,260.0,1.0,8.7,9.33,110.4,1.0,2.0,38.0,206.0,5.421052631578948,5.4,69.0,466.0,6.75,4.0,2.0,2.0,2.0,3.0,152.0,11.0,13.0,0.0,24.0,5.0,13.0,2.0,2.0,5.0,27.0,0.0,0.0,0.0,36:03,16.0,28.0,0.5710000000000001,189.0,2.0,6.8,8.18,101.6,0.0,0.0,25.0,138.0,5.52,5.5,53.0,327.0,6.17,2.0,2.0,1.0,1.0,5.0,258.0,8.0,9.0,1.0,18.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23:57,0,ARI,NFC West,NFC West
1.0,1.0,2023-09-10,Sun,,CAR,W,24.0,10.0,,15.0,18.0,0.833,91.0,1.0,5.1,6.17,106.2,4.0,24.0,26.0,130.0,5.0,5.0,48.0,221.0,4.6,1.0,1.0,3.0,3.0,7.0,337.0,6.0,7.0,0.0,13.0,2.0,10.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,25:19,20.0,38.0,0.526,127.0,1.0,3.3,1.5,46.7,2.0,19.0,32.0,154.0,4.8125,4.8,72.0,281.0,3.9,1.0,1.0,1.0,1.0,5.0,266.0,9.0,9.0,2.0,20.0,5.0,14.0,0.0,2.0,9.0,66.0,1.0,2.0,3.0,34:41,0,ATL,NFC South,NFC South
2.0,2.0,2023-09-17,Sun,,GNB,W,25.0,24.0,,19.0,32.0,0.594,235.0,1.0,7.3,6.56,79.6,1.0,2.0,45.0,211.0,4.688888888888889,4.7,78.0,446.0,5.72,4.0,4.0,2.0,1.0,1.0,45.0,10.0,15.0,2.0,27.0,6.0,15.0,3.0,4.0,6.0,110.0,0.0,1.0,1.0,36:15,14.0,25.0,0.56,140.0,3.0,5.6,8.0,111.7,1.0,11.0,21.0,84.0,4.0,4.0,47.0,224.0,4.77,1.0,1.0,3.0,3.0,4.0,199.0,10.0,4.0,3.0,17.0,3.0,9.0,0.0,1.0,7.0,40.0,0.0,0.0,0.0,23:45,0,ATL,NFC South,NFC North
3.0,3.0,2023-09-24,Sun,@,DET,L,6.0,20.0,,21.0,38.0,0.5529999999999999,139.0,0.0,3.7,3.66,63.4,7.0,62.0,20.0,44.0,2.2,2.2,65.0,183.0,2.82,3.0,2.0,0.0,0.0,6.0,295.0,9.0,3.0,4.0,16.0,4.0,14.0,0.0,1.0,4.0,24.0,1.0,0.0,1.0,27:03,22.0,33.0,0.667,243.0,1.0,7.4,6.61,85.8,0.0,0.0,31.0,115.0,3.70967741935484,3.7,64.0,358.0,5.59,2.0,2.0,2.0,2.0,6.0,274.0,11.0,5.0,2.0,18.0,4.0,14.0,0.0,0.0,10.0,119.0,0.0,1.0,1.0,32:57,0,ATL,NFC South,NFC North
