Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2016-09-11,@ ARI,0,0,NWE vs. ARI,ARI,1500.0,21,NWE,1500.0,23,0,-2
2016-09-18,@ ARI,0,0,TAM vs. ARI,ARI,1450.0,40,TAM,1550.0,7,1,33
2016-09-25,@ BUF,0,0,ARI vs. BUF,BUF,1400.0,33,ARI,1514.0064999802885,18,1,15
2016-10-02,@ ARI,1,0,LAR vs. ARI,ARI,1448.1642063695244,13,LAR,1559.9838184071837,17,0,-4
2016-10-06,@ SFO,1,0,ARI vs. SFO,SFO,1400.2486398273845,21,ARI,1413.7228144852554,33,0,-12
2016-10-17,@ ARI,0,0,NYJ vs. ARI,ARI,1461.784696441998,28,NYJ,1386.6178640610829,3,1,25
2016-10-23,@ ARI,1,0,SEA vs. ARI,ARI,1501.1329922287714,6,SEA,1634.3871581418966,6,0,0
2016-10-30,@ CAR,0,0,ARI vs. CAR,CAR,1340.9847455747836,30,ARI,1469.4217229345568,20,1,10
2016-11-13,@ ARI,1,0,SFO vs. ARI,ARI,1413.7228144852554,23,SFO,1400.2486398273845,20,1,3
2016-11-20,@ MIN,0,0,ARI vs. MIN,MIN,1442.77749058882,30,ARI,1434.6178519968348,24,1,6
2016-11-27,@ ATL,0,0,ARI vs. ATL,ATL,1542.707252145726,38,ARI,1385.7919025380565,19,1,19
2016-12-04,@ ARI,0,0,WAS vs. ARI,ARI,1356.954156102993,31,WAS,1543.1961122249113,23,1,8
2016-12-11,@ MIA,0,0,ARI vs. MIA,MIA,1567.7095529874641,26,ARI,1431.4536660863569,23,1,3
2016-12-18,@ ARI,0,0,NOR vs. ARI,ARI,1400.1153957652734,41,NOR,1423.9104875061926,48,0,-7
2016-12-24,@ SEA,1,0,ARI vs. SEA,SEA,1634.3871581418966,31,ARI,1501.1329922287714,34,0,-3
2017-01-01,@ LAR,1,0,ARI vs. LAR,LAR,1559.9838184071837,6,ARI,1448.1642063695244,44,0,-38
2016-09-11,@ ATL,1,0,TAM vs. ATL,ATL,1500.0,24,TAM,1500.0,31,0,-7
2016-09-18,@ LVR,0,0,ATL vs. LVR,LVR,1550.0,28,ATL,1450.0,35,0,-7
2016-09-26,@ NOR,1,0,ATL vs. NOR,NOR,1414.0064999802885,32,ATL,1514.0064999802885,45,0,-13
2016-10-02,@ ATL,1,0,CAR vs. ATL,ATL,1550.0,48,CAR,1476.135291917265,33,1,15
2016-10-09,@ DEN,0,0,ATL vs. DEN,DEN,1649.6278253794435,16,ATL,1589.5273241848827,23,0,-7
2016-10-16,@ SEA,0,0,ATL vs. SEA,SEA,1573.864708082735,26,ATL,1648.0912317339132,24,1,2
2016-10-23,@ ATL,0,0,LAC vs. ATL,ATL,1587.5687816747516,30,LAC,1436.764268707669,33,0,-3
2016-10-30,@ ATL,0,0,GNB vs. ATL,ATL,1517.1337506604573,33,GNB,1565.8063039262045,32,1,1
2016-11-03,@ TAM,1,0,ATL vs. TAM,TAM,1500.0,28,ATL,1500.0,43,0,-15
2016-11-13,@ PHI,0,0,ATL vs. PHI,PHI,1494.5439794463884,24,ATL,1608.5494069030503,15,1,9
2016-12-04,@ ATL,0,0,KAN vs. ATL,ATL,1571.5449985807895,28,KAN,1655.9409273814213,29,0,-1
2016-12-11,@ LAR,0,0,ATL vs. LAR,LAR,1340.6911607554302,14,ATL,1533.457169987428,42,0,-28
2016-12-18,@ ATL,0,0,SFO vs. ATL,ATL,1558.250778007852,41,SFO,1152.3708478332803,13,1,28
2016-12-24,@ CAR,1,0,ATL vs. CAR,CAR,1476.135291917265,16,ATL,1550.0,33,0,-17
2017-01-01,@ ATL,1,0,NOR vs. ATL,ATL,1514.0064999802885,38,NOR,1414.0064999802885,32,1,6
2017-01-14,@ ATL,0,1,SEA vs. ATL,ATL,1654.2606206019052,36,SEA,1571.7055008394266,20,1,16
2017-01-22,@ ATL,0,1,GNB vs. ATL,ATL,1692.598639896064,44,GNB,1756.8001151402796,21,1,23
2016-09-11,@ BAL,0,0,BUF vs. BAL,BAL,1500.0,13,BUF,1500.0,7,1,6
2016-09-18,@ CLE,1,0,BAL vs. CLE,CLE,1450.0,20,BAL,1550.0,25,0,-5
2016-09-25,@ JAX,0,0,BAL vs. JAX,JAX,1400.0,17,BAL,1585.9935000197115,19,0,-2
2016-10-02,@ BAL,0,0,LVR vs. BAL,BAL,1611.5211706611785,27,LVR,1540.0161815928163,28,0,-1
2016-10-09,@ BAL,0,0,WAS vs. BAL,BAL,1551.3736451451205,10,WAS,1509.089894407672,16,0,-6
2016-10-16,@ NYG,0,0,BAL vs. NYG,NYG,1438.750297682602,27,BAL,1495.318390541646,23,1,4
2016-10-23,@ NYJ,0,0,BAL vs. NYJ,NYJ,1347.2695682743094,24,BAL,1437.248767943143,16,1,8
2016-11-06,@ BAL,1,0,PIT vs. BAL,BAL,1374.5816610186132,21,PIT,1503.1498366046144,14,1,7
2016-11-10,@ BAL,1,0,CLE vs. BAL,BAL,1550.0,28,CLE,1450.0,7,1,21
2016-11-20,@ DAL,0,0,BAL vs. DAL,DAL,1723.5310544831716,27,BAL,1463.7595150172758,17,1,10
2016-11-27,@ BAL,1,0,CIN vs. BAL,BAL,1445.44773425544,19,CIN,1358.4081387818355,14,1,5
2016-12-04,@ BAL,0,0,MIA vs. BAL,BAL,1483.1773594562494,38,MIA,1638.7079465572112,6,1,32
2016-12-12,@ NWE,0,0,BAL vs. NWE,NWE,1665.1763451985478,30,BAL,1554.1757530259965,23,1,7
2016-12-18,@ BAL,0,0,PHI vs. BAL,BAL,1519.6278295456402,27,PHI,1343.2046933664474,26,1,1
2016-12-25,@ PIT,1,0,BAL vs. PIT,PIT,1503.1498366046144,31,BAL,1374.5816610186132,27,1,4
2017-01-01,@ CIN,1,0,BAL vs. CIN,CIN,1358.4081387818355,27,BAL,1445.44773425544,10,1,17
2016-09-15,@ BUF,1,0,NYJ vs. BUF,BUF,1450.0,31,NYJ,1450.0,37,0,-6
2016-10-02,@ NWE,1,0,BUF vs. NWE,NWE,1638.008106127738,0,BUF,1465.842293610764,16,0,-16
2016-10-09,@ LAR,0,0,BUF vs. LAR,LAR,1594.4252102914527,19,BUF,1538.7721378487024,30,0,-11
2016-10-16,@ BUF,0,0,SFO vs. BUF,BUF,1596.7134541747632,45,SFO,1352.186757870642,16,1,29
2016-10-23,@ MIA,1,0,BUF vs. MIA,MIA,1446.5854631244163,28,BUF,1616.3746024827185,25,1,3
2016-10-30,@ BUF,1,0,NWE vs. BUF,BUF,1465.842293610764,25,NWE,1638.008106127738,41,0,-16
2016-11-07,@ SEA,0,0,BUF vs. SEA,SEA,1498.8742191635185,31,BUF,1509.6830415516479,25,1,6
2016-11-20,@ CIN,0,0,BUF vs. CIN,CIN,1400.1395651083014,12,BUF,1458.128028611017,16,0,-4
2016-11-27,@ BUF,0,0,JAX vs. BUF,BUF,1499.859454937483,28,JAX,1327.6867155741593,21,1,7
2016-12-04,@ LVR,0,0,BUF vs. LVR,LVR,1739.9155843262922,38,BUF,1526.9288235027418,24,1,14
2016-12-11,@ BUF,0,0,PIT vs. BUF,BUF,1504.2414780859547,20,PIT,1575.2711406948624,27,0,-7
2016-12-18,@ BUF,0,0,CLE vs. BUF,BUF,1464.323397977261,33,CLE,1145.5272464059408,13,1,20
2016-12-24,@ BUF,1,0,MIA vs. BUF,BUF,1616.3746024827185,31,MIA,1446.5854631244163,34,0,-3
2017-01-01,@ NYJ,1,0,BUF vs. NYJ,NYJ,1450.0,30,BUF,1450.0,10,1,20
2016-09-08,@ DEN,0,0,CAR vs. DEN,DEN,1500.0,21,CAR,1500.0,20,1,1
2016-09-18,@ CAR,0,0,SFO vs. CAR,CAR,1450.0,46,SFO,1550.0,27,1,19
2016-09-25,@ CAR,0,0,MIN vs. CAR,CAR,1514.0064999802885,10,MIN,1600.0,22,0,-12
2016-10-10,@ CAR,1,0,TAM vs. CAR,CAR,1436.6079677323823,14,TAM,1414.2530642961078,17,0,-3
2016-10-16,@ NOR,1,0,CAR vs. NOR,NOR,1436.543057610655,41,CAR,1383.3952707839308,38,1,3
2016-11-06,@ LAR,0,0,CAR vs. LAR,LAR,1428.7883311710966,10,CAR,1408.669955609071,13,0,-3
2016-11-13,@ CAR,0,0,KAN vs. CAR,CAR,1461.5619909515772,17,KAN,1657.4440539685668,20,0,-3
2016-11-17,@ CAR,1,0,NOR vs. CAR,CAR,1383.3952707839308,23,NOR,1436.543057610655,20,1,3
2016-11-27,@ LVR,0,0,CAR vs. LVR,LVR,1718.3360093462688,35,CAR,1494.181487367119,32,1,3
2016-12-04,@ SEA,0,0,CAR vs. SEA,SEA,1595.9909883125592,40,CAR,1472.6019123870956,7,1,33
2016-12-11,@ CAR,0,0,LAC vs. CAR,CAR,1439.64831706177,28,LAC,1499.1673164489846,16,1,12
2016-12-19,@ WAS,0,0,CAR vs. WAS,WAS,1506.3132790610127,15,CAR,1498.1309715525094,26,0,-11
2017-01-01,@ TAM,1,0,CAR vs. TAM,TAM,1414.2530642961078,17,CAR,1436.6079677323823,16,1,1
2016-09-11,@ HOU,0,0,CHI vs. HOU,HOU,1500.0,23,CHI,1500.0,14,1,9
2016-09-19,@ CHI,0,0,PHI vs. CHI,CHI,1450.0,14,PHI,1550.0,29,0,-15
2016-09-25,@ DAL,0,0,CHI vs. DAL,DAL,1500.0,31,CHI,1414.0064999802885,17,1,14
2016-10-02,@ CHI,1,0,DET vs. CHI,CHI,1376.135291917265,17,DET,1438.008106127738,14,1,3
2016-10-09,@ IND,0,0,CHI vs. IND,IND,1411.9085494518545,29,CHI,1434.9465551636551,23,1,6
2016-10-16,@ CHI,0,0,JAX vs. CHI,CHI,1381.635970252261,16,JAX,1438.6990718239435,17,0,-1
2016-10-20,@ GNB,1,0,CHI vs. GNB,GNB,1542.0156440555916,26,CHI,1339.7749587737837,10,1,16
2016-10-31,@ CHI,1,0,MIN vs. CHI,CHI,1315.9842989031708,20,MIN,1632.4135717493978,10,1,10
2016-11-13,@ TAM,0,0,CHI vs. TAM,TAM,1427.9334655866273,36,CHI,1402.0590602996176,10,1,26
2016-11-20,@ NYG,0,0,CHI vs. NYG,NYG,1621.695433090699,22,CHI,1355.7758178426309,16,1,6
2016-11-27,@ CHI,0,0,TEN vs. CHI,CHI,1337.9875129453412,21,TEN,1441.5281975614407,27,0,-6
2016-12-04,@ CHI,0,0,SFO vs. CHI,CHI,1302.4622200962972,26,SFO,1225.3770222447354,6,1,20
2016-12-11,@ DET,1,0,CHI vs. DET,DET,1438.008106127738,20,CHI,1376.135291917265,17,1,3
2016-12-18,@ CHI,1,0,GNB vs. CHI,CHI,1339.7749587737837,27,GNB,1542.0156440555916,30,0,-3
2016-12-24,@ CHI,0,0,WAS vs. CHI,CHI,1307.7144989923927,21,WAS,1455.1359680041683,41,0,-20
2017-01-01,@ MIN,1,0,CHI vs. MIN,MIN,1632.4135717493978,38,CHI,1315.9842989031708,10,1,28
2016-09-11,@ NYJ,0,0,CIN vs. NYJ,NYJ,1500.0,22,CIN,1500.0,23,0,-1
2016-09-18,@ PIT,1,0,CIN vs. PIT,PIT,1550.0,24,CIN,1550.0,16,1,8
2016-09-25,@ CIN,0,0,DEN vs. CIN,CIN,1500.0,17,DEN,1585.9935000197115,29,0,-12
2016-09-29,@ CIN,0,0,MIA vs. CIN,CIN,1462.1287919369765,22,MIA,1464.0064999802885,7,1,15
2016-10-09,@ DAL,0,0,CIN vs. DAL,DAL,1573.6160682553505,28,CIN,1512.3990132154179,14,1,14
2016-10-16,@ NWE,0,0,CIN vs. NWE,NWE,1585.5553784153108,35,CIN,1471.1188055495497,17,1,18
2016-10-23,@ CIN,1,0,CLE vs. CIN,CIN,1437.0167563008974,31,CLE,1280.6975935769146,17,1,14
2016-10-30,@ CIN,0,0,WAS vs. CIN,CIN,1465.924982465806,27,WAS,1550.8997430896088,27,0,0
2016-11-14,@ NYG,0,0,CIN vs. NYG,NYG,1593.9193031141099,21,CIN,1427.9156950848906,20,1,1
2016-12-04,@ CIN,0,0,PHI vs. CIN,CIN,1320.6785135810262,32,PHI,1448.4187995679345,14,1,18
2016-12-11,@ CLE,1,0,CIN vs. CLE,CLE,1280.6975935769146,10,CIN,1437.0167563008974,23,0,-13
