G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2022-09-11,Sun,,KAN,L,21.0,44.0,,24.0,38.0,0.632,179.0,2.0,4.7,5.76,91.9,3.0,26.0,22.0,103.0,4.681818181818182,4.7,63.0,282.0,4.48,0.0,0.0,1.0,1.0,5.0,255.0,12.0,6.0,0.0,18.0,3.0,12.0,3.0,4.0,5.0,49.0,0.0,0.0,0.0,25:18,30.0,39.0,0.769,360.0,5.0,9.2,11.79,144.2,0.0,0.0,27.0,128.0,4.7407407407407405,4.7,66.0,488.0,7.39,1.0,1.0,6.0,5.0,2.0,108.0,22.0,7.0,4.0,33.0,5.0,8.0,1.0,1.0,3.0,25.0,1.0,0.0,1.0,34:42,0,ARI,NFC West,AFC West
2.0,2.0,2022-09-18,Sun,@,LVR,W,29.0,23.0,OT,31.0,49.0,0.633,270.0,1.0,5.5,5.0,76.1,1.0,7.0,28.0,143.0,5.107142857142857,5.1,78.0,413.0,5.29,0.0,0.0,1.0,1.0,3.0,136.0,13.0,11.0,4.0,28.0,3.0,13.0,3.0,5.0,12.0,120.0,0.0,1.0,1.0,36:22,25.0,39.0,0.6409999999999999,244.0,2.0,6.3,7.28,98.7,1.0,8.0,21.0,80.0,3.809523809523809,3.8,61.0,324.0,5.31,3.0,3.0,2.0,2.0,3.0,161.0,14.0,4.0,2.0,20.0,6.0,11.0,0.0,0.0,10.0,68.0,1.0,0.0,1.0,29:47,0,ARI,NFC West,AFC West
3.0,3.0,2022-09-25,Sun,,LAR,L,12.0,20.0,,37.0,58.0,0.638,295.0,0.0,5.1,5.09,76.4,2.0,19.0,21.0,70.0,3.333333333333333,3.3,81.0,365.0,4.51,4.0,4.0,0.0,0.0,4.0,160.0,15.0,8.0,0.0,23.0,6.0,18.0,4.0,5.0,6.0,50.0,0.0,0.0,0.0,33:56,18.0,25.0,0.72,239.0,0.0,9.6,9.56,101.9,1.0,10.0,20.0,100.0,5.0,5.0,46.0,339.0,7.37,2.0,2.0,2.0,2.0,3.0,135.0,10.0,5.0,0.0,15.0,3.0,8.0,0.0,0.0,6.0,35.0,1.0,0.0,1.0,26:04,0,ARI,NFC West,NFC West
4.0,4.0,2022-10-02,Sun,@,CAR,W,26.0,16.0,,23.0,32.0,0.7190000000000001,206.0,2.0,6.4,6.28,96.6,1.0,1.0,37.0,132.0,3.5675675675675675,3.6,70.0,338.0,4.83,2.0,2.0,2.0,2.0,3.0,170.0,10.0,8.0,2.0,20.0,6.0,15.0,0.0,2.0,7.0,61.0,0.0,1.0,1.0,38:35,22.0,36.0,0.611,180.0,1.0,5.0,3.06,60.0,2.0,17.0,13.0,40.0,3.076923076923077,3.1,51.0,220.0,4.31,1.0,1.0,1.0,1.0,4.0,209.0,8.0,3.0,0.0,11.0,2.0,10.0,1.0,3.0,6.0,76.0,1.0,2.0,3.0,21:25,0,ARI,NFC West,NFC South
5.0,5.0,2022-10-09,Sun,,PHI,L,17.0,20.0,,28.0,42.0,0.667,239.0,1.0,5.7,5.1,79.4,1.0,11.0,26.0,124.0,4.769230769230769,4.8,69.0,363.0,5.26,2.0,1.0,2.0,2.0,4.0,196.0,16.0,7.0,0.0,23.0,8.0,14.0,1.0,1.0,2.0,15.0,0.0,1.0,1.0,25:21,26.0,36.0,0.722,218.0,0.0,6.1,6.06,87.5,2.0,21.0,33.0,139.0,4.212121212121212,4.2,71.0,357.0,5.03,2.0,2.0,2.0,2.0,4.0,184.0,12.0,12.0,0.0,24.0,6.0,13.0,1.0,1.0,3.0,30.0,0.0,0.0,0.0,34:39,0,ARI,NFC West,NFC East
6.0,6.0,2022-10-16,Sun,@,SEA,L,9.0,19.0,,23.0,37.0,0.622,171.0,0.0,4.6,3.41,61.9,6.0,51.0,28.0,144.0,5.142857142857143,5.1,71.0,315.0,4.44,1.0,1.0,1.0,0.0,4.0,162.0,10.0,5.0,0.0,15.0,4.0,16.0,1.0,5.0,6.0,53.0,1.0,1.0,2.0,30:44,20.0,31.0,0.645,160.0,0.0,5.2,5.16,77.4,5.0,37.0,30.0,136.0,4.533333333333333,4.5,66.0,296.0,4.48,4.0,4.0,1.0,1.0,6.0,293.0,10.0,7.0,2.0,19.0,4.0,14.0,0.0,1.0,6.0,44.0,1.0,0.0,1.0,29:16,0,ARI,NFC West,NFC West
7.0,7.0,2022-10-20,Thu,,NOR,W,42.0,34.0,,20.0,29.0,0.69,189.0,1.0,6.5,7.21,98.2,2.0,15.0,29.0,137.0,4.724137931034483,4.7,60.0,326.0,5.43,2.0,2.0,3.0,2.0,4.0,177.0,9.0,9.0,3.0,21.0,3.0,10.0,1.0,1.0,4.0,20.0,0.0,0.0,0.0,30:58,32.0,49.0,0.653,409.0,4.0,8.3,7.22,93.0,0.0,0.0,22.0,85.0,3.863636363636364,3.9,71.0,494.0,6.96,2.0,2.0,4.0,4.0,2.0,94.0,17.0,7.0,1.0,25.0,6.0,13.0,1.0,1.0,8.0,49.0,0.0,3.0,3.0,29:02,0,ARI,NFC West,NFC South
8.0,8.0,2022-10-30,Sun,@,MIN,L,26.0,34.0,,31.0,44.0,0.705,297.0,3.0,6.8,6.07,92.7,4.0,29.0,22.0,78.0,3.5454545454545454,3.5,70.0,375.0,5.36,2.0,2.0,2.0,2.0,3.0,139.0,17.0,5.0,3.0,25.0,4.0,11.0,0.0,1.0,10.0,67.0,1.0,2.0,3.0,30:33,24.0,36.0,0.667,208.0,2.0,5.8,6.89,100.2,3.0,24.0,29.0,173.0,5.965517241379311,6.0,68.0,381.0,5.6,1.0,0.0,5.0,4.0,5.0,233.0,11.0,11.0,3.0,25.0,6.0,13.0,0.0,1.0,10.0,86.0,1.0,0.0,1.0,29:27,0,ARI,NFC West,NFC North
9.0,9.0,2022-11-06,Sun,,SEA,L,21.0,31.0,,25.0,35.0,0.7140000000000001,140.0,2.0,4.0,5.14,97.3,5.0,35.0,21.0,122.0,5.809523809523809,5.8,61.0,262.0,4.3,0.0,0.0,3.0,3.0,6.0,288.0,8.0,5.0,2.0,15.0,6.0,14.0,0.0,2.0,12.0,77.0,1.0,0.0,1.0,25:29,26.0,34.0,0.765,263.0,2.0,7.7,7.59,105.4,2.0,12.0,34.0,158.0,4.647058823529412,4.6,70.0,421.0,6.01,1.0,1.0,4.0,4.0,3.0,160.0,14.0,10.0,3.0,27.0,10.0,15.0,0.0,1.0,6.0,34.0,0.0,1.0,1.0,34:31,0,ARI,NFC West,NFC West
10.0,10.0,2022-11-13,Sun,@,LAR,W,27.0,17.0,,26.0,37.0,0.703,220.0,1.0,5.9,6.49,94.4,2.0,18.0,26.0,78.0,3.0,3.0,65.0,298.0,4.58,2.0,2.0,3.0,3.0,5.0,237.0,11.0,6.0,1.0,18.0,5.0,15.0,3.0,3.0,10.0,67.0,0.0,0.0,0.0,32:01,25.0,37.0,0.6759999999999999,190.0,1.0,5.1,4.46,77.5,3.0,19.0,20.0,66.0,3.3,3.3,60.0,256.0,4.27,1.0,1.0,2.0,2.0,5.0,252.0,12.0,6.0,0.0,18.0,3.0,11.0,2.0,2.0,5.0,29.0,1.0,1.0,2.0,27:59,0,ARI,NFC West,NFC West
