Aw_Tm,Aw_G,Aw_W,Aw_Wpct,Aw_Poss,Aw_TotPoss,Aw_OppPoss,Aw_TotOppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_TotPts,Aw_TotScorePlays,Aw_OppPts,Aw_TotOppPts,Aw_TotOppScorePlays,Aw_TmDiv,Aw_WStreak,Aw_AvgMoV,Aw_TotPtDiff,Aw_OppSOS,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_TO,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Aw_OffEffAdj,Aw_DefEffAdj,Hm_Tm,Hm_G,Hm_W,Hm_Wpct,Hm_Poss,Hm_TotPoss,Hm_OppPoss,Hm_TotOppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_TotPts,Hm_TotScorePlays,Hm_OppPts,Hm_TotOppPts,Hm_TotOppScorePlays,Hm_TmDiv,Hm_WStreak,Hm_AvgMoV,Hm_TotPtDiff,Hm_OppSOS,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_TO,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Hm_OffEffAdj,Hm_DefEffAdj,Matchup,Home Team,Home Pts,Home Elo,Home Lg Rank,Away Team,Away Pts,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline,Divisional Game,Playoff Game
TAM,1.0,1.0,1.0,11.0,11,11.0,11,25.099999999999994,-0.7857142857142856,11.299999999999997,-1.6363636363636358,2.8181818181818183,2.1818181818181817,0.6363636363636367,0.6471561715666957,31.0,31.0,5.0,24.0,24.0,5.0,NFC South,1,7.0,7,0.5,0.7190000000000001,9.88,3.2142857142857144,4.0,0.0,1.0,48.0,1.0,-1.0,0.3,0.6920000000000001,9.28,2.363636363636364,2.0,0.0,1.0,74.0,0.0,0.3,0.3528438284333043,2016-09-18,2016,0.6149290129242292,0.1603835583787747,ARI,1.0,0.0,0.0,9.0,9,9.0,9,2.5,0.8421052631578947,5.200000000000003,-0.580645161290323,2.3333333333333335,2.5555555555555554,-0.22222222222222188,0.44630705217803657,21.0,21.0,3.0,23.0,23.0,5.0,NFC West,-1,-2.0,-2,0.5,0.649,7.89,4.842105263157895,2.0,1.0,0.0,58.0,0.0,2.0,0.5,0.727,8.39,3.419354838709677,1.0,1.0,1.0,69.0,2.0,0.5,-0.44630705217803657,2016,0.18456431594065448,-0.24794836232113143,TAM vs. ARI,ARI,40,1450.0,17.0,TAM,7,1550.0,1.0,1,33,-7.5,1,-330.0,289.0,0,0
ARI,2.0,1.0,0.5,10.5,21,11.5,23,8.100000000000001,0.17105263157894735,-28.7,-0.2665130568356373,2.8333333333333335,1.5277777777777777,1.3055555555555558,1.4304917754667814,30.5,61.0,9.0,15.0,30.0,6.0,NFC West,1,15.5,31,1.0,0.589,9.4,4.171052631578947,2.5,1.0,0.5,44.0,0.0,7.0,0.4642857142857143,0.623,4.78,3.7334869431643627,1.0,0.5,0.5,54.0,3.5,0.4642857142857143,-0.4304917754667814,2016-09-25,2016,0.33632319097140395,0.0742836814608546,BUF,2.0,0.0,0.0,9.0,18,9.0,18,-4.949999999999996,-0.38267543859649145,6.099999999999994,-0.8095238095238095,2.111111111111111,2.6625,-0.5513888888888889,0.5840584059910943,19.0,38.0,5.0,25.0,50.0,10.0,AFC East,-2,-6.0,-12,0.0,0.6475,7.355,3.6173245614035086,1.5,0.5,0.5,74.0,0.5,1.0,0.2653846153846154,0.6865,9.445,3.1904761904761907,1.0,1.5,1.0,42.5,1.0,0.2653846153846154,-0.5840584059910943,2016,0.19665855472345914,0.11553933166914049,ARI vs. BUF,BUF,33,1400.0,25.0,ARI,18,1514.0064999802885,9.0,1,15,5.0,1,195.0,-218.0,0,0
LAR,3.0,2.0,0.6666666666666666,11.333333333333334,34,11.0,33,-32.86666666666667,-0.8207992973210364,-13.699999999999998,-0.6213924963924962,1.3611111111111114,1.7987567987567987,-0.43764568764568756,1.5162816326931745,15.333333333333334,46.0,8.0,21.0,63.0,9.0,NFC West,2,-5.666666666666667,-17,0.75,0.5413333333333333,5.003333333333333,3.1792007026789637,0.6666666666666666,0.6666666666666666,1.0,83.0,1.3333333333333333,0.0,0.3038461538461539,0.6263333333333333,6.41,3.3786075036075034,1.3333333333333333,1.3333333333333333,0.5,68.0,1.3333333333333333,0.3038461538461539,0.4837183673068255,2016-10-02,2016,0.27323281312210396,0.225792578846075,ARI,3.0,1.0,0.3333333333333333,12.0,36,11.333333333333334,34,-16.7,0.11403508771929823,-36.833333333333336,0.6556579621095752,2.288888888888889,2.0185185185185186,0.27037037037037054,1.6225732089705613,26.333333333333332,79.0,12.0,21.0,63.0,11.0,NFC West,-1,5.333333333333333,16,0.5,0.566,6.800000000000001,4.114035087719298,1.6666666666666667,1.3333333333333333,0.6666666666666666,46.0,1.6666666666666667,3.0,0.42063492063492064,0.602,3.7733333333333334,4.655657962109575,0.6666666666666666,1.3333333333333333,0.6666666666666666,61.0,2.6666666666666665,0.42063492063492064,-0.6225732089705613,2016,0.26415853233660425,0.14854602648356693,LAR vs. ARI,ARI,13,1448.1642063695244,16.0,LAR,17,1559.9838184071837,6.0,0,-4,-10.0,0,-414.0,357.0,1,0
ARI,4.0,1.0,0.25,12.0,48,11.25,45,-23.224999999999998,0.2655263157894736,-25.475,-0.0626043545047752,1.9875,1.900252525252525,0.08724747474747485,1.9687730286452885,23.0,92.0,15.0,20.0,80.0,14.0,NFC West,-2,3.0,12,0.5555555555555555,0.5680000000000001,6.095000000000001,4.265526315789474,1.5,1.0,0.75,45.75,2.5,-1.0,0.4308608058608059,0.6015,5.2225,3.937395645495225,1.0,1.0,0.75,66.75,2.25,0.4308608058608059,-0.9687730286452885,2016-10-06,2016,0.23681460713708685,0.15798431999425536,SFO,4.0,1.0,0.25,12.5,50,12.0,48,-27.25,-0.4796400762752262,-9.200000000000003,0.16349422029646465,1.8075587606837606,2.2742424242424244,-0.46668366355866364,1.679935879417179,22.5,90.0,15.0,26.75,107.0,19.0,NFC West,-3,-4.25,-17,0.38888888888888884,0.58925,5.1775,3.520359923724774,1.0,1.75,0.8333333333333334,31.75,1.5,2.0,0.39859943977591034,0.62325,7.015,4.163494220296465,2.0,0.75,0.8333333333333334,61.75,2.0,0.39859943977591034,-0.679935879417179,2016,0.24900480904371156,0.22958967859934165,ARI vs. SFO,SFO,21,1400.2486398273843,17.0,ARI,33,1413.7228144852554,17.0,0,-12,3.5,0,169.0,-188.0,1,0
NYJ,5.0,1.0,0.2,10.4,52,9.4,47,-28.98,0.18736185383244203,15.86,-0.945377867746289,1.83,2.908888888888889,-1.0788888888888888,1.4476911793166822,18.4,92.0,18.0,27.2,136.0,21.0,AFC East,-3,-8.8,-44,0.47916666666666663,0.5846,5.002000000000001,4.187361853832442,1.0,0.6,0.95,47.6,2.6,-9.0,0.41944055944055947,0.716,9.644,3.0546221322537113,2.4,0.2,0.95,48.6,0.8,0.41944055944055947,-0.44769117931668223,2016-10-17,2016,0.315159841431922,0.31744036269936027,ARI,5.0,2.0,0.4,12.4,62,11.6,58,-23.4,0.3421507823613085,-29.880000000000003,-0.011194594714931227,2.0614285714285714,1.8432789432789434,0.21814962814962824,2.713598985809482,25.0,125.0,20.0,20.2,101.0,17.0,NFC West,1,4.8,24,0.47916666666666663,0.533,5.99,4.342150782361308,1.6,1.2,0.8,46.6,2.0,2.0,0.4071886446886447,0.5974,4.598000000000001,3.988805405285069,1.0,1.2,0.75,60.2,2.4,0.4071886446886447,-0.7135989858094818,2016,0.27654200091551734,0.19265109393530622,NYJ vs. ARI,ARI,28,1461.784696441998,15.0,NYJ,3,1386.6178640610829,22.0,1,25,-7.5,1,-350.0,305.0,0,0
SEA,5.0,4.0,0.8,10.6,53,10.6,53,-3.5600000000000023,-0.8812861869313483,-28.820000000000004,-0.8192544802867385,1.9521212121212124,1.4581818181818182,0.4939393939393941,2.8186843620447135,21.0,105.0,21.0,15.6,78.0,14.0,NFC West,3,5.4,27,0.4083333333333333,0.6679999999999999,7.74,3.1187138130686516,1.2,1.0,0.9333333333333333,66.8,1.0,1.0,0.38403846153846155,0.5832,5.2780000000000005,3.1807455197132617,0.8,0.6,0.8,55.8,1.2,0.38403846153846155,1.1813156379552865,2016-10-23,2016,0.4898401071587209,0.2737298827599019,ARI,6.0,3.0,0.5,11.833333333333334,71,11.5,69,-20.249999999999996,0.4327446995868048,-33.76666666666667,-0.28313835273863314,2.236375661375661,1.5815203315203314,0.6548553298553299,3.708600521557497,25.5,153.0,24.0,17.333333333333332,104.0,18.0,NFC West,2,8.166666666666666,49,0.42333333333333334,0.5585,6.158333333333334,4.432744699586805,1.5,1.5,0.8,49.5,1.6666666666666667,4.0,0.4302329614829615,0.588,4.3133333333333335,3.7168616472613665,0.8333333333333334,1.0,0.8,64.0,2.3333333333333335,0.4302329614829615,-0.7086005215574969,2016,0.29810701287000013,0.18658258601923927,SEA vs. ARI,ARI,6,1501.1329922287714,14.0,SEA,6,1634.3871581418966,3.0,0,0,-2.5,0,-134.0,121.0,1,0
ARI,7.0,3.0,0.42857142857142855,11.857142857142858,83,11.571428571428571,81,-20.52857142857143,0.30914796644119946,-31.914285714285715,-0.423141144452663,1.9883219954648526,1.427017427017427,0.5613045684474256,4.208600521557497,22.714285714285715,159.0,26.0,15.714285714285714,110.0,20.0,NFC West,0,7.0,49,0.48611111111111116,0.5632857142857143,6.185714285714285,4.309147966441199,1.2857142857142858,1.2857142857142858,0.75,48.857142857142854,1.4285714285714286,4.0,0.4367983207268921,0.5967142857142856,4.488571428571428,3.5768588555473366,0.7142857142857143,0.8571428571428571,0.7777777777777778,67.71428571428571,2.0,0.4367983207268921,-1.2086005215574973,2016-10-30,2016,0.25916761865663523,0.1690087999450618,CAR,6.0,1.0,0.16666666666666666,12.166666666666666,73,11.666666666666666,70,-23.683333333333334,0.3224147063730398,-4.766666666666666,-0.7209718339028685,2.140967365967366,2.547295066045066,-0.4063277000777001,2.5178890957999336,26.833333333333332,161.0,26.0,29.333333333333332,176.0,29.0,NFC South,-4,-2.5,-15,0.6333333333333333,0.6031666666666666,5.898333333333333,4.322414706373039,1.6666666666666667,1.1666666666666667,0.6944444444444443,61.0,2.6666666666666665,-8.0,0.3794823232323232,0.643,7.706666666666666,3.2790281660971314,2.1666666666666665,0.8333333333333334,0.8533333333333333,59.5,1.3333333333333333,0.3794823232323232,-1.5178890957999336,2016,0.2660613778748898,0.24043146719476652,ARI vs. CAR,CAR,30,1340.9847455747836,26.0,ARI,20,1469.4217229345568,17.0,1,10,-2.5,1,-134.0,121.0,0,0
SFO,8.0,1.0,0.125,12.5,100,12.25,98,-28.3875,0.2763447611154215,-2.3125000000000018,1.0492743162425116,1.6706063034188035,2.6817640692640694,-1.011157765845266,2.379195964871231,20.875,167.0,30.0,32.5,260.0,44.0,NFC West,-7,-11.625,-93,0.4064625850340136,0.5589999999999999,5.225,4.276344761115421,1.125,1.25,0.9166666666666666,40.25,2.125,-6.0,0.34163793722617253,0.612125,7.6075,5.049274316242512,2.25,1.5,0.8333333333333333,60.75,1.375,0.34163793722617253,-1.379195964871231,2016-11-13,2016,0.24828015131732883,0.3154532876857983,ARI,8.0,3.0,0.375,11.75,94,11.375,91,-17.112499999999997,0.07050447063604953,-30.75,-0.3806651680627468,1.9670544733044732,1.6236402486402486,0.34341422466422467,4.485288089381994,22.375,179.0,29.0,17.5,140.0,25.0,NFC West,-1,4.875,39,0.4404761904761905,0.588,6.3125,4.07050447063605,1.5,1.125,0.75,53.75,1.5,3.0,0.4238651973026973,0.587,4.890000000000001,3.619334831937253,0.625,1.0,0.8095238095238095,64.25,1.875,0.4238651973026973,-1.485288089381994,2016,0.25123224123393906,0.18937884308440955,SFO vs. ARI,ARI,23,1413.7228144852554,17.0,SFO,20,1400.2486398273843,17.0,1,3,-14.0,0,-850.0,671.0,1,0
ARI,9.0,4.0,0.4444444444444444,11.88888888888889,107,11.444444444444445,103,-18.12222222222222,0.004699626072623728,-28.67777777777778,-0.4534484033573622,1.9450740617407283,1.628420961754295,0.3166530999864333,5.0673481258183575,22.444444444444443,202.0,34.0,17.77777777777778,160.0,29.0,NFC West,1,4.666666666666667,42,0.4010416666666667,0.5906666666666667,6.275555555555556,4.0046996260726235,1.4444444444444444,1.1111111111111112,0.7857142857142857,48.888888888888886,1.7777777777777777,0.0,0.4323246198246198,0.5847777777777777,5.154444444444445,3.546551596642638,0.6666666666666666,1.0,0.8333333333333334,68.22222222222223,1.7777777777777777,0.4323246198246198,-1.0673481258183575,2016-11-20,2016,0.2800728595245855,0.21687907697008374,MIN,9.0,5.0,0.5555555555555556,10.11111111111111,91,10.777777777777779,97,-3.8666666666666663,-1.3536613669947002,-26.755555555555556,0.06663615855519896,1.9714365881032547,1.6217732884399552,0.3496632996632997,4.975197275105034,19.444444444444443,175.0,28.0,16.88888888888889,152.0,30.0,NFC North,-4,2.5555555555555554,23,0.5824404761904762,0.6788888888888889,7.155555555555556,2.6463386330053,1.2222222222222223,0.5555555555555556,0.8333333333333333,56.333333333333336,0.6666666666666666,12.0,0.3861036624194519,0.5896666666666667,5.104444444444444,4.066636158555199,1.1111111111111112,0.4444444444444444,0.8958333333333333,44.0,2.0,0.3861036624194519,0.0248027248949656,2016,0.3085402640989732,0.27576641666305723,ARI vs. MIN,MIN,30,1442.77749058882,9.0,ARI,24,1434.6178519968348,15.0,1,6,-2.0,1,-125.0,113.0,0,0
ARI,10.0,4.0,0.4,11.9,119,11.2,112,-20.45,0.08637252060821847,-26.3,-0.508103563021626,1.9505666555666559,1.798912198912199,0.15165445665445665,5.43813322247199,22.6,226.0,38.0,19.0,190.0,32.0,NFC West,-1,3.6,36,0.41820987654320985,0.5841999999999999,5.924,4.086372520608219,1.5,1.1,0.8125,53.6,1.8,-1.0,0.4198613886113886,0.5977,5.228,3.4918964369783736,0.7,1.0,0.8518518518518519,68.7,1.7,0.4198613886113886,-1.4381332224719898,2016-11-27,2016,0.2734041491983734,0.21605333650080027,ATL,10.0,6.0,0.6,9.9,99,10.6,106,12.379999999999999,0.18872784983719657,-0.5400000000000006,0.1505513784461153,3.341868686868687,2.6923737373737375,0.6494949494949493,5.481085979312326,32.0,320.0,56.0,28.3,283.0,48.0,NFC South,-1,3.7,37,0.5568783068783069,0.6787,9.662,4.188727849837196,2.4,0.9,0.95,62.0,0.8,3.0,0.3966355866355866,0.6839999999999999,7.233,4.150551378446115,2.3,0.9,0.8074074074074074,56.7,1.1,0.3966355866355866,0.5189140206876743,2016,0.5950092779378887,0.4310451632009513,ARI vs. ATL,ATL,38,1542.707252145726,8.0,ARI,19,1385.7919025380563,19.0,1,19,-3.5,1,-187.0,168.0,0,0
