G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2013-09-08,Sun,@,LAR,L,24.0,27.0,,26.0,40.0,0.65,304.0,2.0,7.6,7.48,94.2,4.0,23.0,26.0,86.0,3.3076923076923075,3.3,70.0,390.0,5.57,2.0,1.0,3.0,3.0,4.0,187.0,19.0,4.0,2.0,25.0,7.0,14.0,0.0,0.0,6.0,68.0,1.0,1.0,2.0,31:25,27.0,38.0,0.711,299.0,2.0,7.9,7.74,100.7,0.0,0.0,24.0,67.0,2.7916666666666665,2.8,62.0,366.0,5.9,4.0,4.0,1.0,1.0,3.0,147.0,14.0,4.0,2.0,20.0,4.0,11.0,0.0,0.0,7.0,59.0,1.0,1.0,2.0,28:35,0,ARI,NFC West,NFC West
2.0,2.0,2013-09-15,Sun,,DET,W,25.0,21.0,,23.0,40.0,0.575,261.0,1.0,6.5,5.9,75.1,1.0,4.0,25.0,87.0,3.48,3.5,66.0,348.0,5.27,4.0,4.0,1.0,1.0,5.0,214.0,13.0,7.0,4.0,24.0,1.0,11.0,0.0,0.0,7.0,40.0,0.0,1.0,1.0,31:19,24.0,36.0,0.667,273.0,2.0,7.6,8.69,107.8,1.0,5.0,20.0,49.0,2.45,2.5,57.0,322.0,5.65,2.0,0.0,3.0,3.0,5.0,261.0,11.0,4.0,1.0,16.0,3.0,11.0,0.0,1.0,8.0,101.0,1.0,0.0,1.0,28:41,0,ARI,NFC West,NFC North
3.0,3.0,2013-09-22,Sun,@,NOR,L,7.0,31.0,,18.0,35.0,0.514,161.0,0.0,4.6,2.03,40.3,4.0,26.0,16.0,86.0,5.375,5.4,55.0,247.0,4.49,0.0,0.0,1.0,1.0,8.0,326.0,9.0,6.0,1.0,16.0,5.0,13.0,0.0,0.0,3.0,18.0,0.0,2.0,2.0,24:29,29.0,46.0,0.63,319.0,3.0,6.9,7.26,96.2,4.0,23.0,24.0,104.0,4.333333333333333,4.3,74.0,423.0,5.72,1.0,1.0,4.0,4.0,4.0,198.0,17.0,9.0,1.0,27.0,7.0,13.0,0.0,0.0,4.0,30.0,0.0,1.0,1.0,35:31,0,ARI,NFC West,NFC South
4.0,4.0,2013-09-29,Sun,@,TAM,W,13.0,10.0,,21.0,38.0,0.5529999999999999,240.0,1.0,6.3,4.47,61.3,1.0,8.0,20.0,56.0,2.8,2.8,59.0,296.0,5.02,2.0,2.0,1.0,1.0,7.0,320.0,11.0,4.0,2.0,17.0,1.0,10.0,0.0,0.0,10.0,90.0,1.0,2.0,3.0,25:55,24.0,43.0,0.5579999999999999,173.0,1.0,4.0,2.4,53.7,2.0,20.0,31.0,80.0,2.5806451612903225,2.6,76.0,253.0,3.33,1.0,1.0,1.0,1.0,8.0,322.0,13.0,4.0,3.0,20.0,7.0,18.0,1.0,1.0,8.0,73.0,1.0,2.0,3.0,34:05,0,ARI,NFC West,NFC South
5.0,5.0,2013-10-06,Sun,,CAR,W,22.0,6.0,,19.0,28.0,0.679,160.0,1.0,5.7,1.61,54.8,2.0,15.0,28.0,90.0,3.2142857142857144,3.2,58.0,250.0,4.31,2.0,2.0,2.0,2.0,4.0,199.0,9.0,6.0,4.0,19.0,4.0,12.0,0.0,0.0,3.0,30.0,0.0,3.0,3.0,28:56,21.0,39.0,0.5379999999999999,258.0,0.0,6.6,3.15,42.5,7.0,50.0,20.0,95.0,4.75,4.8,66.0,353.0,5.35,2.0,2.0,0.0,0.0,4.0,195.0,15.0,5.0,1.0,21.0,5.0,12.0,0.0,1.0,9.0,79.0,1.0,3.0,4.0,31:04,0,ARI,NFC West,NFC South
6.0,6.0,2013-10-13,Sun,@,SFO,L,20.0,32.0,,25.0,41.0,0.61,294.0,2.0,7.2,5.95,78.7,1.0,4.0,21.0,109.0,5.190476190476191,5.2,63.0,403.0,6.4,0.0,0.0,2.0,2.0,5.0,218.0,10.0,6.0,0.0,16.0,5.0,13.0,0.0,1.0,6.0,38.0,2.0,2.0,4.0,25:41,16.0,29.0,0.552,238.0,2.0,8.2,8.03,90.9,2.0,14.0,38.0,149.0,3.9210526315789473,3.9,69.0,387.0,5.61,3.0,3.0,3.0,3.0,6.0,288.0,9.0,9.0,2.0,20.0,4.0,14.0,1.0,1.0,4.0,35.0,1.0,1.0,2.0,34:19,0,ARI,NFC West,NFC West
7.0,7.0,2013-10-17,Thu,,SEA,L,22.0,34.0,,30.0,45.0,0.667,204.0,1.0,4.5,2.98,65.4,7.0,54.0,18.0,30.0,1.6666666666666667,1.7,70.0,234.0,3.34,3.0,3.0,1.0,1.0,4.0,197.0,16.0,2.0,4.0,22.0,5.0,15.0,1.0,2.0,3.0,22.0,0.0,2.0,2.0,32:20,18.0,29.0,0.621,209.0,3.0,7.2,9.28,118.3,3.0,26.0,32.0,135.0,4.21875,4.2,64.0,344.0,5.38,2.0,2.0,4.0,4.0,3.0,124.0,14.0,6.0,1.0,21.0,7.0,12.0,0.0,1.0,10.0,70.0,2.0,0.0,2.0,27:40,0,ARI,NFC West,NFC West
8.0,8.0,2013-10-27,Sun,,ATL,W,27.0,13.0,,13.0,18.0,0.722,147.0,2.0,8.2,7.89,110.2,3.0,25.0,30.0,201.0,6.7,6.7,51.0,348.0,6.82,2.0,2.0,3.0,3.0,5.0,232.0,9.0,5.0,3.0,17.0,3.0,10.0,0.0,0.0,8.0,52.0,0.0,1.0,1.0,25:41,34.0,61.0,0.557,265.0,1.0,4.3,1.72,44.8,4.0,36.0,14.0,27.0,1.9285714285714288,1.9,79.0,292.0,3.7,2.0,2.0,1.0,1.0,4.0,183.0,17.0,1.0,2.0,20.0,8.0,20.0,1.0,2.0,10.0,55.0,0.0,4.0,4.0,34:19,0,ARI,NFC West,NFC South
9.0,10.0,2013-11-10,Sun,,HOU,W,27.0,24.0,,20.0,32.0,0.625,235.0,2.0,7.3,7.19,92.6,1.0,6.0,29.0,97.0,3.3448275862068964,3.3,62.0,332.0,5.35,2.0,2.0,3.0,3.0,5.0,219.0,12.0,6.0,1.0,19.0,3.0,10.0,0.0,0.0,5.0,29.0,2.0,1.0,3.0,31:08,22.0,43.0,0.512,159.0,3.0,3.7,5.09,83.4,3.0,42.0,21.0,76.0,3.619047619047619,3.6,67.0,235.0,3.51,2.0,1.0,3.0,3.0,7.0,412.0,15.0,2.0,0.0,17.0,6.0,16.0,0.0,1.0,7.0,53.0,1.0,0.0,1.0,28:52,0,ARI,NFC West,AFC South
10.0,11.0,2013-11-17,Sun,@,JAX,W,27.0,14.0,,30.0,42.0,0.7140000000000001,402.0,2.0,9.6,10.52,117.4,3.0,17.0,24.0,14.0,0.5833333333333334,0.6,69.0,416.0,6.03,2.0,2.0,3.0,3.0,8.0,358.0,16.0,3.0,0.0,19.0,5.0,16.0,0.0,0.0,5.0,42.0,0.0,0.0,0.0,35:53,27.0,42.0,0.643,242.0,1.0,5.8,4.1,67.8,2.0,13.0,16.0,32.0,2.0,2.0,60.0,274.0,4.57,1.0,0.0,2.0,2.0,8.0,382.0,9.0,3.0,2.0,14.0,2.0,14.0,2.0,3.0,6.0,40.0,0.0,2.0,2.0,24:07,0,ARI,NFC West,AFC South
