Aw_Tm,Aw_G,Aw_W,Aw_Wpct,Aw_Poss,Aw_TotPoss,Aw_OppPoss,Aw_TotOppPoss,Aw_PassOffEff,Aw_RushOffEff,Aw_PassDefEff,Aw_RushDefEff,Aw_TmOffEff,Aw_TmDefEff,Aw_TmEff,Aw_TmLuckW,Aw_Pts,Aw_TotPts,Aw_TotScorePlays,Aw_OppPts,Aw_TotOppPts,Aw_TotOppScorePlays,Aw_TmDiv,Aw_WStreak,Aw_AvgMoV,Aw_TotPtDiff,Aw_OppSOS,Aw_PassCmppct,Aw_PassAdjYdsAtt,Aw_RushYdsAtt,Aw_PassTDG,Aw_RushTDG,Aw_FGpct,Aw_PenYdsG,Aw_TOVG,Aw_TO,Aw_Dwn3Conv,Aw_OppPassCmppct,Aw_OppPassAdjYdsAtt,Aw_OppRushYdsAtt,Aw_OppPassTDG,Aw_OppRushTDG,Aw_OppFGpct,Aw_OppPenYdsG,Aw_OppTOVG,Aw_OppDwn3Conv,Aw_TmLuck,Game Date,Aw_Season,Aw_OffEffAdj,Aw_DefEffAdj,Hm_Tm,Hm_G,Hm_W,Hm_Wpct,Hm_Poss,Hm_TotPoss,Hm_OppPoss,Hm_TotOppPoss,Hm_PassOffEff,Hm_RushOffEff,Hm_PassDefEff,Hm_RushDefEff,Hm_TmOffEff,Hm_TmDefEff,Hm_TmEff,Hm_TmLuckW,Hm_Pts,Hm_TotPts,Hm_TotScorePlays,Hm_OppPts,Hm_TotOppPts,Hm_TotOppScorePlays,Hm_TmDiv,Hm_WStreak,Hm_AvgMoV,Hm_TotPtDiff,Hm_OppSOS,Hm_PassCmppct,Hm_PassAdjYdsAtt,Hm_RushYdsAtt,Hm_PassTDG,Hm_RushTDG,Hm_FGpct,Hm_PenYdsG,Hm_TOVG,Hm_TO,Hm_Dwn3Conv,Hm_OppPassCmppct,Hm_OppPassAdjYdsAtt,Hm_OppRushYdsAtt,Hm_OppPassTDG,Hm_OppRushTDG,Hm_OppFGpct,Hm_OppPenYdsG,Hm_OppTOVG,Hm_OppDwn3Conv,Hm_TmLuck,Hm_Season,Hm_OffEffAdj,Hm_DefEffAdj,Matchup,Home Team,Home Elo,Home Lg Rank,Away Team,Away Elo,Away Lg Rank,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline,Divisional Game,Playoff Game
ARI,1.0,0.0,0.0,12.0,12.0,12.0,12.0,-47.3,-1.4096467391304346,12.299999999999997,-0.8726097020933974,1.9166666666666667,2.9166666666666665,-0.9999999999999998,0.26991505066896637,23.0,23.0,3.0,35.0,35.0,5.0,NFC West,-1.0,-12.0,-12.0,0.5,0.563,3.08,2.5,1.0,1.0,0.5,55.0,4.0,-3.0,0.4,0.7070000000000001,7.8,3.037037037037037,4.0,0.0,1.0,100.0,1.0,0.4,-0.26991505066896637,2017-09-17,2017.0,0.1825212373327584,-0.11246460444540271,IND,1.0,0.0,0.0,13.0,13.0,12.0,12.0,-64.1,-0.7846467391304346,17.400000000000006,-2.000555830039526,0.6923076923076923,3.8333333333333335,-3.1410256410256414,0.020503202761199324,9.0,9.0,2.0,46.0,46.0,6.0,AFC South,-1.0,-37.0,-37.0,0.5,0.524,2.86,3.125,0.0,1.0,0.5,20.0,3.0,-2.0,0.0,0.733,11.0,1.9090909090909087,1.0,2.0,1.0,50.0,1.0,0.0,-0.020503202761199324,2017.0,0.15069181495981548,-0.010251601380599662,ARI vs. IND,IND,1450.0,16.0,ARI,1450.0,16.0,0,-3,7.0,1,252.0,-285.0,0,0
DAL,2.0,1.0,0.5,11.0,22.0,9.5,19.0,-21.15,-0.4004301492686835,-5.699999999999996,-0.1692621237458194,1.7094017094017095,2.096590909090909,-0.38718919968919985,1.092497974397184,18.0,36.0,8.0,22.5,45.0,6.0,NFC East,-1.0,-4.5,-9.0,1.0,0.6074999999999999,5.41,3.509216589861751,1.5,0.0,1.0,59.5,1.0,1.0,0.3738095238095238,0.7255,5.720000000000001,3.740384615384615,2.0,0.5,0.5,58.0,1.5,0.3738095238095238,-0.0924979743971841,2017-09-25,2017.0,0.3468185501096029,0.14328979351623408,ARI,2.0,1.0,0.5,12.0,24.0,11.5,23.0,-34.05,-0.9996467391304347,-15.200000000000003,-1.0807833930257091,1.625,2.0492424242424243,-0.4242424242424242,0.8905173110431008,19.5,39.0,7.0,24.0,48.0,8.0,NFC West,1.0,-4.5,-9.0,0.0,0.5455,5.445,2.91,1.0,0.5,0.625,48.0,2.5,-3.0,0.4,0.6240000000000001,5.859999999999999,2.8288633461047255,2.0,0.5,1.0,85.0,1.0,0.4,0.10948268895689917,2017.0,0.30763289213954786,0.192953511122939,DAL vs. ARI,ARI,1500.0,11.0,DAL,1500.0,11.0,0,-11,3.0,0,137.0,-151.0,0,0
SFO,3.0,0.0,0.0,11.0,33.0,10.333333333333334,31.0,-30.3,1.1545744198275665,4.033333333333336,-0.3994226993011316,1.456060606060606,2.4090909090909087,-0.9530303030303028,0.8142053182431988,17.0,51.0,11.0,25.333333333333332,76.0,15.0,NFC West,-3.0,-8.333333333333334,-25.0,0.25,0.6213333333333333,4.426666666666667,5.064221158958001,0.6666666666666666,1.0,1.0,65.0,1.6666666666666667,-1.0,0.2828282828282828,0.6453333333333333,8.12,3.510224039829303,2.0,0.6666666666666666,1.0,54.333333333333336,1.3333333333333333,0.2828282828282828,-0.8142053182431988,2017-10-01,2017.0,0.2428660757507557,0.19125720673496793,ARI,3.0,1.0,0.3333333333333333,11.666666666666666,35.0,11.333333333333334,34.0,-25.73333333333333,-1.191868961352657,3.066666666666663,-0.7545070724965149,1.5984848484848484,2.2146464646464645,-0.6161616161616161,1.1251007150082124,18.666666666666668,56.0,10.0,25.333333333333332,76.0,12.0,NFC West,-1.0,-6.666666666666667,-20.0,0.25,0.565,5.873333333333334,2.7177777777777776,1.3333333333333333,0.3333333333333333,0.5833333333333334,48.666666666666664,1.6666666666666667,-3.0,0.4148148148148148,0.6566666666666667,7.87,3.1551396666339198,2.0,1.0,1.0,82.0,0.6666666666666666,0.4148148148148148,-0.1251007150082124,2017.0,0.2737999319039797,0.22057638646962205,SFO vs. ARI,ARI,1450.0,21.0,SFO,1362.1287919369763,28.0,1,3,-6.5,0,-265.0,235.0,1,0
ARI,4.0,2.0,0.5,11.75,47.0,11.75,47.0,-24.224999999999998,-1.291767951251647,-9.625000000000004,-0.6636623595253652,1.5738636363636362,1.949446386946387,-0.37558275058275054,1.731476231152872,18.5,74.0,15.0,22.75,91.0,17.0,NFC West,1.0,-4.25,-17.0,0.16666666666666666,0.5855,5.8375,2.6178787878787877,1.25,0.25,0.6875,56.5,1.5,-3.0,0.3892361111111111,0.615,6.745,3.245984379605069,1.5,0.75,1.0,89.75,0.75,0.3892361111111111,0.26852376884712803,2017-10-08,2017.0,0.34057370496120704,0.2955580003744744,PHI,4.0,3.0,0.75,10.5,42.0,10.5,42.0,-10.624999999999996,0.7790383502899488,-3.6999999999999993,0.34118679266284946,2.5113636363636362,2.228030303030303,0.28333333333333327,2.239438472389158,25.75,103.0,20.0,23.0,92.0,15.0,NFC East,2.0,2.75,11.0,0.3333333333333333,0.60875,7.0325,4.6886850894203835,1.5,0.75,0.8333333333333333,66.75,1.25,2.0,0.5061011904761905,0.66225,7.645,4.250833531793284,1.75,0.75,1.0,57.75,1.75,0.5061011904761905,0.7605615276108422,2017.0,0.5667335151917668,0.3357644221081109,ARI vs. PHI,PHI,1566.8753620869445,2.0,ARI,1487.61722039894,12.0,1,27,-6.0,1,-254.0,226.0,0,0
TAM,4.0,2.0,0.5,10.5,42.0,10.25,41.0,-9.150000000000002,0.004391339869281308,0.2749999999999986,-0.7117912749706227,2.069570707070707,2.073989898989899,-0.004419191919191823,2.004611594808529,21.25,85.0,15.0,20.75,83.0,16.0,NFC South,-1.0,0.5,2.0,0.25,0.60625,7.470000000000001,3.914038078999716,1.75,0.5,0.625,40.0,1.0,2.0,0.3201048951048951,0.70225,7.795,3.197855464159812,1.75,0.5,0.8333333333333334,55.0,1.5,0.3201048951048951,-0.004611594808528796,2017-10-15,2017.0,0.3567311076063814,0.2922330151406313,ARI,5.0,2.0,0.4,11.6,58.0,11.4,57.0,-21.619999999999997,-1.3724865659702616,-2.2200000000000015,-0.5734652960524398,1.3863636363636362,2.239557109557109,-0.8531934731934732,1.7545510668863507,16.2,81.0,16.0,25.0,125.0,23.0,NFC West,-1.0,-8.8,-44.0,0.3125,0.5955999999999999,6.016,2.5371601731601734,1.2,0.2,0.55,57.4,1.4,-3.0,0.368531746031746,0.632,7.609999999999999,3.336181443077995,2.0,0.6,1.0,83.8,0.8,0.368531746031746,0.24544893311364935,2017.0,0.28940407906833926,0.3426151770582945,TAM vs. ARI,ARI,1448.8295577990875,17.0,TAM,1467.721105840599,15.0,1,5,2.5,1,121.0,-134.0,0,0
ARI,6.0,3.0,0.5,11.5,69.0,11.333333333333334,68.0,-11.549999999999997,-1.0334418329255284,-2.900000000000001,-0.5898129968828992,1.7310606060606062,2.366297591297591,-0.6352369852369851,2.3373700141816127,19.833333333333332,119.0,22.0,26.333333333333332,158.0,27.0,NFC West,1.0,-6.5,-39.0,0.35,0.6326666666666666,7.1883333333333335,2.876204906204906,1.5,0.5,0.625,58.0,1.5,-3.0,0.38118386243386243,0.6338333333333334,7.588333333333334,3.3198337422475355,2.1666666666666665,0.6666666666666666,1.0,78.0,1.0,0.38118386243386243,0.6626299858183873,2017-10-22,2017.0,0.3540528011787549,0.37473286670856976,LAR,6.0,4.0,0.6666666666666666,11.166666666666666,67.0,12.0,72.0,-3.4833333333333294,0.2000184612605722,-23.2,0.8238594768757813,2.6717171717171717,1.9861999111999111,0.6855172605172606,3.4254794956270564,29.833333333333332,179.0,31.0,23.0,138.0,26.0,NFC West,1.0,6.833333333333333,41.0,0.35333333333333333,0.6156666666666667,8.308333333333334,4.109665200391007,1.3333333333333333,1.0,0.9166666666666666,55.5,1.8333333333333333,-1.0,0.4443528693528694,0.6096666666666667,5.566666666666666,4.733506216006216,1.3333333333333333,1.3333333333333333,0.75,37.5,1.6666666666666667,0.4443528693528694,0.5745205043729436,2017.0,0.5069903871531375,0.33550354887429756,ARI vs. LAR,LAR,1571.9645408712165,3.0,ARI,1501.545593926331,14.0,1,33,-3.0,1,-164.0,148.0,1,0
ARI,7.0,3.0,0.42857142857142855,11.285714285714286,79.0,11.142857142857142,78.0,-18.842857142857138,-1.1467092004786104,-6.0428571428571445,-0.36050353148969,1.4837662337662338,2.4996836496836496,-1.0159174159174158,2.3373700141816127,17.0,119.0,22.0,27.285714285714285,191.0,34.0,NFC West,-1.0,-10.285714285714286,-72.0,0.40277777777777773,0.6092857142857142,6.522857142857143,2.762937538651824,1.2857142857142858,0.42857142857142855,0.5357142857142857,59.0,1.5714285714285714,-4.0,0.3624433106575964,0.6282857142857142,7.288571428571429,3.549143207640744,2.0,0.8571428571428571,1.0,73.28571428571429,1.0,0.3624433106575964,0.6626299858183873,2017-11-05,2017.0,0.30484242258228667,0.4148890467359435,SFO,8.0,0.0,0.0,11.75,94.0,10.875,87.0,-32.6,0.41031161635423663,-2.1374999999999993,-0.1576605075688609,1.3921765734265734,2.5255681818181817,-1.1333916083916082,2.180228170902033,16.625,133.0,29.0,27.375,219.0,42.0,NFC West,-8.0,-10.75,-86.0,0.40578231292517003,0.5655,4.57375,4.319958355484672,0.75,0.75,0.875,64.5,1.5,-3.0,0.30147958336812825,0.637375,7.83625,3.7519862315615735,1.75,1.125,1.0,52.375,1.125,0.30147958336812825,-2.180228170902033,2017.0,0.2244326902178737,0.29084830003177387,ARI vs. SFO,SFO,1362.1287919369763,28.0,ARI,1450.0,21.0,0,-10,2.5,0,118.0,-130.0,1,0
SEA,8.0,5.0,0.625,11.25,90.0,11.625,93.0,-8.312500000000004,-0.12868753631639318,-24.575,0.4034843127494395,2.1620969308469307,1.560318154068154,0.6017787767787767,4.764676567476416,23.625,189.0,31.0,18.625,149.0,28.0,NFC West,-1.0,5.0,40.0,0.3826530612244898,0.625,7.23125,3.7809592028140413,2.125,0.25,0.7857142857142857,84.0,1.125,5.0,0.4161712255752503,0.583125,5.56125,4.313131051879874,1.125,0.875,0.8125,55.0,1.75,0.4161712255752503,0.23532343252358423,2017-11-09,2017.0,0.35457642556698765,0.27229711842830695,ARI,8.0,4.0,0.5,11.5,92.0,11.5,92.0,-18.987499999999997,-1.0066112765310187,-10.925,-0.340911138327136,1.4906031468531469,2.276508907758908,-0.7859057609057608,3.175279994937009,17.375,139.0,26.0,25.125,201.0,36.0,NFC West,1.0,-7.75,-62.0,0.34523809523809523,0.595625,6.523750000000001,2.903035462599416,1.375,0.375,0.5520833333333334,54.75,1.625,-4.0,0.37182539682539684,0.608625,6.91875,3.5687356008032984,1.75,0.875,1.0,70.75,1.125,0.37182539682539684,0.824720005062991,2017.0,0.3117428262658122,0.3827308698128637,SEA vs. ARI,ARI,1482.8136676537133,11.0,SEA,1555.11561665473,6.0,0,-6,6.0,0,218.0,-245.0,1,0
ARI,9.0,4.0,0.4444444444444444,11.444444444444445,103.0,11.555555555555555,104.0,-19.722222222222218,-1.1717633649679908,-8.844444444444447,-0.37511847561445905,1.4865967365967367,2.2272671772671773,-0.7406704406704406,3.4950703649253825,17.22222222222222,155.0,29.0,24.77777777777778,223.0,40.0,NFC West,-1.0,-7.555555555555555,-68.0,0.3802083333333333,0.5862222222222222,6.4511111111111115,2.7378833741624438,1.3333333333333333,0.4444444444444444,0.6018518518518519,55.111111111111114,1.5555555555555556,-5.0,0.37495590828924164,0.6174444444444445,7.025555555555556,3.534528263515975,1.7777777777777777,0.7777777777777778,1.0,74.88888888888889,1.0,0.37495590828924164,0.5049296350746175,2017-11-19,2017.0,0.29734947078442703,0.3634585314134452,HOU,9.0,3.0,0.3333333333333333,12.11111111111111,109.0,11.444444444444445,103.0,-12.977777777777778,0.4314176205176847,-4.58888888888889,-0.1758728716723565,2.1644466644466642,2.3797979797979796,-0.21535131535131544,4.13799637585567,26.22222222222222,236.0,36.0,26.77777777777778,241.0,42.0,AFC South,-3.0,-0.5555555555555556,-5.0,0.47916666666666663,0.5802222222222223,6.747777777777777,4.341064359648119,2.3333333333333335,0.4444444444444444,0.7142857142857143,62.77777777777778,1.8888888888888888,-5.0,0.3461741961741962,0.6243333333333334,7.232222222222223,3.733773867458078,2.111111111111111,0.3333333333333333,0.9642857142857143,77.88888888888889,1.3333333333333333,0.3461741961741962,-1.1379963758556704,2017.0,0.2885138944640121,0.3108998405761185,ARI vs. HOU,HOU,1379.9657659352877,19.0,ARI,1443.071109532583,15.0,1,10,-2.5,1,-130.0,118.0,0,0
JAX,10.0,7.0,0.7,11.6,116.0,11.8,118.0,-19.88,0.7776343446506493,-35.85,0.3400393222506396,2.26227688977689,1.1973917748917748,1.0648851148851148,7.1411543966027935,24.5,245.0,41.0,14.1,141.0,25.0,AFC South,4.0,10.4,104.0,0.42447089947089944,0.579,6.183,4.687281083781084,1.2,0.9,0.8416666666666666,59.4,1.2,11.0,0.38107448107448105,0.5665,3.9829999999999997,4.249686061381074,0.7,0.6,0.95,63.8,2.3,0.38107448107448105,-0.1411543966027935,2017-11-26,2017.0,0.34845919805110814,0.1876874068516357,ARI,10.0,4.0,0.4,11.5,115.0,11.7,117.0,-18.669999999999998,-1.1788850357175684,-8.34,-0.334453654907233,1.512937062937063,2.243001998001998,-0.730064935064935,3.7794109736502333,17.6,176.0,32.0,25.4,254.0,45.0,NFC West,-2.0,-7.8,-78.0,0.375,0.5923,6.4350000000000005,2.730761703412866,1.5,0.4,0.6018518518518519,58.6,1.6,-5.0,0.36746031746031743,0.6245,7.0040000000000004,3.5751930842232014,1.8,0.9,1.0,71.6,1.1,0.36746031746031743,0.22058902634976674,2017.0,0.28439899899408044,0.35463803947499106,JAX vs. ARI,ARI,1384.0880875953198,17.0,JAX,1622.0201553496345,6.0,1,3,6.5,1,231.0,-260.0,0,0
