Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Lg Rank,Home Pts,Away Team,Away Elo,Away Lg Rank,Away Pts,Home W,Home Pt Diff,Home Spread,Home Spread W,Home Moneyline,Away Moneyline
2012-12-16,@ CLE,0,0,WAS vs. CLE,CLE,1490.8390491549799,20.0,21,WAS,1612.2045839522475,12.0,38,0,-17,-4.0,0,-212.0,190.0
2012-12-23,@ DEN,0,0,CLE vs. DEN,DEN,1719.656365025757,3.0,34,CLE,1457.6275817511214,22.0,12,1,22,-11.0,1,-595.0,494.0
2012-12-30,@ PIT,1,0,CLE vs. PIT,PIT,1579.7409710941006,9.0,24,CLE,1347.4088762701565,25.0,10,1,14,-10.0,1,-450.0,385.0
2012-09-05,@ NYG,1,0,DAL vs. NYG,NYG,1500.0,1.0,17,DAL,1500.0,1.0,24,0,-7,-3.5,0,-182.0,164.0
2012-09-16,@ SEA,0,0,DAL vs. SEA,SEA,1450.0,17.0,27,DAL,1550.0,1.0,7,1,20,3.0,1,144.0,-160.0
2012-09-23,@ DAL,0,0,TAM vs. DAL,DAL,1485.9935000197115,7.0,16,TAM,1485.9935000197115,7.0,10,1,6,-7.0,0,-345.0,301.0
2012-10-28,@ DAL,1,0,NYG vs. DAL,DAL,1500.0,1.0,24,NYG,1500.0,1.0,29,0,-5,1.5,0,130.0,-144.0
2012-11-11,@ PHI,1,0,DAL vs. PHI,PHI,1389.7333406424852,17.0,23,DAL,1445.9811442189637,17.0,38,0,-15,1.0,0,119.0,-131.0
2012-11-22,@ DAL,1,0,WAS vs. DAL,DAL,1523.2570697014883,12.0,31,WAS,1423.8623583653016,15.0,38,0,-7,-3.5,0,-185.0,166.0
2012-12-02,@ DAL,1,0,PHI vs. DAL,DAL,1445.9811442189637,17.0,38,PHI,1389.7333406424852,17.0,33,1,5,-10.5,0,-550.0,461.0
2012-12-16,@ DAL,0,0,PIT vs. DAL,DAL,1540.4628943878681,12.0,27,PIT,1494.5517954485963,12.0,24,1,3,1.0,1,120.0,-132.0
2012-12-23,@ DAL,0,0,NOR vs. DAL,DAL,1583.893946721037,10.0,31,NOR,1507.842544596787,17.0,34,0,-3,-1.0,0,-145.0,131.0
2012-12-30,@ WAS,1,0,DAL vs. WAS,WAS,1423.8623583653016,15.0,28,DAL,1523.2570697014883,12.0,18,1,10,-3.0,1,-174.0,157.0
2012-09-09,@ DEN,0,0,PIT vs. DEN,DEN,1500.0,1.0,31,PIT,1500.0,1.0,19,1,12,-2.5,1,-155.0,140.0
2012-09-23,@ DEN,0,0,HOU vs. DEN,DEN,1500.0,7.0,25,HOU,1585.9935000197115,1.0,31,0,-6,1.0,0,105.0,-116.0
2012-09-30,@ DEN,1,0,LVR vs. DEN,DEN,1462.1287919369765,16.0,37,LVR,1465.842293610764,16.0,6,1,31,-6.5,1,-275.0,244.0
2012-10-07,@ NWE,0,0,DEN vs. NWE,NWE,1512.1287919369765,11.0,31,DEN,1512.663187437134,11.0,21,1,10,-6.0,1,-270.0,239.0
2012-10-15,@ LAC,1,0,DEN vs. LAC,LAC,1493.9192187808324,8.0,24,DEN,1462.586281803255,17.0,35,0,-11,-1.0,0,-109.0,-101.0
2012-10-28,@ DEN,0,0,NOR vs. DEN,DEN,1517.0832690963182,9.0,34,NOR,1453.043229576652,20.0,14,1,20,-6.0,1,-260.0,231.0
2012-11-18,@ DEN,1,0,LAC vs. DEN,DEN,1462.586281803255,17.0,30,LAC,1493.9192187808324,8.0,23,1,7,-7.5,0,-360.0,314.0
2012-11-25,@ KAN,1,0,DEN vs. KAN,KAN,1225.2830313486893,27.0,9,DEN,1631.8516213175587,4.0,17,0,-8,10.0,1,400.0,-470.0
2012-12-02,@ DEN,0,0,TAM vs. DEN,DEN,1640.6348321202029,4.0,31,TAM,1540.3930983987043,11.0,23,1,8,-9.5,0,-400.0,346.0
2012-12-06,@ LVR,1,0,DEN vs. LVR,LVR,1465.842293610764,16.0,13,DEN,1462.1287919369765,16.0,26,0,-13,10.0,0,423.0,-500.0
2012-12-30,@ DEN,1,0,KAN vs. DEN,DEN,1631.8516213175587,4.0,38,KAN,1225.2830313486893,27.0,3,1,35,-17.0,1,-1600.0,1075.0
2012-09-09,@ DET,0,0,LAR vs. DET,DET,1500.0,1.0,27,LAR,1500.0,1.0,23,1,4,-9.0,0,-394.0,341.0
2012-09-16,@ SFO,0,0,DET vs. SFO,SFO,1550.0,1.0,27,DET,1550.0,1.0,19,1,8,-7.0,1,-270.0,239.0
2012-09-23,@ TEN,0,0,DET vs. TEN,TEN,1414.0064999802885,27.0,44,DET,1500.0,7.0,41,1,3,3.5,1,175.0,-195.0
2012-09-30,@ DET,1,0,MIN vs. DET,DET,1437.8712080630235,16.0,13,MIN,1551.8357936304756,4.0,20,0,-7,-3.5,0,-190.0,171.0
