G,Week,Date,Day,Location,Opp,W/L,Tm Pts,Opp Pts,OT,Pass Cmp,Pass Att,Pass Cmp %,Pass Yds,Pass TD,Pass Y/A,Pass Adj Y/A,Pass Rate,Sacks,Sack Yds,Rush Att,Rush Yds,Rush Y/A,Rush TD,Tot Plays,Tot Yds,Avg Yds,FGA,FGM,XPA,XPM,Punt Att,Punt Yds,1st Dwn Pass,1st Dwn Rush,1st Dwn Penalty,Tot 1st Dwn,3rd Dwn Conv,3rd Dwn Att,4th Dwn Conv,4th Dwn Att,Pen,Pen Yds,Fmbl,Int,Tot TO,ToP,Opp Pass Cmp,Opp Pass Att,Opp Pass Cmp %,Opp Pass Yds,Opp Pass TD,Opp Pass Y/A,Opp Pass Adj Y/A,Opp Pass Rate,Opp Sacks,Opp Sack Yds,Opp Rush Att,Opp Rush Yds,Opp Rush Y/A,Opp Rush TD,Opp Tot Plays,Opp Tot Yds,Opp Avg Yds,Opp FGA,Opp FGM,Opp XPA,Opp XPM,Opp Punt Att,Opp Punt Yds,Opp 1st Dwn Pass,Opp 1st Dwn Rush,Opp 1st Dwn Penalty,Opp Tot 1st Dwn,Opp 3rd Dwn Conv,Opp 3rd Dwn Att,Opp 4th Dwn Conv,Opp 4th Dwn Att,Opp Pen,Opp Pen Yds,Opp Fmbl,Opp Int,Opp Tot TO,Opp ToP,Playoffs,Tm,Tm Div,Opp Div
1.0,1.0,2012-09-09,Sun,,SEA,W,20.0,16.0,,20.0,36.0,0.556,210.0,1.0,5.8,5.14,70.4,1.0,5.0,20.0,43.0,2.15,1.0,57.0,253.0,4.44,2.0,2.0,2.0,2.0,5.0,238.0,13.0,2.0,3.0,18.0,3.0,10.0,0.0,0.0,10.0,102.0,1.0,1.0,2.0,26:26,18.0,34.0,0.529,139.0,1.0,4.1,3.35,60.8,3.0,14.0,33.0,115.0,3.484848484848485,0.0,70.0,254.0,3.63,4.0,3.0,1.0,1.0,4.0,185.0,9.0,5.0,4.0,18.0,5.0,16.0,0.0,1.0,13.0,90.0,1.0,1.0,2.0,33:34,0,ARI,NFC West,NFC West
2.0,2.0,2012-09-16,Sun,@,NWE,W,20.0,18.0,,15.0,27.0,0.556,140.0,1.0,5.2,5.93,82.3,2.0,0.0,32.0,102.0,3.1875,1.0,61.0,242.0,3.97,2.0,2.0,2.0,2.0,6.0,280.0,7.0,8.0,1.0,16.0,4.0,14.0,0.0,0.0,5.0,39.0,2.0,0.0,2.0,28:19,28.0,46.0,0.609,297.0,1.0,6.5,5.91,77.9,4.0,19.0,28.0,90.0,3.2142857142857144,0.0,78.0,387.0,4.96,5.0,4.0,0.0,0.0,6.0,172.0,17.0,8.0,0.0,25.0,5.0,15.0,0.0,0.0,8.0,60.0,0.0,1.0,1.0,31:41,0,ARI,NFC West,AFC East
3.0,3.0,2012-09-23,Sun,,PHI,W,27.0,6.0,,17.0,24.0,0.708,193.0,2.0,8.0,9.71,122.4,3.0,29.0,34.0,99.0,2.911764705882353,0.0,61.0,292.0,4.79,2.0,2.0,3.0,3.0,6.0,283.0,12.0,3.0,1.0,16.0,6.0,15.0,0.0,1.0,5.0,45.0,0.0,0.0,0.0,34:33,17.0,37.0,0.4589999999999999,194.0,0.0,5.2,5.24,62.2,5.0,23.0,21.0,113.0,5.380952380952381,0.0,63.0,307.0,4.87,2.0,2.0,0.0,0.0,5.0,250.0,12.0,4.0,0.0,16.0,5.0,14.0,0.0,1.0,5.0,65.0,3.0,0.0,3.0,25:27,0,ARI,NFC West,NFC East
4.0,4.0,2012-09-30,Sun,,MIA,W,24.0,21.0,OT,29.0,48.0,0.604,269.0,3.0,5.6,4.98,79.3,8.0,55.0,15.0,28.0,1.8666666666666667,0.0,71.0,297.0,4.18,1.0,1.0,3.0,3.0,9.0,435.0,18.0,0.0,1.0,19.0,4.0,16.0,2.0,2.0,6.0,62.0,0.0,2.0,2.0,31:31,26.0,41.0,0.634,394.0,1.0,9.6,7.9,82.8,4.0,37.0,29.0,86.0,2.9655172413793105,1.0,74.0,480.0,6.49,3.0,2.0,1.0,1.0,5.0,221.0,15.0,5.0,1.0,21.0,6.0,16.0,1.0,1.0,4.0,40.0,2.0,2.0,4.0,35:00,0,ARI,NFC West,AFC East
5.0,5.0,2012-10-04,Thu,@,LAR,L,3.0,17.0,,28.0,50.0,0.56,237.0,0.0,4.7,4.74,68.5,9.0,52.0,17.0,45.0,2.647058823529412,0.0,76.0,282.0,3.71,2.0,1.0,0.0,0.0,7.0,320.0,13.0,4.0,3.0,20.0,7.0,19.0,0.0,2.0,5.0,35.0,1.0,0.0,1.0,34:22,7.0,21.0,0.3329999999999999,131.0,2.0,6.2,6.0,67.8,1.0,10.0,32.0,111.0,3.46875,0.0,54.0,242.0,4.48,1.0,1.0,2.0,2.0,7.0,398.0,6.0,6.0,0.0,12.0,4.0,14.0,0.0,0.0,7.0,60.0,0.0,1.0,1.0,25:38,0,ARI,NFC West,NFC West
6.0,6.0,2012-10-14,Sun,,BUF,L,16.0,19.0,OT,16.0,36.0,0.444,150.0,1.0,4.2,2.22,42.6,5.0,23.0,30.0,182.0,6.066666666666666,0.0,71.0,332.0,4.68,4.0,3.0,1.0,1.0,5.0,259.0,9.0,10.0,1.0,20.0,5.0,16.0,2.0,2.0,7.0,67.0,0.0,2.0,2.0,32:28,18.0,33.0,0.545,141.0,0.0,4.3,2.91,52.7,2.0,12.0,33.0,165.0,5.0,2.0,68.0,306.0,4.5,1.0,1.0,2.0,2.0,8.0,352.0,9.0,9.0,1.0,19.0,4.0,13.0,0.0,0.0,5.0,39.0,1.0,1.0,2.0,31:22,0,ARI,NFC West,AFC East
7.0,7.0,2012-10-21,Sun,@,MIN,L,14.0,21.0,,25.0,36.0,0.6940000000000001,230.0,1.0,6.4,5.69,84.3,7.0,32.0,26.0,126.0,4.846153846153846,1.0,69.0,356.0,5.16,1.0,0.0,2.0,2.0,6.0,234.0,15.0,5.0,1.0,21.0,5.0,14.0,0.0,2.0,9.0,82.0,1.0,1.0,2.0,35:05,8.0,17.0,0.471,43.0,1.0,2.5,-1.59,33.8,3.0,15.0,27.0,166.0,6.148148148148148,1.0,47.0,209.0,4.45,0.0,0.0,3.0,3.0,7.0,280.0,2.0,7.0,3.0,12.0,1.0,10.0,1.0,1.0,7.0,35.0,0.0,2.0,2.0,24:55,0,ARI,NFC West,NFC North
8.0,8.0,2012-10-29,Mon,,SFO,L,3.0,24.0,,32.0,52.0,0.615,258.0,0.0,5.0,4.1,66.0,4.0,32.0,9.0,7.0,0.7777777777777778,0.0,65.0,265.0,4.08,1.0,1.0,0.0,0.0,7.0,331.0,15.0,0.0,1.0,16.0,2.0,14.0,2.0,4.0,7.0,51.0,0.0,1.0,1.0,28:44,18.0,19.0,0.947,204.0,3.0,10.7,13.89,151.0,4.0,28.0,29.0,113.0,3.896551724137931,0.0,52.0,317.0,6.1,1.0,1.0,3.0,3.0,5.0,244.0,10.0,4.0,1.0,15.0,6.0,12.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,31:16,0,ARI,NFC West,NFC West
9.0,9.0,2012-11-04,Sun,@,GNB,L,17.0,31.0,,23.0,46.0,0.5,286.0,1.0,6.2,5.67,67.8,2.0,20.0,18.0,54.0,3.0,1.0,66.0,340.0,5.15,1.0,1.0,2.0,2.0,8.0,344.0,13.0,3.0,0.0,16.0,4.0,15.0,1.0,2.0,8.0,57.0,1.0,1.0,2.0,26:30,14.0,30.0,0.467,208.0,4.0,6.9,8.1,95.6,1.0,10.0,39.0,176.0,4.512820512820513,0.0,70.0,384.0,5.49,2.0,1.0,4.0,4.0,6.0,255.0,11.0,8.0,1.0,20.0,6.0,15.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,33:30,0,ARI,NFC West,NFC North
10.0,11.0,2012-11-18,Sun,@,ATL,L,19.0,23.0,,11.0,27.0,0.407,41.0,0.0,1.5,1.52,48.5,3.0,29.0,26.0,137.0,5.269230769230769,1.0,56.0,178.0,3.18,4.0,4.0,1.0,1.0,8.0,407.0,3.0,4.0,0.0,7.0,2.0,16.0,0.0,1.0,5.0,43.0,1.0,0.0,1.0,27:19,28.0,46.0,0.609,296.0,0.0,6.4,1.54,40.0,1.0,5.0,24.0,58.0,2.4166666666666665,1.0,71.0,354.0,4.99,3.0,3.0,2.0,2.0,4.0,205.0,15.0,4.0,1.0,20.0,7.0,16.0,0.0,0.0,5.0,35.0,1.0,5.0,6.0,32:41,0,ARI,NFC West,NFC South
